date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,2330,"1,000-5,000",376597,2.78,722289616
2025-12-19,2330,1-999,1403697,0.74,193183719
2025-12-19,2330,"10,001-15,000",15313,0.72,188357503
2025-12-19,2330,"100,001-200,000",1937,1.03,269118426
2025-12-19,2330,"15,001-20,000",7258,0.49,128057182
2025-12-19,2330,"20,001-30,000",7026,0.66,172213089
2025-12-19,2330,"200,001-400,000",1274,1.37,356405065
2025-12-19,2330,"30,001-40,000",3355,0.44,116474640
2025-12-19,2330,"40,001-50,000",1898,0.32,85550635
2025-12-19,2330,"400,001-600,000",574,1.07,279314668
2025-12-19,2330,"5,001-10,000",45174,1.25,325517869
2025-12-19,2330,"50,001-100,000",3875,1.04,270466294
2025-12-19,2330,"600,001-800,000",320,0.85,222471919
2025-12-19,2330,"800,001-1,000,000",228,0.78,204764323
2025-12-19,2330,"more than 1,000,001",1541,86.37,22398419573
2025-12-19,2330,total,1870067,100.0,25932524521
2025-12-19,2330,差異數調整（說明4）,1,0.0,-80000
2025-12-26,2330,"1,000-5,000",373337,2.76,716609355
2025-12-26,2330,1-999,1392350,0.74,191932179
2025-12-26,2330,"10,001-15,000",15282,0.72,187997742
2025-12-26,2330,"100,001-200,000",1940,1.03,269527639
2025-12-26,2330,"15,001-20,000",7210,0.49,127231469
2025-12-26,2330,"20,001-30,000",7019,0.66,172008193
2025-12-26,2330,"200,001-400,000",1284,1.38,359111993
2025-12-26,2330,"30,001-40,000",3346,0.44,116164736
2025-12-26,2330,"40,001-50,000",1897,0.32,85479135
2025-12-26,2330,"400,001-600,000",574,1.07,279708337
2025-12-26,2330,"5,001-10,000",44866,1.24,323385466
2025-12-26,2330,"50,001-100,000",3872,1.04,270160637
2025-12-26,2330,"600,001-800,000",317,0.84,220257879
2025-12-26,2330,"800,001-1,000,000",232,0.8,208370041
2025-12-26,2330,"more than 1,000,001",1547,86.39,22404579720
2025-12-26,2330,total,1855073,100.0,25932524521
2025-12-26,2330,差異數調整（說明4）,0,0.0,0
2026-01-02,2330,"1,000-5,000",365844,2.71,702897407
2026-01-02,2330,1-999,1368246,0.72,188553289
2026-01-02,2330,"10,001-15,000",15117,0.71,185886666
2026-01-02,2330,"100,001-200,000",1932,1.03,268519120
2026-01-02,2330,"15,001-20,000",7141,0.48,125999455
2026-01-02,2330,"20,001-30,000",6987,0.66,171192018
2026-01-02,2330,"200,001-400,000",1282,1.38,358583395
2026-01-02,2330,"30,001-40,000",3325,0.44,115541091
2026-01-02,2330,"40,001-50,000",1899,0.32,85553088
2026-01-02,2330,"400,001-600,000",573,1.07,279386535
2026-01-02,2330,"5,001-10,000",44250,1.23,319045508
2026-01-02,2330,"50,001-100,000",3827,1.02,266952471
2026-01-02,2330,"600,001-800,000",319,0.85,221389130
2026-01-02,2330,"800,001-1,000,000",231,0.8,207688030
2026-01-02,2330,"more than 1,000,001",1545,86.51,22435514318
2026-01-02,2330,total,1822518,100.0,25932524521
2026-01-02,2330,差異數調整（說明4）,4,0.0,-177000
2026-01-09,2330,"1,000-5,000",364890,2.7,700395339
2026-01-09,2330,1-999,1388124,0.72,188649351
2026-01-09,2330,"10,001-15,000",15020,0.71,184582743
2026-01-09,2330,"100,001-200,000",1937,1.03,269499793
2026-01-09,2330,"15,001-20,000",7151,0.48,126247946
2026-01-09,2330,"20,001-30,000",6949,0.65,170398095
2026-01-09,2330,"200,001-400,000",1294,1.39,361528217
2026-01-09,2330,"30,001-40,000",3310,0.44,114924139
2026-01-09,2330,"40,001-50,000",1914,0.33,86191139
2026-01-09,2330,"400,001-600,000",561,1.05,273024528
2026-01-09,2330,"5,001-10,000",43998,1.22,317210565
2026-01-09,2330,"50,001-100,000",3850,1.03,269010123
2026-01-09,2330,"600,001-800,000",321,0.85,221047331
2026-01-09,2330,"800,001-1,000,000",233,0.8,209914227
2026-01-09,2330,"more than 1,000,001",1542,86.53,22439947785
2026-01-09,2330,total,1841094,100.0,25932524521
2026-01-09,2330,差異數調整（說明4）,4,0.0,-46800
2026-01-16,2330,"1,000-5,000",367792,2.71,705083899
2026-01-16,2330,1-999,1412372,0.73,190249425
2026-01-16,2330,"10,001-15,000",15030,0.71,184799854
2026-01-16,2330,"100,001-200,000",1947,1.04,270549079
2026-01-16,2330,"15,001-20,000",7170,0.48,126551333
2026-01-16,2330,"20,001-30,000",6984,0.66,171289002
2026-01-16,2330,"200,001-400,000",1309,1.4,365384686
2026-01-16,2330,"30,001-40,000",3306,0.44,114720586
2026-01-16,2330,"40,001-50,000",1915,0.33,86245779
2026-01-16,2330,"400,001-600,000",563,1.05,274690827
2026-01-16,2330,"5,001-10,000",44239,1.22,318919634
2026-01-16,2330,"50,001-100,000",3862,1.03,269575674
2026-01-16,2330,"600,001-800,000",315,0.83,217293609
2026-01-16,2330,"800,001-1,000,000",238,0.82,213998225
2026-01-16,2330,"more than 1,000,001",1537,86.46,22423174909
2026-01-16,2330,total,1868579,100.0,25932524521
2026-01-16,2330,差異數調整（說明4）,1,0.0,-2000
2026-01-23,2330,"1,000-5,000",371876,2.74,711994825
2026-01-23,2330,1-999,1444990,0.74,192989775
2026-01-23,2330,"10,001-15,000",15140,0.71,186149370
2026-01-23,2330,"100,001-200,000",1945,1.04,270301677
2026-01-23,2330,"15,001-20,000",7170,0.48,126495360
2026-01-23,2330,"20,001-30,000",7038,0.66,172465626
2026-01-23,2330,"200,001-400,000",1314,1.41,367252844
2026-01-23,2330,"30,001-40,000",3310,0.44,114776799
2026-01-23,2330,"40,001-50,000",1932,0.33,87014479
2026-01-23,2330,"400,001-600,000",563,1.06,275272580
2026-01-23,2330,"5,001-10,000",44614,1.23,321516906
2026-01-23,2330,"50,001-100,000",3861,1.03,269549687
2026-01-23,2330,"600,001-800,000",316,0.83,217650318
2026-01-23,2330,"800,001-1,000,000",237,0.81,212636301
2026-01-23,2330,"more than 1,000,001",1538,86.4,22406457974
2026-01-23,2330,total,1905844,100.0,25932524521
2026-01-23,2330,差異數調整（說明4）,0,0.0,0
2026-01-30,2330,"1,000-5,000",371862,2.74,712114774
2026-01-30,2330,1-999,1463271,0.74,194091938
2026-01-30,2330,"10,001-15,000",15124,0.71,185948174
2026-01-30,2330,"100,001-200,000",1937,1.03,269204874
2026-01-30,2330,"15,001-20,000",7173,0.48,126524187
2026-01-30,2330,"20,001-30,000",7026,0.66,172240575
2026-01-30,2330,"200,001-400,000",1316,1.41,367478392
2026-01-30,2330,"30,001-40,000",3312,0.44,114828626
2026-01-30,2330,"40,001-50,000",1929,0.33,86894303
2026-01-30,2330,"400,001-600,000",565,1.06,276613221
2026-01-30,2330,"5,001-10,000",44661,1.24,321863907
2026-01-30,2330,"50,001-100,000",3861,1.03,269408593
2026-01-30,2330,"600,001-800,000",313,0.83,215429261
2026-01-30,2330,"800,001-1,000,000",242,0.83,217272753
2026-01-30,2330,"more than 1,000,001",1533,86.38,22402618943
2026-01-30,2330,total,1924125,100.0,25932524521
2026-01-30,2330,差異數調整（說明4）,5,0.0,-8000
2026-02-06,2330,"1,000-5,000",377825,2.78,722767017
2026-02-06,2330,1-999,1513754,0.76,198469535
2026-02-06,2330,"10,001-15,000",15267,0.72,187660587
2026-02-06,2330,"100,001-200,000",1933,1.03,268464371
2026-02-06,2330,"15,001-20,000",7214,0.49,127256968
2026-02-06,2330,"20,001-30,000",7062,0.66,173097680
2026-02-06,2330,"200,001-400,000",1313,1.41,365837723
2026-02-06,2330,"30,001-40,000",3358,0.44,116460920
2026-02-06,2330,"40,001-50,000",1929,0.33,86923141
2026-02-06,2330,"400,001-600,000",571,1.07,279606472
2026-02-06,2330,"5,001-10,000",45125,1.25,324953767
2026-02-06,2330,"50,001-100,000",3877,1.04,270525197
2026-02-06,2330,"600,001-800,000",321,0.85,221495339
