date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,3406,"1,000-5,000",10555,15.9,17926349
2025-12-19,3406,1-999,21095,1.58,1790714
2025-12-19,3406,"10,001-15,000",194,2.19,2477589
2025-12-19,3406,"100,001-200,000",39,5.05,5696840
2025-12-19,3406,"15,001-20,000",111,1.81,2041084
2025-12-19,3406,"20,001-30,000",80,1.78,2006880
2025-12-19,3406,"200,001-400,000",34,8.21,9266730
2025-12-19,3406,"30,001-40,000",63,1.96,2216692
2025-12-19,3406,"40,001-50,000",42,1.71,1931560
2025-12-19,3406,"400,001-600,000",13,5.41,6108849
2025-12-19,3406,"5,001-10,000",736,5.07,5726809
2025-12-19,3406,"50,001-100,000",83,5.31,5988895
2025-12-19,3406,"600,001-800,000",7,4.24,4787069
2025-12-19,3406,"800,001-1,000,000",4,3.37,3807044
2025-12-19,3406,"more than 1,000,001",16,36.33,40969959
2025-12-19,3406,total,33072,100.0,112743063
2025-12-19,3406,差異數調整（說明4）,0,0.0,0
2025-12-26,3406,"1,000-5,000",10457,15.77,17785648
2025-12-26,3406,1-999,21037,1.58,1788519
2025-12-26,3406,"10,001-15,000",196,2.22,2508569
2025-12-26,3406,"100,001-200,000",43,5.59,6311810
2025-12-26,3406,"15,001-20,000",108,1.77,1999734
2025-12-26,3406,"20,001-30,000",79,1.76,1987463
2025-12-26,3406,"200,001-400,000",37,8.9,10043159
2025-12-26,3406,"30,001-40,000",62,1.94,2196673
2025-12-26,3406,"40,001-50,000",38,1.54,1742149
2025-12-26,3406,"400,001-600,000",10,4.26,4807497
2025-12-26,3406,"5,001-10,000",737,5.07,5718782
2025-12-26,3406,"50,001-100,000",82,5.17,5832662
2025-12-26,3406,"600,001-800,000",6,3.72,4201123
2025-12-26,3406,"800,001-1,000,000",4,3.27,3694316
2025-12-26,3406,"more than 1,000,001",16,37.36,42124959
2025-12-26,3406,total,32912,100.0,112743063
2025-12-26,3406,差異數調整（說明4）,0,0.0,0
2026-01-02,3406,"1,000-5,000",9963,14.97,16883638
2026-01-02,3406,1-999,20811,1.54,1738491
2026-01-02,3406,"10,001-15,000",187,2.12,2391773
2026-01-02,3406,"100,001-200,000",42,5.42,6115967
2026-01-02,3406,"15,001-20,000",103,1.67,1892903
2026-01-02,3406,"20,001-30,000",73,1.63,1840586
2026-01-02,3406,"200,001-400,000",33,8.15,9188826
2026-01-02,3406,"30,001-40,000",58,1.82,2062348
2026-01-02,3406,"40,001-50,000",36,1.45,1640814
2026-01-02,3406,"400,001-600,000",14,5.98,6750646
2026-01-02,3406,"5,001-10,000",696,4.78,5389882
2026-01-02,3406,"50,001-100,000",83,5.23,5903690
2026-01-02,3406,"600,001-800,000",7,4.32,4874641
2026-01-02,3406,"800,001-1,000,000",4,3.23,3647899
2026-01-02,3406,"more than 1,000,001",16,37.62,42420959
2026-01-02,3406,total,32126,100.0,112743063
2026-01-02,3406,差異數調整（說明4）,0,0.0,0
2026-01-09,3406,"1,000-5,000",10028,15.12,17047725
2026-01-09,3406,1-999,20713,1.52,1722327
2026-01-09,3406,"10,001-15,000",185,2.1,2371393
2026-01-09,3406,"100,001-200,000",47,6.04,6818533
2026-01-09,3406,"15,001-20,000",103,1.68,1901555
2026-01-09,3406,"20,001-30,000",70,1.57,1780290
2026-01-09,3406,"200,001-400,000",32,7.79,8791158
2026-01-09,3406,"30,001-40,000",66,2.06,2329506
2026-01-09,3406,"40,001-50,000",40,1.61,1822953
2026-01-09,3406,"400,001-600,000",12,5.3,5978072
2026-01-09,3406,"5,001-10,000",709,4.88,5503263
2026-01-09,3406,"50,001-100,000",81,5.05,5698308
2026-01-09,3406,"600,001-800,000",6,3.73,4214194
2026-01-09,3406,"800,001-1,000,000",5,4.01,4527827
2026-01-09,3406,"more than 1,000,001",16,37.46,42235959
2026-01-09,3406,total,32113,100.0,112743063
2026-01-09,3406,差異數調整（說明4）,0,0.0,0
2026-01-16,3406,"1,000-5,000",9586,14.41,16253358
2026-01-16,3406,1-999,20354,1.45,1639125
2026-01-16,3406,"10,001-15,000",168,1.91,2155219
2026-01-16,3406,"100,001-200,000",45,5.81,6559961
2026-01-16,3406,"15,001-20,000",102,1.67,1886090
2026-01-16,3406,"20,001-30,000",75,1.69,1915648
2026-01-16,3406,"200,001-400,000",29,6.8,7673664
2026-01-16,3406,"30,001-40,000",58,1.82,2055245
2026-01-16,3406,"40,001-50,000",38,1.54,1744948
2026-01-16,3406,"400,001-600,000",13,5.43,6133111
2026-01-16,3406,"5,001-10,000",671,4.59,5179163
2026-01-16,3406,"50,001-100,000",82,5.17,5836505
2026-01-16,3406,"600,001-800,000",9,5.58,6292007
2026-01-16,3406,"800,001-1,000,000",6,4.82,5441060
2026-01-16,3406,"more than 1,000,001",16,37.23,41977959
2026-01-16,3406,total,31252,100.0,112743063
2026-01-16,3406,差異數調整（說明4）,0,0.0,0
2026-01-23,3406,"1,000-5,000",9452,14.22,16035485
2026-01-23,3406,1-999,20136,1.42,1602955
2026-01-23,3406,"10,001-15,000",172,1.96,2210063
2026-01-23,3406,"100,001-200,000",48,6.17,6964276
2026-01-23,3406,"15,001-20,000",96,1.58,1782137
2026-01-23,3406,"20,001-30,000",77,1.71,1935944
2026-01-23,3406,"200,001-400,000",28,6.45,7281161
2026-01-23,3406,"30,001-40,000",57,1.78,2014911
2026-01-23,3406,"40,001-50,000",42,1.7,1923248
2026-01-23,3406,"400,001-600,000",13,5.37,6055428
2026-01-23,3406,"5,001-10,000",669,4.55,5129847
2026-01-23,3406,"50,001-100,000",83,5.23,5904214
2026-01-23,3406,"600,001-800,000",9,5.64,6362346
2026-01-23,3406,"800,001-1,000,000",5,3.95,4458089
2026-01-23,3406,"more than 1,000,001",17,38.21,43082959
2026-01-23,3406,total,30904,100.0,112743063
2026-01-23,3406,差異數調整（說明4）,0,0.0,0
2026-01-30,3406,"1,000-5,000",9219,13.89,15660623
2026-01-30,3406,1-999,19929,1.39,1573363
2026-01-30,3406,"10,001-15,000",172,1.95,2203337
2026-01-30,3406,"100,001-200,000",49,6.17,6964288
2026-01-30,3406,"15,001-20,000",94,1.54,1744537
2026-01-30,3406,"20,001-30,000",75,1.69,1910444
2026-01-30,3406,"200,001-400,000",28,6.59,7433622
2026-01-30,3406,"30,001-40,000",59,1.85,2087766
2026-01-30,3406,"40,001-50,000",42,1.71,1934048
2026-01-30,3406,"400,001-600,000",14,5.95,6711969
2026-01-30,3406,"5,001-10,000",646,4.39,4960330
2026-01-30,3406,"50,001-100,000",84,5.25,5926808
2026-01-30,3406,"600,001-800,000",11,6.94,7832911
2026-01-30,3406,"800,001-1,000,000",3,2.52,2846058
2026-01-30,3406,"more than 1,000,001",17,38.09,42952959
2026-01-30,3406,total,30442,100.0,112743063
2026-01-30,3406,差異數調整（說明4）,0,0.0,0
2026-02-06,3406,"1,000-5,000",9108,13.71,15458444
2026-02-06,3406,1-999,19781,1.37,1545305
2026-02-06,3406,"10,001-15,000",165,1.88,2126176
2026-02-06,3406,"100,001-200,000",48,6.22,7023010
2026-02-06,3406,"15,001-20,000",95,1.56,1767058
2026-02-06,3406,"20,001-30,000",76,1.71,1935133
2026-02-06,3406,"200,001-400,000",28,6.68,7531405
2026-02-06,3406,"30,001-40,000",63,1.96,2217156
2026-02-06,3406,"40,001-50,000",36,1.47,1659545
2026-02-06,3406,"400,001-600,000",14,5.98,6752685
2026-02-06,3406,"5,001-10,000",643,4.37,4933244
2026-02-06,3406,"50,001-100,000",87,5.43,6132544
2026-02-06,3406,"600,001-800,000",9,5.49,6195647
2026-02-06,3406,"800,001-1,000,000",5,4.11,4635752
2026-02-06,3406,"more than 1,000,001",17,37.98,42829959
2026-02-06,3406,total,30175,100.0,112743063
2026-02-06,3406,差異數調整（說明4）,0,0.0,0
2026-02-13,3406,"1,000-5,000",9401,14.08,15878607
2026-02-13,3406,1-999,19977,1.39,1574968
2026-02-13,3406,"10,001-15,000",169,1.92,2171924
2026-02-13,3406,"100,001-200,000",47,6.24,7040010
2026-02-13,3406,"15,001-20,000",102,1.67,1893765
2026-02-13,3406,"20,001-30,000",72,1.6,1810140
2026-02-13,3406,"200,001-400,000",28,6.84,7716792
2026-02-13,3406,"30,001-40,000",63,1.97,2222843
2026-02-13,3406,"40,001-50,000",37,1.51,1704487
2026-02-13,3406,"400,001-600,000",13,5.57,6281705
2026-02-13,3406,"5,001-10,000",665,4.54,5123838
2026-02-13,3406,"50,001-100,000",91,5.67,6402069
2026-02-13,3406,"600,001-800,000",10,6.15,6934899
2026-02-13,3406,"800,001-1,000,000",6,4.85,5468921
2026-02-13,3406,"more than 1,000,001",15,35.93,40518095
2026-02-13,3406,total,30696,100.0,112743063
2026-02-13,3406,差異數調整（說明4）,0,0.0,0
2026-03-06,3406,"1,000-5,000",9436,14.26,16079934
2026-03-06,3406,1-999,20151,1.41,1597184
2026-03-06,3406,"10,001-15,000",172,1.94,2188765
2026-03-06,3406,"100,001-200,000",48,6.21,7002052
2026-03-06,3406,"15,001-20,000",104,1.7,1927086
2026-03-06,3406,"20,001-30,000",75,1.68,1898480
2026-03-06,3406,"200,001-400,000",33,7.71,8692731
2026-03-06,3406,"30,001-40,000",64,2.0,2255367
2026-03-06,3406,"40,001-50,000",34,1.4,1579083
2026-03-06,3406,"400,001-600,000",14,6.13,6914458
2026-03-06,3406,"5,001-10,000",667,4.54,5124092
2026-03-06,3406,"50,001-100,000",90,5.59,6306462
2026-03-06,3406,"600,001-800,000",7,4.27,4816231
2026-03-06,3406,"800,001-1,000,000",7,5.62,6336602
2026-03-06,3406,"more than 1,000,001",15,35.5,40024536
2026-03-06,3406,total,30917,100.0,112743063
2026-03-06,3406,差異數調整（說明4）,0,0.0,0
2026-03-13,3406,"1,000-5,000",9398,14.23,16044810
2026-03-13,3406,1-999,20233,1.42,1604924
2026-03-13,3406,"10,001-15,000",172,1.94,2189878
2026-03-13,3406,"100,001-200,000",51,6.52,7358970
2026-03-13,3406,"15,001-20,000",104,1.7,1926605
2026-03-13,3406,"20,001-30,000",71,1.58,1789019
2026-03-13,3406,"200,001-400,000",33,7.93,8948020
2026-03-13,3406,"30,001-40,000",65,2.05,2314618
2026-03-13,3406,"40,001-50,000",32,1.32,1498483
2026-03-13,3406,"400,001-600,000",12,5.19,5855701
2026-03-13,3406,"5,001-10,000",663,4.5,5081868
2026-03-13,3406,"50,001-100,000",88,5.42,6116652
2026-03-13,3406,"600,001-800,000",7,4.22,4767284
2026-03-13,3406,"800,001-1,000,000",8,6.46,7291385
2026-03-13,3406,"more than 1,000,001",15,35.43,39954846
2026-03-13,3406,total,30952,100.0,112743063
2026-03-13,3406,差異數調整（說明4）,0,0.0,0
2026-03-20,3406,"1,000-5,000",8973,13.52,15250594
2026-03-20,3406,1-999,20502,1.37,1548295
