date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,6461,"1,000-5,000",4999,5.61,10014141
2025-12-19,6461,1-999,13039,0.09,168571
2025-12-19,6461,"10,001-15,000",295,2.1,3748194
2025-12-19,6461,"100,001-200,000",66,5.09,9087575
2025-12-19,6461,"15,001-20,000",162,1.64,2938220
2025-12-19,6461,"20,001-30,000",200,2.8,5009806
2025-12-19,6461,"200,001-400,000",45,7.06,12596385
2025-12-19,6461,"30,001-40,000",118,2.34,4190051
2025-12-19,6461,"40,001-50,000",67,1.7,3042443
2025-12-19,6461,"400,001-600,000",12,3.28,5868239
2025-12-19,6461,"5,001-10,000",803,3.56,6364141
2025-12-19,6461,"50,001-100,000",130,5.13,9166933
2025-12-19,6461,"600,001-800,000",7,2.64,4722766
2025-12-19,6461,"800,001-1,000,000",5,2.46,4403084
2025-12-19,6461,"more than 1,000,001",7,54.41,97084212
2025-12-19,6461,total,19955,100.0,178404761
2025-12-19,6461,差異數調整（說明4）,0,0.0,0
2025-12-26,6461,"1,000-5,000",4988,5.6,10004897
2025-12-26,6461,1-999,13119,0.09,168247
2025-12-26,6461,"10,001-15,000",298,2.12,3791013
2025-12-26,6461,"100,001-200,000",66,5.09,9087575
2025-12-26,6461,"15,001-20,000",163,1.65,2958220
2025-12-26,6461,"20,001-30,000",199,2.79,4986951
2025-12-26,6461,"200,001-400,000",44,6.84,12205385
2025-12-26,6461,"30,001-40,000",119,2.36,4215241
2025-12-26,6461,"40,001-50,000",66,1.68,3001139
2025-12-26,6461,"400,001-600,000",13,3.51,6277239
2025-12-26,6461,"5,001-10,000",801,3.54,6329937
2025-12-26,6461,"50,001-100,000",130,5.13,9168855
2025-12-26,6461,"600,001-800,000",7,2.64,4722766
2025-12-26,6461,"800,001-1,000,000",5,2.46,4403084
2025-12-26,6461,"more than 1,000,001",7,54.41,97084212
2025-12-26,6461,total,20025,100.0,178404761
2025-12-26,6461,差異數調整（說明4）,0,0.0,0
2026-01-02,6461,"1,000-5,000",5039,5.66,10114053
2026-01-02,6461,1-999,13149,0.09,167671
2026-01-02,6461,"10,001-15,000",300,2.13,3809280
2026-01-02,6461,"100,001-200,000",71,5.41,9653504
2026-01-02,6461,"15,001-20,000",157,1.59,2853391
2026-01-02,6461,"20,001-30,000",203,2.86,5104767
2026-01-02,6461,"200,001-400,000",43,6.84,12213272
2026-01-02,6461,"30,001-40,000",119,2.36,4220572
2026-01-02,6461,"40,001-50,000",64,1.63,2911832
2026-01-02,6461,"400,001-600,000",14,3.78,6746739
2026-01-02,6461,"5,001-10,000",813,3.6,6425397
2026-01-02,6461,"50,001-100,000",128,5.01,8946221
2026-01-02,6461,"600,001-800,000",7,2.64,4722766
2026-01-02,6461,"800,001-1,000,000",4,1.92,3431084
2026-01-02,6461,"more than 1,000,001",7,54.41,97084212
2026-01-02,6461,total,20118,100.0,178404761
2026-01-02,6461,差異數調整（說明4）,0,0.0,0
2026-01-09,6461,"1,000-5,000",5235,5.87,10487254
2026-01-09,6461,1-999,13242,0.09,175216
2026-01-09,6461,"10,001-15,000",293,2.08,3726573
2026-01-09,6461,"100,001-200,000",70,5.35,9545867
2026-01-09,6461,"15,001-20,000",170,1.73,3088037
2026-01-09,6461,"20,001-30,000",195,2.75,4906181
2026-01-09,6461,"200,001-400,000",45,7.07,12628988
2026-01-09,6461,"30,001-40,000",115,2.28,4072734
2026-01-09,6461,"40,001-50,000",58,1.47,2634200
2026-01-09,6461,"400,001-600,000",14,3.81,6801278
2026-01-09,6461,"5,001-10,000",821,3.67,6553289
2026-01-09,6461,"50,001-100,000",131,5.13,9167621
2026-01-09,6461,"600,001-800,000",6,2.3,4117227
2026-01-09,6461,"800,001-1,000,000",4,1.91,3416084
2026-01-09,6461,"more than 1,000,001",7,54.41,97084212
2026-01-09,6461,total,20406,100.0,178404761
2026-01-09,6461,差異數調整（說明4）,0,0.0,0
2026-01-16,6461,"1,000-5,000",5290,5.9,10538540
2026-01-16,6461,1-999,13346,0.09,176899
2026-01-16,6461,"10,001-15,000",296,2.1,3756725
2026-01-16,6461,"100,001-200,000",70,5.39,9619476
2026-01-16,6461,"15,001-20,000",182,1.86,3325841
2026-01-16,6461,"20,001-30,000",189,2.66,4747283
2026-01-16,6461,"200,001-400,000",45,7.14,12748235
2026-01-16,6461,"30,001-40,000",114,2.26,4043603
2026-01-16,6461,"40,001-50,000",62,1.57,2818324
2026-01-16,6461,"400,001-600,000",13,3.54,6331639
2026-01-16,6461,"5,001-10,000",833,3.74,6676589
2026-01-16,6461,"50,001-100,000",128,5.07,9048084
2026-01-16,6461,"600,001-800,000",7,2.73,4873460
2026-01-16,6461,"800,001-1,000,000",3,1.46,2615851
2026-01-16,6461,"more than 1,000,001",7,54.41,97084212
2026-01-16,6461,total,20585,100.0,178404761
2026-01-16,6461,差異數調整（說明4）,0,0.0,0
