date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,4735,"1,000-5,000",2765,13.2,5489383
2025-12-19,4735,1-999,29418,0.31,132190
2025-12-19,4735,"10,001-15,000",128,4.01,1668040
2025-12-19,4735,"100,001-200,000",13,4.22,1756753
2025-12-19,4735,"15,001-20,000",73,3.19,1329358
2025-12-19,4735,"20,001-30,000",70,4.22,1754230
2025-12-19,4735,"200,001-400,000",4,2.9,1206552
2025-12-19,4735,"30,001-40,000",28,2.38,993327
2025-12-19,4735,"40,001-50,000",13,1.41,587037
2025-12-19,4735,"400,001-600,000",4,4.39,1826207
2025-12-19,4735,"5,001-10,000",369,6.81,2830856
2025-12-19,4735,"50,001-100,000",24,3.97,1652260
2025-12-19,4735,"600,001-800,000",1,1.53,636734
2025-12-19,4735,"800,001-1,000,000",2,4.51,1875679
2025-12-19,4735,"more than 1,000,001",8,42.89,17830152
2025-12-19,4735,total,32920,100.0,41568758
2025-12-19,4735,差異數調整（說明4）,0,0.0,0
2025-12-26,4735,"1,000-5,000",2762,13.15,5468978
2025-12-26,4735,1-999,29482,0.31,131753
2025-12-26,4735,"10,001-15,000",126,3.93,1636616
2025-12-26,4735,"100,001-200,000",13,4.21,1752753
2025-12-26,4735,"15,001-20,000",74,3.22,1340040
2025-12-26,4735,"20,001-30,000",70,4.21,1753230
2025-12-26,4735,"200,001-400,000",4,2.9,1206552
2025-12-26,4735,"30,001-40,000",28,2.38,993327
2025-12-26,4735,"40,001-50,000",14,1.51,628037
2025-12-26,4735,"400,001-600,000",4,4.39,1826207
2025-12-26,4735,"5,001-10,000",369,6.8,2827440
2025-12-26,4735,"50,001-100,000",24,3.99,1661260
2025-12-26,4735,"600,001-800,000",1,1.53,636734
2025-12-26,4735,"800,001-1,000,000",2,4.51,1875679
2025-12-26,4735,"more than 1,000,001",8,42.89,17830152
2025-12-26,4735,total,32981,100.0,41568758
2025-12-26,4735,差異數調整（說明4）,0,0.0,0
2026-01-02,4735,"1,000-5,000",2757,13.14,5464748
2026-01-02,4735,1-999,29543,0.31,130905
2026-01-02,4735,"10,001-15,000",127,3.96,1649616
2026-01-02,4735,"100,001-200,000",13,4.21,1751753
2026-01-02,4735,"15,001-20,000",74,3.22,1340122
2026-01-02,4735,"20,001-30,000",70,4.21,1752230
2026-01-02,4735,"200,001-400,000",4,2.9,1206552
2026-01-02,4735,"30,001-40,000",28,2.38,993323
2026-01-02,4735,"40,001-50,000",14,1.51,629037
2026-01-02,4735,"400,001-600,000",4,4.39,1826207
2026-01-02,4735,"5,001-10,000",368,6.77,2817440
2026-01-02,4735,"50,001-100,000",24,4.0,1664260
2026-01-02,4735,"600,001-800,000",1,1.53,636734
2026-01-02,4735,"800,001-1,000,000",2,4.51,1875679
2026-01-02,4735,"more than 1,000,001",8,42.89,17830152
2026-01-02,4735,total,33037,100.0,41568758
2026-01-02,4735,差異數調整（說明4）,0,0.0,0
2026-01-09,4735,"1,000-5,000",2756,13.13,5459726
2026-01-09,4735,1-999,29623,0.31,130453
2026-01-09,4735,"10,001-15,000",127,3.96,1647200
2026-01-09,4735,"100,001-200,000",13,4.2,1749753
2026-01-09,4735,"15,001-20,000",74,3.22,1338535
2026-01-09,4735,"20,001-30,000",69,4.16,1731230
2026-01-09,4735,"200,001-400,000",4,2.9,1206552
2026-01-09,4735,"30,001-40,000",28,2.39,994320
2026-01-09,4735,"40,001-50,000",14,1.51,631037
2026-01-09,4735,"400,001-600,000",4,4.39,1826207
2026-01-09,4735,"5,001-10,000",372,6.84,2846920
2026-01-09,4735,"50,001-100,000",24,4.0,1664260
2026-01-09,4735,"600,001-800,000",1,1.53,636734
2026-01-09,4735,"800,001-1,000,000",2,4.51,1875679
2026-01-09,4735,"more than 1,000,001",8,42.89,17830152
2026-01-09,4735,total,33119,100.0,41568758
2026-01-09,4735,差異數調整（說明4）,0,0.0,0
2026-01-16,4735,"1,000-5,000",2765,13.14,5465215
2026-01-16,4735,1-999,29729,0.31,130880
2026-01-16,4735,"10,001-15,000",126,3.93,1634120
2026-01-16,4735,"100,001-200,000",13,4.21,1750753
2026-01-16,4735,"15,001-20,000",74,3.21,1337535
2026-01-16,4735,"20,001-30,000",67,4.02,1674230
2026-01-16,4735,"200,001-400,000",4,2.9,1206552
2026-01-16,4735,"30,001-40,000",27,2.29,952320
2026-01-16,4735,"40,001-50,000",15,1.62,677037
2026-01-16,4735,"400,001-600,000",4,4.39,1826207
2026-01-16,4735,"5,001-10,000",373,6.85,2850084
2026-01-16,4735,"50,001-100,000",25,4.14,1721260
2026-01-16,4735,"600,001-800,000",1,1.53,636734
2026-01-16,4735,"800,001-1,000,000",2,4.51,1875679
2026-01-16,4735,"more than 1,000,001",8,42.89,17830152
2026-01-16,4735,total,33233,100.0,41568758
2026-01-16,4735,差異數調整（說明4）,0,0.0,0
2026-01-23,4735,"1,000-5,000",2760,13.15,5468693
2026-01-23,4735,1-999,29867,0.31,131113
2026-01-23,4735,"10,001-15,000",123,3.82,1589120
2026-01-23,4735,"100,001-200,000",13,4.22,1754753
2026-01-23,4735,"15,001-20,000",75,3.25,1351715
2026-01-23,4735,"20,001-30,000",68,4.07,1694230
2026-01-23,4735,"200,001-400,000",4,2.9,1206552
2026-01-23,4735,"30,001-40,000",27,2.29,952320
2026-01-23,4735,"40,001-50,000",15,1.63,678037
2026-01-23,4735,"400,001-600,000",4,4.39,1826207
