date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,6169,"1,000-5,000",2336,19.22,4497841
2025-12-19,6169,1-999,32709,2.64,618954
2025-12-19,6169,"10,001-15,000",106,5.78,1352800
2025-12-19,6169,"100,001-200,000",8,4.68,1095338
2025-12-19,6169,"15,001-20,000",60,4.69,1097244
2025-12-19,6169,"20,001-30,000",39,4.24,992499
2025-12-19,6169,"200,001-400,000",5,6.49,1520451
2025-12-19,6169,"30,001-40,000",25,3.64,852123
2025-12-19,6169,"40,001-50,000",15,2.96,694788
2025-12-19,6169,"400,001-600,000",1,2.13,500000
2025-12-19,6169,"5,001-10,000",285,9.46,2214214
2025-12-19,6169,"50,001-100,000",26,7.57,1771764
2025-12-19,6169,"600,001-800,000",0,0.0,0
2025-12-19,6169,"800,001-1,000,000",0,0.0,0
2025-12-19,6169,"more than 1,000,001",2,26.44,6186944
2025-12-19,6169,total,35617,100.0,23394960
2025-12-19,6169,差異數調整（說明4）,0,0.0,0
2025-12-26,6169,"1,000-5,000",2328,19.1,4468724
2025-12-26,6169,1-999,32773,2.64,619071
2025-12-26,6169,"10,001-15,000",105,5.72,1339800
2025-12-26,6169,"100,001-200,000",8,4.69,1099338
2025-12-26,6169,"15,001-20,000",61,4.76,1114244
2025-12-26,6169,"20,001-30,000",39,4.24,992499
2025-12-26,6169,"200,001-400,000",5,6.49,1520451
2025-12-26,6169,"30,001-40,000",25,3.63,850123
2025-12-26,6169,"40,001-50,000",15,2.96,694788
2025-12-26,6169,"400,001-600,000",1,2.13,500000
2025-12-26,6169,"5,001-10,000",288,9.56,2238214
2025-12-26,6169,"50,001-100,000",26,7.56,1770764
2025-12-26,6169,"600,001-800,000",0,0.0,0
2025-12-26,6169,"800,001-1,000,000",0,0.0,0
2025-12-26,6169,"more than 1,000,001",2,26.44,6186944
2025-12-26,6169,total,35676,100.0,23394960
2025-12-26,6169,差異數調整（說明4）,0,0.0,0
2026-01-02,6169,"1,000-5,000",2325,19.06,4460586
2026-01-02,6169,1-999,32802,2.64,619208
2026-01-02,6169,"10,001-15,000",106,5.76,1348801
2026-01-02,6169,"100,001-200,000",8,4.69,1099338
2026-01-02,6169,"15,001-20,000",60,4.68,1096244
2026-01-02,6169,"20,001-30,000",41,4.48,1048499
2026-01-02,6169,"200,001-400,000",5,6.49,1520451
2026-01-02,6169,"30,001-40,000",24,3.5,820123
2026-01-02,6169,"40,001-50,000",15,2.96,694788
2026-01-02,6169,"400,001-600,000",1,2.13,500000
2026-01-02,6169,"5,001-10,000",287,9.52,2228214
2026-01-02,6169,"50,001-100,000",26,7.57,1771764
2026-01-02,6169,"600,001-800,000",0,0.0,0
2026-01-02,6169,"800,001-1,000,000",0,0.0,0
2026-01-02,6169,"more than 1,000,001",2,26.44,6186944
2026-01-02,6169,total,35702,100.0,23394960
2026-01-02,6169,差異數調整（說明4）,0,0.0,0
2026-01-09,6169,"1,000-5,000",2320,19.05,4458095
2026-01-09,6169,1-999,32860,2.64,618698
2026-01-09,6169,"10,001-15,000",108,5.87,1374801
2026-01-09,6169,"100,001-200,000",8,4.7,1101338
2026-01-09,6169,"15,001-20,000",59,4.61,1079244
2026-01-09,6169,"20,001-30,000",43,4.68,1095499
2026-01-09,6169,"200,001-400,000",5,6.49,1520451
2026-01-09,6169,"30,001-40,000",23,3.37,789123
2026-01-09,6169,"40,001-50,000",15,2.96,694788
2026-01-09,6169,"400,001-600,000",1,2.13,500000
