date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,8091,"1,000-5,000",3614,12.51,6678430
2025-12-19,8091,1-999,11448,0.84,452646
2025-12-19,8091,"10,001-15,000",147,3.43,1830893
2025-12-19,8091,"100,001-200,000",26,6.68,3567835
2025-12-19,8091,"15,001-20,000",69,2.34,1249385
2025-12-19,8091,"20,001-30,000",60,2.77,1480132
2025-12-19,8091,"200,001-400,000",7,3.52,1880175
2025-12-19,8091,"30,001-40,000",41,2.67,1426800
2025-12-19,8091,"40,001-50,000",37,3.14,1675682
2025-12-19,8091,"400,001-600,000",6,5.51,2943901
2025-12-19,8091,"5,001-10,000",425,5.89,3147326
2025-12-19,8091,"50,001-100,000",52,6.85,3654849
2025-12-19,8091,"600,001-800,000",5,6.39,3409353
2025-12-19,8091,"800,001-1,000,000",1,1.71,916669
2025-12-19,8091,"more than 1,000,001",10,35.68,19035038
2025-12-19,8091,total,15948,100.0,53349114
2025-12-19,8091,差異數調整（說明4）,0,0.0,0
2025-12-26,8091,"1,000-5,000",3618,12.54,6695171
2025-12-26,8091,1-999,11444,0.84,449957
2025-12-26,8091,"10,001-15,000",146,3.4,1816134
2025-12-26,8091,"100,001-200,000",27,6.78,3621987
2025-12-26,8091,"15,001-20,000",69,2.33,1247555
2025-12-26,8091,"20,001-30,000",61,2.82,1506832
2025-12-26,8091,"200,001-400,000",7,3.65,1951175
2025-12-26,8091,"30,001-40,000",42,2.72,1454200
2025-12-26,8091,"40,001-50,000",38,3.21,1713460
2025-12-26,8091,"400,001-600,000",6,5.31,2833341
2025-12-26,8091,"5,001-10,000",420,5.85,3121323
2025-12-26,8091,"50,001-100,000",51,6.68,3566919
2025-12-26,8091,"600,001-800,000",5,6.44,3439353
2025-12-26,8091,"800,001-1,000,000",1,1.71,916669
2025-12-26,8091,"more than 1,000,001",10,35.64,19015038
2025-12-26,8091,total,15945,100.0,53349114
2025-12-26,8091,差異數調整（說明4）,0,0.0,0
2026-01-02,8091,"1,000-5,000",3627,12.58,6711394
2026-01-02,8091,1-999,11435,0.83,446072
2026-01-02,8091,"10,001-15,000",145,3.38,1804134
2026-01-02,8091,"100,001-200,000",27,6.78,3617895
2026-01-02,8091,"15,001-20,000",71,2.43,1296555
2026-01-02,8091,"20,001-30,000",58,2.7,1444192
2026-01-02,8091,"200,001-400,000",7,3.64,1945797
2026-01-02,8091,"30,001-40,000",42,2.72,1455840
2026-01-02,8091,"40,001-50,000",36,3.03,1617460
2026-01-02,8091,"400,001-600,000",6,5.3,2830045
2026-01-02,8091,"5,001-10,000",425,5.91,3157751
2026-01-02,8091,"50,001-100,000",52,6.8,3629919
2026-01-02,8091,"600,001-800,000",5,6.48,3460353
2026-01-02,8091,"800,001-1,000,000",1,1.71,916669
2026-01-02,8091,"more than 1,000,001",10,35.64,19015038
2026-01-02,8091,total,15947,100.0,53349114
2026-01-02,8091,差異數調整（說明4）,0,0.0,0
2026-01-09,8091,"1,000-5,000",3580,12.35,6591861
2026-01-09,8091,1-999,11435,0.84,448199
2026-01-09,8091,"10,001-15,000",141,3.29,1757218
2026-01-09,8091,"100,001-200,000",27,6.78,3618026
2026-01-09,8091,"15,001-20,000",74,2.51,1343055
2026-01-09,8091,"20,001-30,000",60,2.81,1503832
2026-01-09,8091,"200,001-400,000",8,4.14,2213175
2026-01-09,8091,"30,001-40,000",40,2.63,1408200
2026-01-09,8091,"40,001-50,000",34,2.86,1530460
2026-01-09,8091,"400,001-600,000",6,5.35,2857764
2026-01-09,8091,"5,001-10,000",422,5.91,3155295
2026-01-09,8091,"50,001-100,000",50,6.43,3431969
2026-01-09,8091,"600,001-800,000",5,6.66,3558353
2026-01-09,8091,"800,001-1,000,000",1,1.71,916669
2026-01-09,8091,"more than 1,000,001",10,35.64,19015038
2026-01-09,8091,total,15893,100.0,53349114
2026-01-09,8091,差異數調整（說明4）,0,0.0,0
2026-01-16,8091,"1,000-5,000",3507,12.12,6468598
2026-01-16,8091,1-999,11444,0.84,449929
2026-01-16,8091,"10,001-15,000",135,3.12,1667458
2026-01-16,8091,"100,001-200,000",26,6.82,3643064
2026-01-16,8091,"15,001-20,000",76,2.59,1384299
2026-01-16,8091,"20,001-30,000",53,2.46,1317308
2026-01-16,8091,"200,001-400,000",6,3.13,1671408
2026-01-16,8091,"30,001-40,000",43,2.8,1497092
2026-01-16,8091,"40,001-50,000",31,2.63,1407208
2026-01-16,8091,"400,001-600,000",6,5.21,2781312
2026-01-16,8091,"5,001-10,000",416,5.83,3115586
2026-01-16,8091,"50,001-100,000",52,6.83,3644480
2026-01-16,8091,"600,001-800,000",5,6.33,3377108
2026-01-16,8091,"800,001-1,000,000",2,3.57,1909226
2026-01-16,8091,"more than 1,000,001",10,35.64,19015038
2026-01-16,8091,total,15812,100.0,53349114
2026-01-16,8091,差異數調整（說明4）,0,0.0,0
2026-01-23,8091,"1,000-5,000",3397,11.66,6228724
2026-01-23,8091,1-999,11400,0.83,445840
2026-01-23,8091,"10,001-15,000",121,2.8,1496052
2026-01-23,8091,"100,001-200,000",28,7.46,3985448
2026-01-23,8091,"15,001-20,000",76,2.56,1371586
2026-01-23,8091,"20,001-30,000",58,2.7,1446223
2026-01-23,8091,"200,001-400,000",7,3.56,1903169
2026-01-23,8091,"30,001-40,000",41,2.65,1417972
2026-01-23,8091,"40,001-50,000",28,2.36,1263171
2026-01-23,8091,"400,001-600,000",6,5.18,2768312
2026-01-23,8091,"5,001-10,000",401,5.57,2978138
2026-01-23,8091,"50,001-100,000",51,6.7,3578607
2026-01-23,8091,"600,001-800,000",5,6.65,3552108
2026-01-23,8091,"800,001-1,000,000",1,1.71,916669
2026-01-23,8091,"more than 1,000,001",11,37.52,20032595
2026-01-23,8091,total,15631,100.0,53384614
2026-01-23,8091,差異數調整（說明4）,0,0.0,0
2026-01-30,8091,"1,000-5,000",3323,11.47,6126906
2026-01-30,8091,1-999,11390,0.82,440234
2026-01-30,8091,"10,001-15,000",121,2.78,1485512
2026-01-30,8091,"100,001-200,000",26,6.75,3604616
2026-01-30,8091,"15,001-20,000",77,2.61,1397985
2026-01-30,8091,"20,001-30,000",51,2.36,1264021
2026-01-30,8091,"200,001-400,000",12,6.48,3463460
2026-01-30,8091,"30,001-40,000",42,2.72,1454972
2026-01-30,8091,"40,001-50,000",27,2.26,1209171
2026-01-30,8091,"400,001-600,000",4,3.61,1931971
2026-01-30,8091,"5,001-10,000",366,5.05,2700547
2026-01-30,8091,"50,001-100,000",53,6.84,3653847
2026-01-30,8091,"600,001-800,000",4,5.18,2766796
2026-01-30,8091,"800,001-1,000,000",2,3.43,1831981
2026-01-30,8091,"more than 1,000,001",11,37.56,20052595
2026-01-30,8091,total,15509,100.0,53384614
2026-01-30,8091,差異數調整（說明4）,0,0.0,0
2026-02-06,8091,"1,000-5,000",3283,11.29,6029740
2026-02-06,8091,1-999,11348,0.8,431490
2026-02-06,8091,"10,001-15,000",122,2.82,1507820
2026-02-06,8091,"100,001-200,000",25,6.53,3491174
2026-02-06,8091,"15,001-20,000",73,2.47,1322586
2026-02-06,8091,"20,001-30,000",53,2.44,1302929
2026-02-06,8091,"200,001-400,000",12,6.28,3357726
