date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,2630,"1,000-5,000",14698,13.35,27975636
2025-12-19,2630,1-999,5313,0.49,1045179
2025-12-19,2630,"10,001-15,000",350,2.14,4493099
2025-12-19,2630,"100,001-200,000",36,2.46,5171890
2025-12-19,2630,"15,001-20,000",249,2.24,4698949
2025-12-19,2630,"20,001-30,000",165,2.04,4289805
2025-12-19,2630,"200,001-400,000",17,2.13,4461071
2025-12-19,2630,"30,001-40,000",75,1.27,2666240
2025-12-19,2630,"40,001-50,000",34,0.76,1607577
2025-12-19,2630,"400,001-600,000",3,0.69,1457235
2025-12-19,2630,"5,001-10,000",1499,5.76,12073207
2025-12-19,2630,"50,001-100,000",84,2.89,6066958
2025-12-19,2630,"600,001-800,000",3,1.01,2130000
2025-12-19,2630,"800,001-1,000,000",3,1.28,2687000
2025-12-19,2630,"more than 1,000,001",4,61.4,128614358
2025-12-19,2630,total,22533,100.0,209438204
2025-12-19,2630,差異數調整（說明4）,0,0.0,0
2025-12-26,2630,"1,000-5,000",15426,13.82,28959179
2025-12-26,2630,1-999,5520,0.5,1068076
2025-12-26,2630,"10,001-15,000",324,1.98,4152350
2025-12-26,2630,"100,001-200,000",33,2.2,4622331
2025-12-26,2630,"15,001-20,000",257,2.3,4824949
2025-12-26,2630,"20,001-30,000",163,2.01,4230251
2025-12-26,2630,"200,001-400,000",15,1.73,3643776
2025-12-26,2630,"30,001-40,000",71,1.2,2529746
2025-12-26,2630,"40,001-50,000",32,0.72,1519577
2025-12-26,2630,"400,001-600,000",4,0.95,1990523
2025-12-26,2630,"5,001-10,000",1495,5.8,12159050
2025-12-26,2630,"50,001-100,000",78,2.7,5670917
2025-12-26,2630,"600,001-800,000",4,1.31,2749867
2025-12-26,2630,"800,001-1,000,000",3,1.28,2687000
2025-12-26,2630,"more than 1,000,001",4,61.41,128630612
2025-12-26,2630,total,23429,100.0,209438204
2025-12-26,2630,差異數調整（說明4）,0,0.0,0
2026-01-02,2630,"1,000-5,000",15667,14.09,29523464
2026-01-02,2630,1-999,5466,0.5,1065244
2026-01-02,2630,"10,001-15,000",362,2.21,4644842
2026-01-02,2630,"100,001-200,000",30,1.97,4144112
2026-01-02,2630,"15,001-20,000",253,2.26,4753065
2026-01-02,2630,"20,001-30,000",179,2.2,4620504
2026-01-02,2630,"200,001-400,000",14,1.71,3583510
2026-01-02,2630,"30,001-40,000",70,1.19,2508232
2026-01-02,2630,"40,001-50,000",35,0.79,1664577
2026-01-02,2630,"400,001-600,000",3,0.7,1474332
2026-01-02,2630,"5,001-10,000",1524,5.91,12395757
2026-01-02,2630,"50,001-100,000",81,2.8,5876792
2026-01-02,2630,"600,001-800,000",3,0.96,2018161
2026-01-02,2630,"800,001-1,000,000",3,1.29,2717000
2026-01-02,2630,"more than 1,000,001",4,61.33,128448612
2026-01-02,2630,total,23694,100.0,209438204
2026-01-02,2630,差異數調整（說明4）,0,0.0,0
2026-01-09,2630,"1,000-5,000",15357,13.77,28857776
2026-01-09,2630,1-999,5424,0.5,1054924
2026-01-09,2630,"10,001-15,000",344,2.1,4410606
2026-01-09,2630,"100,001-200,000",30,1.9,3997550
2026-01-09,2630,"15,001-20,000",257,2.3,4829304
2026-01-09,2630,"20,001-30,000",174,2.15,4517696
2026-01-09,2630,"200,001-400,000",17,2.03,4251684
2026-01-09,2630,"30,001-40,000",69,1.18,2477232
2026-01-09,2630,"40,001-50,000",34,0.76,1595577
2026-01-09,2630,"400,001-600,000",3,0.64,1354900
