date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,2636,"1,000-5,000",16442,22.15,31416917
2025-12-19,2636,1-999,35636,0.97,1376804
2025-12-19,2636,"10,001-15,000",485,4.3,6113044
2025-12-19,2636,"100,001-200,000",47,4.54,6445753
2025-12-19,2636,"15,001-20,000",234,3.0,4269001
2025-12-19,2636,"20,001-30,000",235,4.15,5893586
2025-12-19,2636,"200,001-400,000",23,4.69,6658629
2025-12-19,2636,"30,001-40,000",90,2.24,3189082
2025-12-19,2636,"40,001-50,000",42,1.37,1954646
2025-12-19,2636,"400,001-600,000",6,2.17,3081178
2025-12-19,2636,"5,001-10,000",1633,8.69,12338845
2025-12-19,2636,"50,001-100,000",91,4.3,6105399
2025-12-19,2636,"600,001-800,000",5,2.44,3467577
2025-12-19,2636,"800,001-1,000,000",3,1.91,2712102
2025-12-19,2636,"more than 1,000,001",16,33.0,46812667
2025-12-19,2636,total,54988,100.0,141835230
2025-12-19,2636,差異數調整（說明4）,0,0.0,0
2025-12-26,2636,"1,000-5,000",16391,22.07,31309816
2025-12-26,2636,1-999,35652,0.96,1370418
2025-12-26,2636,"10,001-15,000",483,4.3,6101144
2025-12-26,2636,"100,001-200,000",47,4.55,6459753
2025-12-26,2636,"15,001-20,000",231,2.96,4207298
2025-12-26,2636,"20,001-30,000",233,4.11,5834081
2025-12-26,2636,"200,001-400,000",23,4.61,6546628
2025-12-26,2636,"30,001-40,000",89,2.21,3141149
2025-12-26,2636,"40,001-50,000",41,1.34,1910322
2025-12-26,2636,"400,001-600,000",6,2.16,3077178
2025-12-26,2636,"5,001-10,000",1622,8.64,12257378
2025-12-26,2636,"50,001-100,000",96,4.56,6481719
2025-12-26,2636,"600,001-800,000",6,2.99,4251394
2025-12-26,2636,"800,001-1,000,000",2,1.32,1874285
2025-12-26,2636,"more than 1,000,001",16,33.14,47012667
2025-12-26,2636,total,54938,100.0,141835230
2025-12-26,2636,差異數調整（說明4）,0,0.0,0
2026-01-02,2636,"1,000-5,000",16335,21.99,31197141
2026-01-02,2636,1-999,35661,0.96,1370299
2026-01-02,2636,"10,001-15,000",487,4.34,6161516
2026-01-02,2636,"100,001-200,000",49,4.76,6763729
2026-01-02,2636,"15,001-20,000",229,2.93,4166647
2026-01-02,2636,"20,001-30,000",231,4.07,5780129
2026-01-02,2636,"200,001-400,000",26,5.25,7459496
2026-01-02,2636,"30,001-40,000",89,2.22,3150101
2026-01-02,2636,"40,001-50,000",40,1.31,1871322
2026-01-02,2636,"400,001-600,000",6,2.16,3065178
2026-01-02,2636,"5,001-10,000",1607,8.55,12138193
2026-01-02,2636,"50,001-100,000",89,4.23,6006133
2026-01-02,2636,"600,001-800,000",4,1.92,2732577
2026-01-02,2636,"800,001-1,000,000",3,1.93,2741102
2026-01-02,2636,"more than 1,000,001",16,33.3,47231667
2026-01-02,2636,total,54872,100.0,141835230
2026-01-02,2636,差異數調整（說明4）,0,0.0,0
2026-01-09,2636,"1,000-5,000",16198,21.78,30893412
2026-01-09,2636,1-999,35666,0.95,1361294
2026-01-09,2636,"10,001-15,000",482,4.3,6103349
2026-01-09,2636,"100,001-200,000",50,4.88,6933690
2026-01-09,2636,"15,001-20,000",225,2.89,4108388
2026-01-09,2636,"20,001-30,000",230,4.04,5740130
2026-01-09,2636,"200,001-400,000",24,4.86,6893469
2026-01-09,2636,"30,001-40,000",89,2.22,3150149
2026-01-09,2636,"40,001-50,000",41,1.34,1907061
2026-01-09,2636,"400,001-600,000",6,2.2,3125178
2026-01-09,2636,"5,001-10,000",1608,8.56,12150484
2026-01-09,2636,"50,001-100,000",90,4.27,6057267
2026-01-09,2636,"600,001-800,000",4,1.92,2732577
2026-01-09,2636,"800,001-1,000,000",4,2.68,3803115
2026-01-09,2636,"more than 1,000,001",16,33.04,46875667
2026-01-09,2636,total,54733,100.0,141835230
2026-01-09,2636,差異數調整（說明4）,0,0.0,0
2026-01-16,2636,"1,000-5,000",16123,21.67,30744240
2026-01-16,2636,1-999,35692,0.95,1356133
2026-01-16,2636,"10,001-15,000",477,4.25,6033619
2026-01-16,2636,"100,001-200,000",50,4.88,6932483
2026-01-16,2636,"15,001-20,000",226,2.9,4122388
2026-01-16,2636,"20,001-30,000",237,4.16,5901130
2026-01-16,2636,"200,001-400,000",24,4.87,6914451
2026-01-16,2636,"30,001-40,000",89,2.21,3137145
2026-01-16,2636,"40,001-50,000",39,1.28,1819109
2026-01-16,2636,"400,001-600,000",6,2.21,3142178
2026-01-16,2636,"5,001-10,000",1612,8.57,12168596
2026-01-16,2636,"50,001-100,000",89,4.22,5997399
2026-01-16,2636,"600,001-800,000",4,1.92,2732577
2026-01-16,2636,"800,001-1,000,000",3,1.92,2734115
2026-01-16,2636,"more than 1,000,001",17,33.91,48099667
2026-01-16,2636,total,54688,100.0,141835230
2026-01-16,2636,差異數調整（說明4）,0,0.0,0
2026-01-23,2636,"1,000-5,000",16018,21.5,30495495
2026-01-23,2636,1-999,35760,0.95,1356167
2026-01-23,2636,"10,001-15,000",471,4.19,5951012
2026-01-23,2636,"100,001-200,000",51,4.93,6994904
2026-01-23,2636,"15,001-20,000",226,2.9,4124526
2026-01-23,2636,"20,001-30,000",237,4.15,5895130
2026-01-23,2636,"200,001-400,000",23,4.62,6555058
2026-01-23,2636,"30,001-40,000",91,2.25,3205101
2026-01-23,2636,"40,001-50,000",38,1.24,1766109
2026-01-23,2636,"400,001-600,000",6,2.09,2974276
2026-01-23,2636,"5,001-10,000",1605,8.55,12127803
2026-01-23,2636,"50,001-100,000",89,4.25,6038112
2026-01-23,2636,"600,001-800,000",6,2.88,4086768
2026-01-23,2636,"800,001-1,000,000",2,1.31,1862102
2026-01-23,2636,"more than 1,000,001",17,34.12,48402667
2026-01-23,2636,total,54640,100.0,141835230
2026-01-23,2636,差異數調整（說明4）,0,0.0,0
2026-01-30,2636,"1,000-5,000",16044,21.56,30585007
2026-01-30,2636,1-999,35839,0.94,1344606
2026-01-30,2636,"10,001-15,000",466,4.15,5897152
2026-01-30,2636,"100,001-200,000",52,4.99,7090687
2026-01-30,2636,"15,001-20,000",221,2.84,4040175
2026-01-30,2636,"20,001-30,000",234,4.11,5842609
2026-01-30,2636,"200,001-400,000",23,4.52,6424373
2026-01-30,2636,"30,001-40,000",93,2.3,3271757
2026-01-30,2636,"40,001-50,000",42,1.38,1959109
2026-01-30,2636,"400,001-600,000",6,2.18,3101013
2026-01-30,2636,"5,001-10,000",1622,8.64,12259219
2026-01-30,2636,"50,001-100,000",86,4.1,5828999
2026-01-30,2636,"600,001-800,000",5,2.43,3448755
2026-01-30,2636,"800,001-1,000,000",1,0.63,900285
2026-01-30,2636,"more than 1,000,001",18,35.14,49841484
2026-01-30,2636,total,54752,100.0,141835230
2026-01-30,2636,差異數調整（說明4）,0,0.0,0
2026-02-06,2636,"1,000-5,000",15959,21.48,30473243
2026-02-06,2636,1-999,35893,0.94,1339110
2026-02-06,2636,"10,001-15,000",468,4.17,5926306
2026-02-06,2636,"100,001-200,000",52,4.94,7009666
2026-02-06,2636,"15,001-20,000",216,2.77,3938381
2026-02-06,2636,"20,001-30,000",232,4.07,5781385
2026-02-06,2636,"200,001-400,000",23,4.49,6381110
2026-02-06,2636,"30,001-40,000",94,2.32,3299805
2026-02-06,2636,"40,001-50,000",43,1.41,2003109
2026-02-06,2636,"400,001-600,000",6,2.13,3033000
2026-02-06,2636,"5,001-10,000",1621,8.64,12259052
2026-02-06,2636,"50,001-100,000",88,4.24,6023448
2026-02-06,2636,"600,001-800,000",5,2.43,3448755
2026-02-06,2636,"800,001-1,000,000",2,1.3,1848193
2026-02-06,2636,"more than 1,000,001",17,34.59,49070667
2026-02-06,2636,total,54719,100.0,141835230
2026-02-06,2636,差異數調整（說明4）,0,0.0,0
2026-02-13,2636,"1,000-5,000",15893,21.42,30381450
2026-02-13,2636,1-999,35972,0.94,1338368
2026-02-13,2636,"10,001-15,000",465,4.15,5886929
2026-02-13,2636,"100,001-200,000",52,4.97,7059452
2026-02-13,2636,"15,001-20,000",225,2.9,4114476
2026-02-13,2636,"20,001-30,000",234,4.12,5847893
2026-02-13,2636,"200,001-400,000",22,4.3,6105110
2026-02-13,2636,"30,001-40,000",93,2.31,3281887
2026-02-13,2636,"40,001-50,000",45,1.47,2096901
2026-02-13,2636,"400,001-600,000",6,2.16,3064000
2026-02-13,2636,"5,001-10,000",1626,8.67,12298254
2026-02-13,2636,"50,001-100,000",86,4.13,5859895
2026-02-13,2636,"600,001-800,000",5,2.43,3448755
2026-02-13,2636,"800,001-1,000,000",1,0.63,900285
2026-02-13,2636,"more than 1,000,001",18,35.35,50151575
2026-02-13,2636,total,54743,100.0,141835230
2026-02-13,2636,差異數調整（說明4）,0,0.0,0
2026-03-06,2636,"1,000-5,000",15964,21.47,30459383
2026-03-06,2636,1-999,36308,0.93,1327785
2026-03-06,2636,"10,001-15,000",470,4.19,5944087
2026-03-06,2636,"100,001-200,000",48,4.63,6576951
2026-03-06,2636,"15,001-20,000",224,2.88,4085173
2026-03-06,2636,"20,001-30,000",231,4.06,5758668
2026-03-06,2636,"200,001-400,000",22,4.26,6056097
2026-03-06,2636,"30,001-40,000",94,2.34,3319563
2026-03-06,2636,"40,001-50,000",43,1.4,1993022
2026-03-06,2636,"400,001-600,000",6,2.15,3057000
2026-03-06,2636,"5,001-10,000",1610,8.59,12194225
2026-03-06,2636,"50,001-100,000",94,4.55,6453648
2026-03-06,2636,"600,001-800,000",5,2.39,3398755
2026-03-06,2636,"800,001-1,000,000",3,1.88,2668206
2026-03-06,2636,"more than 1,000,001",17,34.22,48542667
2026-03-06,2636,total,55139,100.0,141835230
2026-03-06,2636,差異數調整（說明4）,0,0.0,0
2026-03-13,2636,"1,000-5,000",15752,21.19,30059035
2026-03-13,2636,1-999,36734,0.93,1322703
2026-03-13,2636,"10,001-15,000",468,4.16,5900895
2026-03-13,2636,"100,001-200,000",47,4.47,6349520
2026-03-13,2636,"15,001-20,000",229,2.93,4162472
2026-03-13,2636,"20,001-30,000",224,3.95,5602668
2026-03-13,2636,"200,001-400,000",23,4.57,6489852
2026-03-13,2636,"30,001-40,000",86,2.14,3043513
2026-03-13,2636,"40,001-50,000",41,1.34,1912648
2026-03-13,2636,"400,001-600,000",7,2.53,3598000
2026-03-13,2636,"5,001-10,000",1591,8.51,12080966
2026-03-13,2636,"50,001-100,000",96,4.63,6574330
2026-03-13,2636,"600,001-800,000",5,2.39,3398755
2026-03-13,2636,"800,001-1,000,000",3,1.9,2695206
2026-03-13,2636,"more than 1,000,001",17,34.29,48644667
2026-03-13,2636,total,55323,100.0,141835230
2026-03-13,2636,差異數調整（說明4）,0,0.0,0
2026-03-20,2636,"1,000-5,000",15599,20.96,29732869
2026-03-20,2636,1-999,37318,0.93,1326047
2026-03-20,2636,"10,001-15,000",468,4.17,5920545
2026-03-20,2636,"100,001-200,000",50,4.62,6555853
2026-03-20,2636,"15,001-20,000",216,2.77,3929892
2026-03-20,2636,"20,001-30,000",227,4.0,5680439
2026-03-20,2636,"200,001-400,000",26,5.26,7469024
2026-03-20,2636,"30,001-40,000",82,2.02,2878832
2026-03-20,2636,"40,001-50,000",41,1.34,1907601
2026-03-20,2636,"400,001-600,000",6,2.16,3068000
2026-03-20,2636,"5,001-10,000",1565,8.36,11858635
2026-03-20,2636,"50,001-100,000",89,4.25,6028831
2026-03-20,2636,"600,001-800,000",7,3.35,4751768
2026-03-20,2636,"800,001-1,000,000",2,1.29,1841227
2026-03-20,2636,"more than 1,000,001",17,34.46,48885667
2026-03-20,2636,total,55713,100.0,141835230
2026-03-20,2636,差異數調整（說明4）,0,0.0,0
2026-03-27,2636,"1,000-5,000",15616,21.06,29874338
2026-03-27,2636,1-999,38226,0.93,1325281
2026-03-27,2636,"10,001-15,000",457,4.07,5777392
2026-03-27,2636,"100,001-200,000",49,4.57,6490814
2026-03-27,2636,"15,001-20,000",216,2.77,3929892
2026-03-27,2636,"20,001-30,000",231,4.06,5770439
2026-03-27,2636,"200,001-400,000",27,5.44,7718063
2026-03-27,2636,"30,001-40,000",82,2.02,2878027
2026-03-27,2636,"40,001-50,000",39,1.27,1814006
2026-03-27,2636,"400,001-600,000",4,1.44,2052000
2026-03-27,2636,"5,001-10,000",1562,8.35,11849896
2026-03-27,2636,"50,001-100,000",90,4.33,6142420
2026-03-27,2636,"600,001-800,000",7,3.38,4798755
2026-03-27,2636,"800,001-1,000,000",3,1.96,2781240
