date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,4933,"1,000-5,000",3474,8.55,7044363
2025-12-19,4933,1-999,1286,0.27,226890
2025-12-19,4933,"10,001-15,000",172,2.68,2210669
2025-12-19,4933,"100,001-200,000",30,5.41,4452687
2025-12-19,4933,"15,001-20,000",97,2.18,1796985
2025-12-19,4933,"20,001-30,000",81,2.51,2072925
2025-12-19,4933,"200,001-400,000",13,4.64,3820827
2025-12-19,4933,"30,001-40,000",32,1.43,1177407
2025-12-19,4933,"40,001-50,000",20,1.12,928033
2025-12-19,4933,"400,001-600,000",5,2.93,2413880
2025-12-19,4933,"5,001-10,000",522,4.95,4075373
2025-12-19,4933,"50,001-100,000",60,4.85,3991808
2025-12-19,4933,"600,001-800,000",0,0.0,0
2025-12-19,4933,"800,001-1,000,000",1,1.08,895000
2025-12-19,4933,"more than 1,000,001",4,57.34,47197828
2025-12-19,4933,total,5797,100.0,82304675
2025-12-19,4933,差異數調整（說明4）,0,0.0,0
2025-12-26,4933,"1,000-5,000",3465,8.54,7029202
2025-12-26,4933,1-999,1284,0.27,224993
2025-12-26,4933,"10,001-15,000",171,2.67,2197950
2025-12-26,4933,"100,001-200,000",29,5.2,4284687
2025-12-26,4933,"15,001-20,000",98,2.2,1816985
2025-12-26,4933,"20,001-30,000",80,2.49,2053925
2025-12-26,4933,"200,001-400,000",13,4.44,3655827
2025-12-26,4933,"30,001-40,000",30,1.34,1105407
2025-12-26,4933,"40,001-50,000",20,1.12,929000
2025-12-26,4933,"400,001-600,000",6,3.44,2832880
2025-12-26,4933,"5,001-10,000",525,4.97,4097572
2025-12-26,4933,"50,001-100,000",60,4.83,3983419
2025-12-26,4933,"600,001-800,000",0,0.0,0
2025-12-26,4933,"800,001-1,000,000",1,1.08,895000
2025-12-26,4933,"more than 1,000,001",4,57.34,47197828
2025-12-26,4933,total,5786,100.0,82304675
2025-12-26,4933,差異數調整（說明4）,0,0.0,0
2026-01-02,4933,"1,000-5,000",3444,8.48,6981353
2026-01-02,4933,1-999,1278,0.27,225129
2026-01-02,4933,"10,001-15,000",169,2.63,2168663
2026-01-02,4933,"100,001-200,000",31,5.49,4521673
2026-01-02,4933,"15,001-20,000",96,2.16,1783985
2026-01-02,4933,"20,001-30,000",82,2.57,2115925
2026-01-02,4933,"200,001-400,000",12,4.01,3306827
2026-01-02,4933,"30,001-40,000",28,1.26,1039107
2026-01-02,4933,"40,001-50,000",21,1.17,971000
2026-01-02,4933,"400,001-600,000",7,3.95,3255880
2026-01-02,4933,"5,001-10,000",526,4.99,4108872
2026-01-02,4933,"50,001-100,000",57,4.53,3733433
2026-01-02,4933,"600,001-800,000",0,0.0,0
2026-01-02,4933,"800,001-1,000,000",1,1.08,895000
2026-01-02,4933,"more than 1,000,001",4,57.34,47197828
2026-01-02,4933,total,5756,100.0,82304675
2026-01-02,4933,差異數調整（說明4）,0,0.0,0
2026-01-09,4933,"1,000-5,000",3448,8.5,7003438
2026-01-09,4933,1-999,1268,0.27,222581
2026-01-09,4933,"10,001-15,000",167,2.61,2151340
2026-01-09,4933,"100,001-200,000",29,5.23,4313687
2026-01-09,4933,"15,001-20,000",97,2.17,1792985
2026-01-09,4933,"20,001-30,000",79,2.45,2020925
2026-01-09,4933,"200,001-400,000",12,4.05,3342293
2026-01-09,4933,"30,001-40,000",29,1.31,1082107
2026-01-09,4933,"40,001-50,000",24,1.34,1109000
2026-01-09,4933,"400,001-600,000",6,3.32,2736880
2026-01-09,4933,"5,001-10,000",525,4.97,4100192
2026-01-09,4933,"50,001-100,000",58,4.56,3762419
2026-01-09,4933,"600,001-800,000",1,0.74,612000
2026-01-09,4933,"800,001-1,000,000",1,1.08,895000
2026-01-09,4933,"more than 1,000,001",4,57.31,47197828
2026-01-09,4933,total,5748,100.0,82342675
2026-01-09,4933,差異數調整（說明4）,0,0.0,0
2026-01-16,4933,"1,000-5,000",3455,8.5,7003491
2026-01-16,4933,1-999,1272,0.26,222120
2026-01-16,4933,"10,001-15,000",170,2.64,2181074
2026-01-16,4933,"100,001-200,000",29,5.25,4323687
2026-01-16,4933,"15,001-20,000",96,2.15,1773285
2026-01-16,4933,"20,001-30,000",77,2.37,1956925
2026-01-16,4933,"200,001-400,000",12,4.05,3338912
2026-01-16,4933,"30,001-40,000",30,1.36,1120107
2026-01-16,4933,"40,001-50,000",20,1.1,911000
2026-01-16,4933,"400,001-600,000",6,3.32,2738880
2026-01-16,4933,"5,001-10,000",525,4.97,4096947
2026-01-16,4933,"50,001-100,000",60,4.69,3866419
2026-01-16,4933,"600,001-800,000",1,0.87,717000
2026-01-16,4933,"800,001-1,000,000",1,1.08,895000
2026-01-16,4933,"more than 1,000,001",4,57.31,47197828
2026-01-16,4933,total,5758,100.0,82342675
2026-01-16,4933,差異數調整（說明4）,0,0.0,0
2026-01-23,4933,"1,000-5,000",3452,8.51,7008446
2026-01-23,4933,1-999,1277,0.27,222681
2026-01-23,4933,"10,001-15,000",166,2.6,2147535
2026-01-23,4933,"100,001-200,000",26,4.62,3807687
2026-01-23,4933,"15,001-20,000",97,2.19,1803985
2026-01-23,4933,"20,001-30,000",75,2.31,1909925
2026-01-23,4933,"200,001-400,000",15,5.12,4222724
2026-01-23,4933,"30,001-40,000",29,1.31,1079107
2026-01-23,4933,"40,001-50,000",21,1.17,966000
2026-01-23,4933,"400,001-600,000",5,2.83,2330880
2026-01-23,4933,"5,001-10,000",520,4.92,4059758
2026-01-23,4933,"50,001-100,000",60,4.8,3959119
2026-01-23,4933,"600,001-800,000",1,0.9,742000
2026-01-23,4933,"800,001-1,000,000",1,1.08,895000
2026-01-23,4933,"more than 1,000,001",4,57.31,47197828
2026-01-23,4933,total,5749,100.0,82352675
2026-01-23,4933,差異數調整（說明4）,0,0.0,0
2026-01-30,4933,"1,000-5,000",3479,8.55,7050007
2026-01-30,4933,1-999,1281,0.27,223891
2026-01-30,4933,"10,001-15,000",162,2.51,2068340
2026-01-30,4933,"100,001-200,000",25,4.4,3629687
2026-01-30,4933,"15,001-20,000",98,2.21,1822985
2026-01-30,4933,"20,001-30,000",77,2.37,1957925
2026-01-30,4933,"200,001-400,000",15,5.03,4145445
2026-01-30,4933,"30,001-40,000",26,1.16,961425
2026-01-30,4933,"40,001-50,000",23,1.28,1060682
2026-01-30,4933,"400,001-600,000",5,2.84,2346880
2026-01-30,4933,"5,001-10,000",525,4.99,4113461
2026-01-30,4933,"50,001-100,000",61,4.93,4062119
2026-01-30,4933,"600,001-800,000",0,0.0,0
2026-01-30,4933,"800,001-1,000,000",2,2.1,1732000
2026-01-30,4933,"more than 1,000,001",4,57.29,47197828
2026-01-30,4933,total,5783,100.0,82372675
2026-01-30,4933,差異數調整（說明4）,0,0.0,0
2026-02-06,4933,"1,000-5,000",3470,8.56,7055478
2026-02-06,4933,1-999,1271,0.27,222457
2026-02-06,4933,"10,001-15,000",165,2.55,2108048
2026-02-06,4933,"100,001-200,000",26,4.52,3726687
2026-02-06,4933,"15,001-20,000",102,2.29,1891985
2026-02-06,4933,"20,001-30,000",76,2.34,1934925
2026-02-06,4933,"200,001-400,000",15,5.24,4319905
2026-02-06,4933,"30,001-40,000",27,1.2,996425
2026-02-06,4933,"40,001-50,000",23,1.28,1054682
2026-02-06,4933,"400,001-600,000",4,2.35,1940227
2026-02-06,4933,"5,001-10,000",530,5.03,4145909
2026-02-06,4933,"50,001-100,000",61,4.81,3964119
2026-02-06,4933,"600,001-800,000",0,0.0,0
2026-02-06,4933,"800,001-1,000,000",2,2.2,1814000
2026-02-06,4933,"more than 1,000,001",4,57.29,47197828
2026-02-06,4933,total,5776,100.0,82372675
2026-02-06,4933,差異數調整（說明4）,0,0.0,0
2026-02-13,4933,"1,000-5,000",3452,8.53,7026814
2026-02-13,4933,1-999,1272,0.26,222211
2026-02-13,4933,"10,001-15,000",168,2.61,2153522
2026-02-13,4933,"100,001-200,000",27,4.65,3834687
2026-02-13,4933,"15,001-20,000",98,2.21,1822511
