date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,8940,"1,000-5,000",2914,8.35,5639914
2025-12-19,8940,1-999,6339,1.67,1131419
2025-12-19,8940,"10,001-15,000",103,1.97,1332146
2025-12-19,8940,"100,001-200,000",7,1.23,836690
2025-12-19,8940,"15,001-20,000",59,1.62,1093385
2025-12-19,8940,"20,001-30,000",47,1.69,1142105
2025-12-19,8940,"200,001-400,000",7,2.95,1994118
2025-12-19,8940,"30,001-40,000",32,1.65,1117027
2025-12-19,8940,"40,001-50,000",17,1.18,799717
2025-12-19,8940,"400,001-600,000",3,2.05,1387330
2025-12-19,8940,"5,001-10,000",330,3.8,2571137
2025-12-19,8940,"50,001-100,000",34,3.58,2420001
2025-12-19,8940,"600,001-800,000",2,2.05,1386889
2025-12-19,8940,"800,001-1,000,000",3,3.99,2696347
2025-12-19,8940,"more than 1,000,001",16,62.14,41942807
2025-12-19,8940,total,9913,100.0,67491032
2025-12-19,8940,差異數調整（說明4）,0,0.0,0
2025-12-26,8940,"1,000-5,000",2928,8.42,5689044
2025-12-26,8940,1-999,6331,1.67,1128978
2025-12-26,8940,"10,001-15,000",103,1.97,1334197
2025-12-26,8940,"100,001-200,000",7,1.27,857690
2025-12-26,8940,"15,001-20,000",58,1.59,1076385
2025-12-26,8940,"20,001-30,000",47,1.69,1144701
2025-12-26,8940,"200,001-400,000",7,2.95,1994118
2025-12-26,8940,"30,001-40,000",32,1.65,1116337
2025-12-26,8940,"40,001-50,000",17,1.18,799717
2025-12-26,8940,"400,001-600,000",3,2.05,1387330
2025-12-26,8940,"5,001-10,000",323,3.72,2515491
2025-12-26,8940,"50,001-100,000",34,3.58,2418001
2025-12-26,8940,"600,001-800,000",2,2.05,1386889
2025-12-26,8940,"800,001-1,000,000",3,3.99,2699347
2025-12-26,8940,"more than 1,000,001",16,62.14,41942807
2025-12-26,8940,total,9911,100.0,67491032
2025-12-26,8940,差異數調整（說明4）,0,0.0,0
2026-01-02,8940,"1,000-5,000",2922,8.4,5670618
2026-01-02,8940,1-999,6321,1.66,1126798
2026-01-02,8940,"10,001-15,000",105,2.01,1362197
2026-01-02,8940,"100,001-200,000",7,1.26,850690
2026-01-02,8940,"15,001-20,000",57,1.56,1054385
2026-01-02,8940,"20,001-30,000",49,1.77,1198701
2026-01-02,8940,"200,001-400,000",7,2.95,1994118
2026-01-02,8940,"30,001-40,000",32,1.66,1123943
2026-01-02,8940,"40,001-50,000",17,1.18,797717
2026-01-02,8940,"400,001-600,000",3,2.05,1387330
2026-01-02,8940,"5,001-10,000",322,3.7,2500491
2026-01-02,8940,"50,001-100,000",33,3.48,2352001
2026-01-02,8940,"600,001-800,000",2,2.05,1386889
2026-01-02,8940,"800,001-1,000,000",3,4.02,2715347
2026-01-02,8940,"more than 1,000,001",16,62.18,41969807
2026-01-02,8940,total,9896,100.0,67491032
2026-01-02,8940,差異數調整（說明4）,0,0.0,0
2026-01-09,8940,"1,000-5,000",2928,8.36,5645065
2026-01-09,8940,1-999,6292,1.65,1119484
2026-01-09,8940,"10,001-15,000",105,2.02,1365197
2026-01-09,8940,"100,001-200,000",7,1.26,854690
2026-01-09,8940,"15,001-20,000",57,1.56,1053385
2026-01-09,8940,"20,001-30,000",46,1.67,1127701
2026-01-09,8940,"200,001-400,000",7,2.91,1964118
2026-01-09,8940,"30,001-40,000",29,1.51,1024936
2026-01-09,8940,"40,001-50,000",17,1.18,797717
2026-01-09,8940,"400,001-600,000",3,2.05,1387330
2026-01-09,8940,"5,001-10,000",327,3.77,2546365
2026-01-09,8940,"50,001-100,000",34,3.58,2421001
2026-01-09,8940,"600,001-800,000",2,2.05,1386889
2026-01-09,8940,"800,001-1,000,000",3,4.02,2719347
2026-01-09,8940,"more than 1,000,001",16,62.34,42077807
2026-01-09,8940,total,9873,100.0,67491032
2026-01-09,8940,差異數調整（說明4）,0,0.0,0
2026-01-16,8940,"1,000-5,000",2936,8.39,5668581
2026-01-16,8940,1-999,6261,1.64,1112883
2026-01-16,8940,"10,001-15,000",106,2.03,1371197
2026-01-16,8940,"100,001-200,000",7,1.27,857690
2026-01-16,8940,"15,001-20,000",61,1.66,1123685
2026-01-16,8940,"20,001-30,000",44,1.6,1081401
2026-01-16,8940,"200,001-400,000",7,2.91,1964118
2026-01-16,8940,"30,001-40,000",29,1.51,1023936
2026-01-16,8940,"40,001-50,000",17,1.17,795717
2026-01-16,8940,"400,001-600,000",3,2.05,1387330
2026-01-16,8940,"5,001-10,000",323,3.72,2516450
2026-01-16,8940,"50,001-100,000",34,3.58,2417001
2026-01-16,8940,"600,001-800,000",2,2.05,1386889
2026-01-16,8940,"800,001-1,000,000",3,4.02,2717347
2026-01-16,8940,"more than 1,000,001",16,62.32,42066807
2026-01-16,8940,total,9849,100.0,67491032
2026-01-16,8940,差異數調整（說明4）,0,0.0,0
2026-01-23,8940,"1,000-5,000",2930,8.39,5663393
2026-01-23,8940,1-999,6255,1.64,1110420
2026-01-23,8940,"10,001-15,000",108,2.08,1406037
2026-01-23,8940,"100,001-200,000",7,1.26,854690
2026-01-23,8940,"15,001-20,000",59,1.61,1089685
2026-01-23,8940,"20,001-30,000",46,1.67,1132401
2026-01-23,8940,"200,001-400,000",7,2.91,1964118
2026-01-23,8940,"30,001-40,000",29,1.51,1019257
2026-01-23,8940,"40,001-50,000",17,1.17,795717
2026-01-23,8940,"400,001-600,000",3,2.05,1387330
2026-01-23,8940,"5,001-10,000",322,3.72,2513940
2026-01-23,8940,"50,001-100,000",34,3.55,2402001
2026-01-23,8940,"600,001-800,000",2,2.05,1386889
2026-01-23,8940,"800,001-1,000,000",3,4.02,2717347
2026-01-23,8940,"more than 1,000,001",16,62.3,42047807
2026-01-23,8940,total,9838,100.0,67491032
2026-01-23,8940,差異數調整（說明4）,0,0.0,0
2026-01-30,8940,"1,000-5,000",2909,8.31,5612425
2026-01-30,8940,1-999,6245,1.64,1110488
2026-01-30,8940,"10,001-15,000",108,2.09,1410937
2026-01-30,8940,"100,001-200,000",7,1.28,865690
2026-01-30,8940,"15,001-20,000",60,1.63,1102685
2026-01-30,8940,"20,001-30,000",45,1.64,1109401
2026-01-30,8940,"200,001-400,000",7,2.91,1964118
2026-01-30,8940,"30,001-40,000",30,1.55,1050956
2026-01-30,8940,"40,001-50,000",18,1.25,845018
2026-01-30,8940,"400,001-600,000",3,2.05,1387330
2026-01-30,8940,"5,001-10,000",319,3.69,2491940
2026-01-30,8940,"50,001-100,000",34,3.59,2425001
2026-01-30,8940,"600,001-800,000",2,2.05,1386889
2026-01-30,8940,"800,001-1,000,000",3,4.02,2718347
2026-01-30,8940,"more than 1,000,001",16,62.24,42009807
2026-01-30,8940,total,9806,100.0,67491032
2026-01-30,8940,差異數調整（說明4）,0,0.0,0
2026-02-06,8940,"1,000-5,000",2905,8.31,5612835
2026-02-06,8940,1-999,6244,1.63,1105505
2026-02-06,8940,"10,001-15,000",108,2.08,1408937
2026-02-06,8940,"100,001-200,000",7,1.27,861690
2026-02-06,8940,"15,001-20,000",60,1.63,1103685
2026-02-06,8940,"20,001-30,000",48,1.77,1196401
2026-02-06,8940,"200,001-400,000",7,2.91,1964118
2026-02-06,8940,"30,001-40,000",28,1.45,984956
2026-02-06,8940,"40,001-50,000",20,1.39,944018
2026-02-06,8940,"400,001-600,000",3,2.05,1387330
2026-02-06,8940,"5,001-10,000",318,3.68,2484513
2026-02-06,8940,"50,001-100,000",32,3.42,2309001
2026-02-06,8940,"600,001-800,000",2,2.05,1386889
2026-02-06,8940,"800,001-1,000,000",3,4.0,2704347
2026-02-06,8940,"more than 1,000,001",16,62.28,42036807
2026-02-06,8940,total,9801,100.0,67491032
2026-02-06,8940,差異數調整（說明4）,0,0.0,0
2026-02-13,8940,"1,000-5,000",2899,8.29,5601662
2026-02-13,8940,1-999,6230,1.63,1104521
2026-02-13,8940,"10,001-15,000",109,2.1,1420105
2026-02-13,8940,"100,001-200,000",7,1.27,859690
2026-02-13,8940,"15,001-20,000",60,1.62,1099685
2026-02-13,8940,"20,001-30,000",46,1.68,1134458
2026-02-13,8940,"200,001-400,000",7,2.91,1964118
2026-02-13,8940,"30,001-40,000",28,1.44,972956
2026-02-13,8940,"40,001-50,000",19,1.32,894717
2026-02-13,8940,"400,001-600,000",3,2.05,1387330
2026-02-13,8940,"5,001-10,000",318,3.67,2479445
2026-02-13,8940,"50,001-100,000",34,3.57,2414302
2026-02-13,8940,"600,001-800,000",2,2.05,1386889
2026-02-13,8940,"800,001-1,000,000",3,4.0,2702347
2026-02-13,8940,"more than 1,000,001",16,62.33,42068807
2026-02-13,8940,total,9781,100.0,67491032
2026-02-13,8940,差異數調整（說明4）,0,0.0,0
2026-03-06,8940,"1,000-5,000",2884,8.23,5560028
2026-03-06,8940,1-999,6213,1.62,1097973
2026-03-06,8940,"10,001-15,000",102,1.96,1329064
2026-03-06,8940,"100,001-200,000",8,1.48,1004690
2026-03-06,8940,"15,001-20,000",63,1.71,1156726
2026-03-06,8940,"20,001-30,000",50,1.82,1233558
2026-03-06,8940,"200,001-400,000",7,2.91,1964118
2026-03-06,8940,"30,001-40,000",27,1.39,939729
2026-03-06,8940,"40,001-50,000",20,1.39,943717
2026-03-06,8940,"400,001-600,000",3,2.05,1387330
2026-03-06,8940,"5,001-10,000",321,3.69,2494754
2026-03-06,8940,"50,001-100,000",31,3.27,2209302
2026-03-06,8940,"600,001-800,000",2,2.05,1386889
2026-03-06,8940,"800,001-1,000,000",3,4.02,2719347
2026-03-06,8940,"more than 1,000,001",16,62.32,42063807
2026-03-06,8940,total,9750,100.0,67491032
2026-03-06,8940,差異數調整（說明4）,0,0.0,0
2026-03-13,8940,"1,000-5,000",2876,8.25,5568926
2026-03-13,8940,1-999,6214,1.62,1099871
2026-03-13,8940,"10,001-15,000",104,2.01,1359896
2026-03-13,8940,"100,001-200,000",8,1.53,1035690
2026-03-13,8940,"15,001-20,000",60,1.63,1103726
2026-03-13,8940,"20,001-30,000",50,1.82,1230144
2026-03-13,8940,"200,001-400,000",7,2.91,1964118
2026-03-13,8940,"30,001-40,000",28,1.44,972718
2026-03-13,8940,"40,001-50,000",19,1.3,881717
2026-03-13,8940,"400,001-600,000",3,2.05,1387330
2026-03-13,8940,"5,001-10,000",316,3.62,2444551
2026-03-13,8940,"50,001-100,000",33,3.48,2351302
2026-03-13,8940,"600,001-800,000",2,2.05,1386889
2026-03-13,8940,"800,001-1,000,000",3,4.04,2732347
2026-03-13,8940,"more than 1,000,001",16,62.18,41971807
2026-03-13,8940,total,9739,100.0,67491032
2026-03-13,8940,差異數調整（說明4）,0,0.0,0
2026-03-20,8940,"1,000-5,000",2854,8.14,5496033
2026-03-20,8940,1-999,6228,1.63,1102593
2026-03-20,8940,"10,001-15,000",104,2.01,1360283
2026-03-20,8940,"100,001-200,000",8,1.53,1032690
2026-03-20,8940,"15,001-20,000",60,1.63,1102642
2026-03-20,8940,"20,001-30,000",51,1.87,1265558
2026-03-20,8940,"200,001-400,000",7,2.9,1963487
2026-03-20,8940,"30,001-40,000",26,1.34,908093
2026-03-20,8940,"40,001-50,000",19,1.3,878717
2026-03-20,8940,"400,001-600,000",3,2.05,1387330
2026-03-20,8940,"5,001-10,000",318,3.65,2469261
2026-03-20,8940,"50,001-100,000",33,3.46,2336302
2026-03-20,8940,"600,001-800,000",2,2.05,1386889
2026-03-20,8940,"800,001-1,000,000",3,4.04,2733347
2026-03-20,8940,"more than 1,000,001",16,62.33,42067807
2026-03-20,8940,total,9732,100.0,67491032
2026-03-20,8940,差異數調整（說明4）,0,0.0,0
