date,stock_id,HoldingSharesLevel,people,percent,unit
2025-04-25,6672,1-999,26492,0.38,276682
2025-04-25,6672,"1,000-5,000",8432,22.8,16294077
2025-04-25,6672,"5,001-10,000",937,10.3,7357792
2025-04-25,6672,"10,001-15,000",256,4.64,3315615
2025-04-25,6672,"15,001-20,000",156,4.03,2881432
2025-04-25,6672,"20,001-30,000",135,4.86,3476593
2025-04-25,6672,"30,001-40,000",46,2.31,1657000
2025-04-25,6672,"40,001-50,000",44,2.83,2022934
2025-04-25,6672,"50,001-100,000",79,8.24,5888942
2025-04-25,6672,"100,001-200,000",31,6.49,4642067
2025-04-25,6672,"200,001-400,000",13,5.66,4045610
2025-04-25,6672,"400,001-600,000",8,5.31,3797239
2025-04-25,6672,"600,001-800,000",4,3.77,2698286
2025-04-25,6672,"800,001-1,000,000",0,0.0,0
2025-04-25,6672,"more than 1,000,001",7,18.31,13080476
2025-04-25,6672,差異數調整（說明4）,0,0.0,0
2025-04-25,6672,total,36640,100.0,71434745
2025-05-02,6672,1-999,26297,0.38,277464
2025-05-02,6672,"1,000-5,000",8402,22.73,16237980
2025-05-02,6672,"5,001-10,000",927,10.19,7285112
2025-05-02,6672,"10,001-15,000",250,4.51,3228786
2025-05-02,6672,"15,001-20,000",161,4.16,2972532
2025-05-02,6672,"20,001-30,000",137,4.92,3514593
2025-05-02,6672,"30,001-40,000",44,2.22,1587000
2025-05-02,6672,"40,001-50,000",42,2.7,1930934
2025-05-02,6672,"50,001-100,000",79,8.22,5877942
2025-05-02,6672,"100,001-200,000",30,6.13,4381901
2025-05-02,6672,"200,001-400,000",16,6.42,4589498
2025-05-02,6672,"400,001-600,000",8,5.29,3781241
2025-05-02,6672,"600,001-800,000",4,3.76,2689286
2025-05-02,6672,"800,001-1,000,000",0,0.0,0
2025-05-02,6672,"more than 1,000,001",7,18.31,13080476
2025-05-02,6672,差異數調整（說明4）,0,0.0,0
2025-05-02,6672,total,36404,100.0,71434745
2025-05-09,6672,1-999,26273,0.38,275329
2025-05-09,6672,"1,000-5,000",8372,22.66,16192805
2025-05-09,6672,"5,001-10,000",934,10.27,7341402
2025-05-09,6672,"10,001-15,000",247,4.46,3192336
2025-05-09,6672,"15,001-20,000",162,4.19,2998632
2025-05-09,6672,"20,001-30,000",136,4.89,3495593
2025-05-09,6672,"30,001-40,000",42,2.1,1507000
2025-05-09,6672,"40,001-50,000",41,2.63,1884934
2025-05-09,6672,"50,001-100,000",80,8.27,5908942
2025-05-09,6672,"100,001-200,000",28,5.79,4140285
2025-05-09,6672,"200,001-400,000",15,5.98,4276498
2025-05-09,6672,"400,001-600,000",9,6.09,4356523
2025-05-09,6672,"600,001-800,000",4,3.89,2783990
2025-05-09,6672,"800,001-1,000,000",0,0.0,0
2025-05-09,6672,"more than 1,000,001",7,18.31,13080476
2025-05-09,6672,差異數調整（說明4）,0,0.0,0
2025-05-09,6672,total,36350,100.0,71434745
2025-05-16,6672,1-999,26213,0.39,280209
2025-05-16,6672,"1,000-5,000",8379,22.65,16182708
2025-05-16,6672,"5,001-10,000",935,10.3,7358406
2025-05-16,6672,"10,001-15,000",249,4.5,3221195
2025-05-16,6672,"15,001-20,000",158,4.1,2929732
2025-05-16,6672,"20,001-30,000",132,4.75,3397743
2025-05-16,6672,"30,001-40,000",46,2.27,1625000
2025-05-16,6672,"40,001-50,000",45,2.88,2060934
2025-05-16,6672,"50,001-100,000",77,8.02,5734942
2025-05-16,6672,"100,001-200,000",26,5.23,3742285
2025-05-16,6672,"200,001-400,000",16,6.51,4655501
2025-05-16,6672,"400,001-600,000",9,6.15,4396520
2025-05-16,6672,"600,001-800,000",4,3.87,2769094
2025-05-16,6672,"800,001-1,000,000",0,0.0,0
2025-05-16,6672,"more than 1,000,001",7,18.31,13080476
2025-05-16,6672,差異數調整（說明4）,0,0.0,0
2025-05-16,6672,total,36296,100.0,71434745
2025-05-23,6672,1-999,26118,0.38,276341
2025-05-23,6672,"1,000-5,000",8430,22.77,16269367
2025-05-23,6672,"5,001-10,000",936,10.33,7383404
2025-05-23,6672,"10,001-15,000",248,4.48,3200486
2025-05-23,6672,"15,001-20,000",161,4.17,2983732
2025-05-23,6672,"20,001-30,000",133,4.77,3410643
2025-05-23,6672,"30,001-40,000",51,2.54,1820000
2025-05-23,6672,"40,001-50,000",43,2.76,1977934
2025-05-23,6672,"50,001-100,000",76,7.85,5610685
2025-05-23,6672,"100,001-200,000",26,5.12,3662285
2025-05-23,6672,"200,001-400,000",17,7.22,5161708
2025-05-23,6672,"400,001-600,000",8,5.3,3791313
2025-05-23,6672,"600,001-800,000",4,3.92,2806371
2025-05-23,6672,"800,001-1,000,000",0,0.0,0
2025-05-23,6672,"more than 1,000,001",7,18.31,13080476
2025-05-23,6672,差異數調整（說明4）,0,0.0,0
2025-05-23,6672,total,36258,100.0,71434745
2025-05-29,6672,1-999,26170,0.39,280625
2025-05-29,6672,"1,000-5,000",8781,23.58,16849487
2025-05-29,6672,"5,001-10,000",943,10.41,7440024
2025-05-29,6672,"10,001-15,000",252,4.53,3241041
2025-05-29,6672,"15,001-20,000",164,4.26,3045732
2025-05-29,6672,"20,001-30,000",139,5.02,3590743
2025-05-29,6672,"30,001-40,000",47,2.34,1676000
2025-05-29,6672,"40,001-50,000",46,2.93,2096934
2025-05-29,6672,"50,001-100,000",75,7.69,5499685
2025-05-29,6672,"100,001-200,000",29,5.78,4134285
2025-05-29,6672,"200,001-400,000",15,6.07,4341000
2025-05-29,6672,"400,001-600,000",7,4.75,3394521
2025-05-29,6672,"600,001-800,000",4,3.86,2764192
2025-05-29,6672,"800,001-1,000,000",0,0.0,0
2025-05-29,6672,"more than 1,000,001",7,18.31,13080476
2025-05-29,6672,差異數調整（說明4）,0,0.0,0
2025-05-29,6672,total,36679,100.0,71434745
2025-06-06,6672,1-999,26194,0.39,280423
2025-06-06,6672,"1,000-5,000",8768,23.51,16797481
2025-06-06,6672,"5,001-10,000",944,10.35,7399074
2025-06-06,6672,"10,001-15,000",259,4.65,3324286
2025-06-06,6672,"15,001-20,000",165,4.29,3064782
2025-06-06,6672,"20,001-30,000",136,4.87,3485743
2025-06-06,6672,"30,001-40,000",50,2.49,1785000
2025-06-06,6672,"40,001-50,000",43,2.75,1964934
2025-06-06,6672,"50,001-100,000",77,8.06,5764685
2025-06-06,6672,"100,001-200,000",27,5.58,3989785
2025-06-06,6672,"200,001-400,000",14,5.31,3793708
2025-06-06,6672,"400,001-600,000",8,5.19,3714313
2025-06-06,6672,"600,001-800,000",3,2.95,2112340
2025-06-06,6672,"800,001-1,000,000",1,1.22,877715
2025-06-06,6672,"more than 1,000,001",7,18.31,13080476
2025-06-06,6672,差異數調整（說明4）,0,0.0,0
2025-06-06,6672,total,36696,100.0,71434745
2025-06-13,6672,1-999,26159,0.39,279740
2025-06-13,6672,"1,000-5,000",8635,23.23,16599573
2025-06-13,6672,"5,001-10,000",951,10.41,7437228
2025-06-13,6672,"10,001-15,000",261,4.7,3359266
2025-06-13,6672,"15,001-20,000",168,4.36,3117782
2025-06-13,6672,"20,001-30,000",134,4.8,3435743
2025-06-13,6672,"30,001-40,000",50,2.5,1793000
2025-06-13,6672,"40,001-50,000",44,2.81,2011934
2025-06-13,6672,"50,001-100,000",78,8.06,5759485
2025-06-13,6672,"100,001-200,000",26,5.27,3771371
2025-06-13,6672,"200,001-400,000",16,6.33,4523762
2025-06-13,6672,"400,001-600,000",7,4.56,3261031
2025-06-13,6672,"600,001-800,000",3,2.86,2048340
2025-06-13,6672,"800,001-1,000,000",1,1.33,956014
2025-06-13,6672,"more than 1,000,001",7,18.31,13080476
2025-06-13,6672,差異數調整（說明4）,0,0.0,0
2025-06-13,6672,total,36540,100.0,71434745
2025-06-20,6672,1-999,26145,0.38,276066
2025-06-20,6672,"1,000-5,000",8623,23.23,16600337
2025-06-20,6672,"5,001-10,000",957,10.47,7483346
2025-06-20,6672,"10,001-15,000",264,4.74,3390266
2025-06-20,6672,"15,001-20,000",168,4.36,3118832
2025-06-20,6672,"20,001-30,000",135,4.85,3466763
2025-06-20,6672,"30,001-40,000",49,2.46,1758000
2025-06-20,6672,"40,001-50,000",46,2.95,2108734
2025-06-20,6672,"50,001-100,000",76,7.97,5696737
2025-06-20,6672,"100,001-200,000",25,4.96,3549285
2025-06-20,6672,"200,001-400,000",17,6.72,4805571
2025-06-20,6672,"400,001-600,000",7,4.59,3279031
2025-06-20,6672,"600,001-800,000",4,3.94,2821301
2025-06-20,6672,"800,001-1,000,000",0,0.0,0
2025-06-20,6672,"more than 1,000,001",7,18.31,13080476
2025-06-20,6672,差異數調整（說明4）,0,0.0,0
2025-06-20,6672,total,36523,100.0,71434745
2025-06-27,6672,1-999,26112,0.38,277484
2025-06-27,6672,"1,000-5,000",8586,23.18,16558968
2025-06-27,6672,"5,001-10,000",944,10.33,7384115
2025-06-27,6672,"10,001-15,000",261,4.69,3350366
2025-06-27,6672,"15,001-20,000",165,4.28,3059832
2025-06-27,6672,"20,001-30,000",134,4.84,3459763
