date,stock_id,HoldingSharesLevel,people,percent,unit
2024-04-26,1301,"1,000-5,000",146826,4.94,314544294
2024-04-26,1301,1-999,88957,0.33,21107321
2024-04-26,1301,"10,001-15,000",9237,1.8,114809624
2024-04-26,1301,"100,001-200,000",833,1.81,115759849
2024-04-26,1301,"15,001-20,000",4889,1.38,88390825
2024-04-26,1301,"20,001-30,000",4554,1.78,113390559
2024-04-26,1301,"200,001-400,000",384,1.71,109013627
2024-04-26,1301,"30,001-40,000",1860,1.02,65334494
2024-04-26,1301,"40,001-50,000",1258,0.9,57459484
2024-04-26,1301,"400,001-600,000",118,0.91,58137645
2024-04-26,1301,"5,001-10,000",26563,3.14,200226726
2024-04-26,1301,"50,001-100,000",2114,2.3,146884776
2024-04-26,1301,"600,001-800,000",75,0.81,51700921
2024-04-26,1301,"800,001-1,000,000",48,0.66,42551540
2024-04-26,1301,"more than 1,000,001",298,76.44,4866429096
2024-04-26,1301,total,288014,100.0,6365740781
2024-04-26,1301,差異數調整（說明4）,0,0.0,0
2024-05-03,1301,"1,000-5,000",146788,4.94,314657635
2024-05-03,1301,1-999,88857,0.33,21086436
2024-05-03,1301,"10,001-15,000",9228,1.8,114710467
2024-05-03,1301,"100,001-200,000",837,1.82,116438621
2024-05-03,1301,"15,001-20,000",4904,1.39,88634099
2024-05-03,1301,"20,001-30,000",4570,1.78,113797727
2024-05-03,1301,"200,001-400,000",380,1.7,108468580
2024-05-03,1301,"30,001-40,000",1877,1.03,65910509
2024-05-03,1301,"40,001-50,000",1253,0.89,57241830
2024-05-03,1301,"400,001-600,000",121,0.93,59796433
2024-05-03,1301,"5,001-10,000",26566,3.14,200346471
2024-05-03,1301,"50,001-100,000",2111,2.3,146700040
2024-05-03,1301,"600,001-800,000",73,0.79,50435379
2024-05-03,1301,"800,001-1,000,000",46,0.64,41087052
2024-05-03,1301,"more than 1,000,001",300,76.44,4866429502
2024-05-03,1301,total,287911,100.0,6365740781
2024-05-03,1301,差異數調整（說明4）,0,0.0,0
2024-05-10,1301,"1,000-5,000",147663,4.97,316538636
2024-05-10,1301,1-999,88757,0.33,21070913
2024-05-10,1301,"10,001-15,000",9287,1.81,115487028
2024-05-10,1301,"100,001-200,000",838,1.82,115938451
2024-05-10,1301,"15,001-20,000",4977,1.41,89938835
2024-05-10,1301,"20,001-30,000",4574,1.78,113933045
2024-05-10,1301,"200,001-400,000",390,1.74,111291289
2024-05-10,1301,"30,001-40,000",1885,1.03,66188086
2024-05-10,1301,"40,001-50,000",1260,0.9,57571004
2024-05-10,1301,"400,001-600,000",118,0.91,58028464
2024-05-10,1301,"5,001-10,000",26728,3.16,201705172
2024-05-10,1301,"50,001-100,000",2131,2.32,147877901
2024-05-10,1301,"600,001-800,000",75,0.8,51515814
2024-05-10,1301,"800,001-1,000,000",45,0.63,40190570
2024-05-10,1301,"more than 1,000,001",296,76.32,4858465573
2024-05-10,1301,total,289024,100.0,6365740781
2024-05-10,1301,差異數調整（說明4）,0,0.0,0
2024-05-17,1301,"1,000-5,000",148284,4.99,317952191
2024-05-17,1301,1-999,88573,0.33,21038890
2024-05-17,1301,"10,001-15,000",9307,1.81,115741295
2024-05-17,1301,"100,001-200,000",836,1.81,115648261
2024-05-17,1301,"15,001-20,000",5003,1.42,90402612
2024-05-17,1301,"20,001-30,000",4570,1.78,113885855
2024-05-17,1301,"200,001-400,000",390,1.74,111112996
2024-05-17,1301,"30,001-40,000",1901,1.04,66696222
2024-05-17,1301,"40,001-50,000",1267,0.9,57917707
2024-05-17,1301,"400,001-600,000",117,0.9,57718024
2024-05-17,1301,"5,001-10,000",26753,3.17,201920301
2024-05-17,1301,"50,001-100,000",2135,2.32,148272784
2024-05-17,1301,"600,001-800,000",75,0.81,52163865
2024-05-17,1301,"800,001-1,000,000",45,0.63,40315889
2024-05-17,1301,"more than 1,000,001",298,76.26,4854954889
2024-05-17,1301,total,289554,100.0,6365740781
2024-05-17,1301,差異數調整（說明4）,1,0.0,-1000
2024-05-24,1301,"1,000-5,000",149206,5.03,320380931
2024-05-24,1301,1-999,88434,0.33,21029150
2024-05-24,1301,"10,001-15,000",9427,1.84,117294008
2024-05-24,1301,"100,001-200,000",848,1.84,117436434
2024-05-24,1301,"15,001-20,000",5073,1.44,91731560
2024-05-24,1301,"20,001-30,000",4650,1.82,115876618
2024-05-24,1301,"200,001-400,000",387,1.73,110370172
2024-05-24,1301,"30,001-40,000",1931,1.06,67819194
2024-05-24,1301,"40,001-50,000",1269,0.91,57975503
2024-05-24,1301,"400,001-600,000",115,0.89,56899774
2024-05-24,1301,"5,001-10,000",27050,3.2,204286234
2024-05-24,1301,"50,001-100,000",2165,2.36,150432618
2024-05-24,1301,"600,001-800,000",74,0.8,51086414
2024-05-24,1301,"800,001-1,000,000",46,0.64,41299442
2024-05-24,1301,"more than 1,000,001",297,76.06,4841822729
2024-05-24,1301,total,290972,100.0,6365740781
2024-05-24,1301,差異數調整（說明4）,0,0.0,0
2024-05-31,1301,"1,000-5,000",149715,5.06,322139490
2024-05-31,1301,1-999,88414,0.33,21038003
2024-05-31,1301,"10,001-15,000",9520,1.85,118379976
2024-05-31,1301,"100,001-200,000",853,1.85,117770790
2024-05-31,1301,"15,001-20,000",5147,1.46,93090956
2024-05-31,1301,"20,001-30,000",4710,1.84,117300268
2024-05-31,1301,"200,001-400,000",389,1.73,110608540
2024-05-31,1301,"30,001-40,000",1962,1.08,68927626
2024-05-31,1301,"40,001-50,000",1285,0.92,58692490
2024-05-31,1301,"400,001-600,000",117,0.9,57342782
2024-05-31,1301,"5,001-10,000",27377,3.24,206755291
2024-05-31,1301,"50,001-100,000",2199,2.39,152650664
2024-05-31,1301,"600,001-800,000",75,0.81,52014821
2024-05-31,1301,"800,001-1,000,000",48,0.67,42998889
2024-05-31,1301,"more than 1,000,001",295,75.81,4826030195
2024-05-31,1301,total,292106,100.0,6365740781
2024-05-31,1301,差異數調整（說明4）,0,0.0,0
2024-06-07,1301,"1,000-5,000",149659,5.08,323413196
2024-06-07,1301,1-999,88439,0.33,21118182
2024-06-07,1301,"10,001-15,000",9740,1.9,121198618
2024-06-07,1301,"100,001-200,000",867,1.88,120066707
2024-06-07,1301,"15,001-20,000",5208,1.47,94139249
2024-06-07,1301,"20,001-30,000",4783,1.87,119132327
2024-06-07,1301,"200,001-400,000",394,1.74,111373753
2024-06-07,1301,"30,001-40,000",1995,1.1,70101703
2024-06-07,1301,"40,001-50,000",1307,0.93,59727147
2024-06-07,1301,"400,001-600,000",116,0.89,56968715
2024-06-07,1301,"5,001-10,000",27703,3.28,209279244
2024-06-07,1301,"50,001-100,000",2221,2.42,154483698
2024-06-07,1301,"600,001-800,000",74,0.8,51409227
2024-06-07,1301,"800,001-1,000,000",53,0.74,47442637
2024-06-07,1301,"more than 1,000,001",289,75.49,4805886378
2024-06-07,1301,total,292848,100.0,6365740781
2024-06-07,1301,差異數調整（說明4）,0,0.0,0
2024-06-14,1301,"1,000-5,000",150355,5.11,325564415
2024-06-14,1301,1-999,88490,0.33,21181857
2024-06-14,1301,"10,001-15,000",9917,1.93,123440900
2024-06-14,1301,"100,001-200,000",873,1.89,120569099
2024-06-14,1301,"15,001-20,000",5319,1.51,96236869
2024-06-14,1301,"20,001-30,000",4833,1.89,120409359
2024-06-14,1301,"200,001-400,000",393,1.75,111593344
2024-06-14,1301,"30,001-40,000",2030,1.12,71376545
2024-06-14,1301,"40,001-50,000",1311,0.94,60003069
2024-06-14,1301,"400,001-600,000",120,0.92,59106617
2024-06-14,1301,"5,001-10,000",28012,3.32,211710520
2024-06-14,1301,"50,001-100,000",2253,2.46,156788893
2024-06-14,1301,"600,001-800,000",74,0.8,51117088
2024-06-14,1301,"800,001-1,000,000",50,0.69,44149697
2024-06-14,1301,"more than 1,000,001",291,75.28,4792492509
2024-06-14,1301,total,294321,100.0,6365740781
2024-06-14,1301,差異數調整（說明4）,0,0.0,0
2024-06-21,1301,"1,000-5,000",152255,5.18,329948223
2024-06-21,1301,1-999,88718,0.33,21259992
2024-06-21,1301,"10,001-15,000",10038,1.96,125002756
2024-06-21,1301,"100,001-200,000",883,1.91,122057935
2024-06-21,1301,"15,001-20,000",5437,1.54,98379388
2024-06-21,1301,"20,001-30,000",4937,1.93,123029582
2024-06-21,1301,"200,001-400,000",393,1.75,111670563
2024-06-21,1301,"30,001-40,000",2052,1.13,72247562
2024-06-21,1301,"40,001-50,000",1321,0.94,60396151
2024-06-21,1301,"400,001-600,000",124,0.95,60816190
2024-06-21,1301,"5,001-10,000",28502,3.38,215662578
2024-06-21,1301,"50,001-100,000",2275,2.48,158435715
2024-06-21,1301,"600,001-800,000",71,0.77,49396276
2024-06-21,1301,"800,001-1,000,000",51,0.7,45153325
2024-06-21,1301,"more than 1,000,001",292,74.96,4772284545
2024-06-21,1301,total,297349,100.0,6365740781
2024-06-21,1301,差異數調整（說明4）,0,0.0,0
2024-06-28,1301,"1,000-5,000",156813,5.35,340961364
2024-06-28,1301,1-999,88857,0.33,21277605
2024-06-28,1301,"10,001-15,000",10491,2.05,130813308
2024-06-28,1301,"100,001-200,000",917,1.98,126421064
2024-06-28,1301,"15,001-20,000",5711,1.62,103312114
2024-06-28,1301,"20,001-30,000",5152,2.01,128421781
2024-06-28,1301,"200,001-400,000",406,1.8,114898272
2024-06-28,1301,"30,001-40,000",2136,1.18,75158236
2024-06-28,1301,"40,001-50,000",1377,0.98,62970370
2024-06-28,1301,"400,001-600,000",121,0.93,59450214
2024-06-28,1301,"5,001-10,000",29621,3.52,224298840
2024-06-28,1301,"50,001-100,000",2343,2.56,163230140
2024-06-28,1301,"600,001-800,000",71,0.78,49704017
2024-06-28,1301,"800,001-1,000,000",52,0.72,46399354
2024-06-28,1301,"more than 1,000,001",290,74.12,4718424102
2024-06-28,1301,total,304358,100.0,6365740781
2024-06-28,1301,差異數調整（說明4）,0,0.0,0
2024-07-05,1301,"1,000-5,000",157903,5.4,343983478
2024-07-05,1301,1-999,88897,0.33,21339733
2024-07-05,1301,"10,001-15,000",10553,2.06,131628392
2024-07-05,1301,"100,001-200,000",928,2.01,128186964
2024-07-05,1301,"15,001-20,000",5817,1.65,105283851
2024-07-05,1301,"20,001-30,000",5200,2.03,129513539
2024-07-05,1301,"200,001-400,000",401,1.79,114335095
2024-07-05,1301,"30,001-40,000",2158,1.19,75845177
2024-07-05,1301,"40,001-50,000",1401,1.0,64069449
2024-07-05,1301,"400,001-600,000",123,0.94,60372060
2024-07-05,1301,"5,001-10,000",29930,3.56,226740270
2024-07-05,1301,"50,001-100,000",2378,2.6,165605623
2024-07-05,1301,"600,001-800,000",70,0.77,49358191
2024-07-05,1301,"800,001-1,000,000",49,0.68,43725701
2024-07-05,1301,"more than 1,000,001",292,73.92,4705753258
2024-07-05,1301,total,306100,100.0,6365740781
2024-07-05,1301,差異數調整（說明4）,0,0.0,0
2024-07-12,1301,"1,000-5,000",159228,5.45,346962328
2024-07-12,1301,1-999,89017,0.33,21375760
2024-07-12,1301,"10,001-15,000",10640,2.08,132797752
2024-07-12,1301,"100,001-200,000",925,2.0,127788125
2024-07-12,1301,"15,001-20,000",5868,1.66,106260748
2024-07-12,1301,"20,001-30,000",5242,2.05,130700736
2024-07-12,1301,"200,001-400,000",410,1.82,116171580
2024-07-12,1301,"30,001-40,000",2164,1.19,76042072
2024-07-12,1301,"40,001-50,000",1437,1.03,65767046
2024-07-12,1301,"400,001-600,000",125,0.96,61225310
2024-07-12,1301,"5,001-10,000",30210,3.59,229071500
2024-07-12,1301,"50,001-100,000",2407,2.63,167804442
2024-07-12,1301,"600,001-800,000",71,0.78,50012015
2024-07-12,1301,"800,001-1,000,000",51,0.71,45730303
2024-07-12,1301,"more than 1,000,001",287,73.64,4688031064
2024-07-12,1301,total,308082,100.0,6365740781
2024-07-12,1301,差異數調整（說明4）,0,0.0,0
2024-07-19,1301,"1,000-5,000",162901,5.55,353357223
2024-07-19,1301,1-999,89475,0.33,21422176
2024-07-19,1301,"10,001-15,000",10658,2.09,133112160
2024-07-19,1301,"100,001-200,000",929,2.02,128789614
2024-07-19,1301,"15,001-20,000",5937,1.69,107602802
2024-07-19,1301,"20,001-30,000",5230,2.05,130513853
2024-07-19,1301,"200,001-400,000",402,1.79,114391744
2024-07-19,1301,"30,001-40,000",2187,1.2,76846448
2024-07-19,1301,"40,001-50,000",1433,1.03,65658707
2024-07-19,1301,"400,001-600,000",127,0.97,62258020
2024-07-19,1301,"5,001-10,000",30493,3.63,231685387
2024-07-19,1301,"50,001-100,000",2427,2.66,169335328
2024-07-19,1301,"600,001-800,000",73,0.8,51313281
2024-07-19,1301,"800,001-1,000,000",54,0.75,48326024
2024-07-19,1301,"more than 1,000,001",287,73.37,4671128014
2024-07-19,1301,total,312613,100.0,6365740781
2024-07-19,1301,差異數調整（說明4）,0,0.0,0
2024-07-26,1301,"1,000-5,000",163903,5.58,355596383
2024-07-26,1301,1-999,89466,0.33,21405692
2024-07-26,1301,"10,001-15,000",10703,2.1,133699362
2024-07-26,1301,"100,001-200,000",956,2.07,132343794
2024-07-26,1301,"15,001-20,000",6007,1.71,108899871
2024-07-26,1301,"20,001-30,000",5281,2.06,131753162
2024-07-26,1301,"200,001-400,000",398,1.78,113493454
2024-07-26,1301,"30,001-40,000",2213,1.22,77841796
2024-07-26,1301,"40,001-50,000",1441,1.03,65995091
2024-07-26,1301,"400,001-600,000",126,0.96,61658406
2024-07-26,1301,"5,001-10,000",30703,3.66,233449990
