date,stock_id,HoldingSharesLevel,people,percent,unit
2025-12-19,8183,"1,000-5,000",8554,14.14,17145239
2025-12-19,8183,1-999,25236,0.23,281568
2025-12-19,8183,"10,001-15,000",346,3.71,4509543
2025-12-19,8183,"100,001-200,000",45,5.31,6447622
2025-12-19,8183,"15,001-20,000",205,3.16,3834846
2025-12-19,8183,"20,001-30,000",162,3.47,4212781
2025-12-19,8183,"200,001-400,000",23,5.83,7075827
2025-12-19,8183,"30,001-40,000",76,2.26,2752326
2025-12-19,8183,"40,001-50,000",51,1.94,2362016
2025-12-19,8183,"400,001-600,000",3,1.22,1483000
2025-12-19,8183,"5,001-10,000",1170,7.77,9421961
2025-12-19,8183,"50,001-100,000",91,5.51,6686614
2025-12-19,8183,"600,001-800,000",3,1.71,2074936
2025-12-19,8183,"800,001-1,000,000",1,0.76,933325
2025-12-19,8183,"more than 1,000,001",6,42.91,52029464
2025-12-19,8183,total,35972,100.0,121251068
2025-12-19,8183,差異數調整（說明4）,0,0.0,0
2025-12-26,8183,"1,000-5,000",8493,14.03,17011909
2025-12-26,8183,1-999,25269,0.23,280594
2025-12-26,8183,"10,001-15,000",347,3.73,4524949
2025-12-26,8183,"100,001-200,000",45,5.28,6413173
2025-12-26,8183,"15,001-20,000",204,3.14,3815846
2025-12-26,8183,"20,001-30,000",163,3.49,4241034
2025-12-26,8183,"200,001-400,000",22,5.58,6773827
2025-12-26,8183,"30,001-40,000",75,2.24,2718326
2025-12-26,8183,"40,001-50,000",51,1.96,2377486
2025-12-26,8183,"400,001-600,000",4,1.64,1993000
2025-12-26,8183,"5,001-10,000",1170,7.75,9408396
2025-12-26,8183,"50,001-100,000",90,5.49,6667374
2025-12-26,8183,"600,001-800,000",3,1.71,2074936
2025-12-26,8183,"800,001-1,000,000",1,0.76,929754
2025-12-26,8183,"more than 1,000,001",6,42.9,52020464
2025-12-26,8183,total,35943,100.0,121251068
2025-12-26,8183,差異數調整（說明4）,0,0.0,0
2026-01-02,8183,"1,000-5,000",8480,13.98,16958049
2026-01-02,8183,1-999,25284,0.22,278501
2026-01-02,8183,"10,001-15,000",350,3.76,4563099
2026-01-02,8183,"100,001-200,000",45,5.25,6375740
2026-01-02,8183,"15,001-20,000",203,3.13,3799846
2026-01-02,8183,"20,001-30,000",165,3.52,4278633
2026-01-02,8183,"200,001-400,000",23,5.81,7045827
2026-01-02,8183,"30,001-40,000",72,2.15,2612073
2026-01-02,8183,"40,001-50,000",52,1.99,2424218
2026-01-02,8183,"400,001-600,000",4,1.68,2042000
2026-01-02,8183,"5,001-10,000",1174,7.78,9442569
