date,stock_id,buy,name,sell
2024-08-09,2883,633567,Dealer_self,847696
2024-08-09,2883,1395000,Dealer_Hedging,1867000
2024-08-12,2883,14975912,Foreign_Investor,33134430
2024-08-12,2883,0,Foreign_Dealer_Self,0
2024-08-12,2883,507000,Investment_Trust,23927
2024-08-12,2883,0,Dealer_self,860225
2024-08-12,2883,219000,Dealer_Hedging,867000
2024-08-13,2883,22557000,Foreign_Investor,11701067
2024-08-13,2883,0,Foreign_Dealer_Self,0
2024-08-13,2883,248300,Investment_Trust,0
2024-08-13,2883,620847,Dealer_self,27398
2024-08-13,2883,100000,Dealer_Hedging,902000
2024-08-14,2883,48636250,Foreign_Investor,15007056
2024-08-14,2883,0,Foreign_Dealer_Self,0
2024-08-14,2883,206000,Investment_Trust,2569
2024-08-14,2883,1033808,Dealer_self,1016122
2024-08-14,2883,620000,Dealer_Hedging,729000
2024-08-15,2883,11229402,Foreign_Investor,14988000
2024-08-15,2883,0,Foreign_Dealer_Self,0
2024-08-15,2883,192000,Investment_Trust,0
2024-08-15,2883,178000,Dealer_self,340161
2024-08-15,2883,193000,Dealer_Hedging,381000
2024-08-16,2883,54396200,Foreign_Investor,6502000
2024-08-16,2883,0,Foreign_Dealer_Self,0
2024-08-16,2883,310569,Investment_Trust,33000
2024-08-16,2883,399064,Dealer_self,300000
2024-08-16,2883,484000,Dealer_Hedging,839000
2024-08-19,2883,7440060,Foreign_Investor,18963000
2024-08-19,2883,0,Foreign_Dealer_Self,0
2024-08-19,2883,39000,Investment_Trust,202808
2024-08-19,2883,2000,Dealer_self,365096
2024-08-19,2883,188000,Dealer_Hedging,257999
2024-08-20,2883,8634000,Foreign_Investor,20416835
2024-08-20,2883,0,Foreign_Dealer_Self,0
2024-08-20,2883,2104000,Investment_Trust,22291
2024-08-20,2883,241000,Dealer_self,120193
2024-08-20,2883,113000,Dealer_Hedging,369000
2024-08-21,2883,11868270,Foreign_Investor,11021819
2024-08-21,2883,0,Foreign_Dealer_Self,0
2024-08-21,2883,106000,Investment_Trust,645
2024-08-21,2883,95000,Dealer_self,1282912
2024-08-21,2883,483000,Dealer_Hedging,346000
2024-08-22,2883,11692000,Foreign_Investor,14598718
2024-08-22,2883,0,Foreign_Dealer_Self,0
2024-08-22,2883,20000,Investment_Trust,645
2024-08-22,2883,35000,Dealer_self,29976
2024-08-22,2883,1416000,Dealer_Hedging,205000
2024-08-23,2883,14886446,Foreign_Investor,9320500
2024-08-23,2883,0,Foreign_Dealer_Self,0
2024-08-23,2883,2477000,Investment_Trust,38645
2024-08-23,2883,124000,Dealer_self,69998
2024-08-23,2883,501000,Dealer_Hedging,369000
2024-08-26,2883,36271256,Foreign_Investor,9190967
2024-08-26,2883,0,Foreign_Dealer_Self,0
2024-08-26,2883,590000,Investment_Trust,645
2024-08-26,2883,371000,Dealer_self,46000
2024-08-26,2883,964000,Dealer_Hedging,579000
2024-08-27,2883,5737000,Foreign_Investor,22772252
2024-08-27,2883,0,Foreign_Dealer_Self,0
2024-08-27,2883,1097000,Investment_Trust,645
2024-08-27,2883,124000,Dealer_self,299676
2024-08-27,2883,325000,Dealer_Hedging,863000
2024-08-28,2883,10911180,Foreign_Investor,6282000
2024-08-28,2883,0,Foreign_Dealer_Self,0
2024-08-28,2883,323000,Investment_Trust,645
2024-08-28,2883,166000,Dealer_self,125722
2024-08-28,2883,198000,Dealer_Hedging,204339
2024-08-29,2883,8938366,Foreign_Investor,16247600
2024-08-29,2883,0,Foreign_Dealer_Self,0
2024-08-29,2883,774000,Investment_Trust,0
2024-08-29,2883,0,Dealer_self,268000
2024-08-29,2883,183713,Dealer_Hedging,432000
2024-08-30,2883,31226947,Foreign_Investor,27903792
2024-08-30,2883,0,Foreign_Dealer_Self,0
2024-08-30,2883,2033200,Investment_Trust,0
2024-08-30,2883,169000,Dealer_self,0
2024-08-30,2883,255000,Dealer_Hedging,629000
2024-09-02,2883,24161000,Foreign_Investor,11225000
2024-09-02,2883,0,Foreign_Dealer_Self,0
2024-09-02,2883,2852000,Investment_Trust,25291
2024-09-02,2883,623000,Dealer_self,0
2024-09-02,2883,909000,Dealer_Hedging,1061000
2024-09-03,2883,0,Foreign_Dealer_Self,0
2024-09-03,2883,809000,Dealer_self,771000
2024-09-03,2883,876000,Dealer_Hedging,920000
2024-09-03,2883,8617000,Foreign_Investor,22167849
2024-09-03,2883,8245000,Investment_Trust,0
2024-09-04,2883,32067915,Foreign_Investor,55337456
2024-09-04,2883,0,Foreign_Dealer_Self,0
2024-09-04,2883,6686000,Investment_Trust,0
2024-09-04,2883,3033000,Dealer_self,2090323
2024-09-04,2883,1763000,Dealer_Hedging,1381473
2024-09-05,2883,68184737,Foreign_Investor,21285685
2024-09-05,2883,0,Foreign_Dealer_Self,0
2024-09-05,2883,2285000,Investment_Trust,1291
2024-09-05,2883,423000,Dealer_self,3888000
2024-09-05,2883,1442000,Dealer_Hedging,1288000
2024-09-06,2883,0,Foreign_Dealer_Self,0
2024-09-06,2883,5754000,Investment_Trust,645
2024-09-06,2883,735000,Dealer_self,1170147
2024-09-06,2883,594000,Dealer_Hedging,1050000
2024-09-06,2883,10857356,Foreign_Investor,22706865
2024-09-09,2883,14069318,Foreign_Investor,33028399
2024-09-09,2883,0,Foreign_Dealer_Self,0
2024-09-09,2883,4484000,Investment_Trust,1291
2024-09-09,2883,1861000,Dealer_self,2225701
2024-09-09,2883,1107000,Dealer_Hedging,663000
2024-09-10,2883,14260000,Foreign_Investor,13655108
2024-09-10,2883,0,Foreign_Dealer_Self,0
2024-09-10,2883,899000,Investment_Trust,1291
2024-09-10,2883,341000,Dealer_self,296022
2024-09-10,2883,324000,Dealer_Hedging,420000
2024-09-11,2883,11606630,Foreign_Investor,45029000
2024-09-11,2883,0,Foreign_Dealer_Self,0
2024-09-11,2883,4999000,Investment_Trust,0
2024-09-11,2883,1268000,Dealer_self,890983
2024-09-11,2883,617000,Dealer_Hedging,553000
2024-09-12,2883,30293000,Foreign_Investor,22697460
2024-09-12,2883,0,Foreign_Dealer_Self,0
2024-09-12,2883,685000,Investment_Trust,1291
2024-09-12,2883,538104,Dealer_self,137570
2024-09-12,2883,275000,Dealer_Hedging,413000
2024-09-13,2883,8246179,Foreign_Investor,12407480
2024-09-13,2883,0,Foreign_Dealer_Self,0
2024-09-13,2883,838000,Investment_Trust,0
2024-09-13,2883,242000,Dealer_self,247976
2024-09-13,2883,211000,Dealer_Hedging,6864000
2024-09-16,2883,8336038,Foreign_Investor,9302000
2024-09-16,2883,0,Foreign_Dealer_Self,0
2024-09-16,2883,3081000,Investment_Trust,645
2024-09-16,2883,692000,Dealer_self,704912
2024-09-16,2883,565000,Dealer_Hedging,595000
2024-09-18,2883,31587256,Foreign_Investor,12048600
2024-09-18,2883,0,Foreign_Dealer_Self,0
2024-09-18,2883,3007000,Investment_Trust,0
2024-09-18,2883,1361000,Dealer_self,1314000
2024-09-18,2883,522000,Dealer_Hedging,395000
2024-09-19,2883,81109059,Foreign_Investor,16732000
2024-09-19,2883,0,Foreign_Dealer_Self,0
2024-09-19,2883,445000,Investment_Trust,2881000
2024-09-19,2883,2746000,Dealer_self,915000
2024-09-19,2883,2576000,Dealer_Hedging,2579882
2024-09-20,2883,0,Foreign_Dealer_Self,0
2024-09-20,2883,5129437,Investment_Trust,18000
2024-09-20,2883,194000,Dealer_self,11000
2024-09-20,2883,296000,Dealer_Hedging,1522276
2024-09-20,2883,34882814,Foreign_Investor,39505419
2024-09-23,2883,10917458,Foreign_Investor,10359200
2024-09-23,2883,0,Foreign_Dealer_Self,0
2024-09-23,2883,440000,Investment_Trust,21000
2024-09-23,2883,573000,Dealer_self,8000
2024-09-23,2883,319000,Dealer_Hedging,243000
2024-09-24,2883,15161856,Foreign_Investor,16664257
2024-09-24,2883,0,Foreign_Dealer_Self,0
2024-09-24,2883,184000,Investment_Trust,28837
2024-09-24,2883,48001,Dealer_self,181000
2024-09-24,2883,311000,Dealer_Hedging,251000
2024-09-25,2883,33171150,Foreign_Investor,45336677
2024-09-25,2883,0,Foreign_Dealer_Self,0
2024-09-25,2883,31000,Investment_Trust,17302
2024-09-25,2883,1107000,Dealer_self,242314
2024-09-25,2883,533000,Dealer_Hedging,135000
2024-09-26,2883,32516175,Foreign_Investor,23148336
2024-09-26,2883,0,Foreign_Dealer_Self,0
2024-09-26,2883,349000,Investment_Trust,0
2024-09-26,2883,572000,Dealer_self,89000
2024-09-26,2883,166000,Dealer_Hedging,253000
2024-09-27,2883,20108500,Foreign_Investor,30663932
2024-09-27,2883,0,Foreign_Dealer_Self,0
2024-09-27,2883,573000,Investment_Trust,252535
2024-09-27,2883,279000,Dealer_self,500241
2024-09-27,2883,446000,Dealer_Hedging,441000
2024-09-30,2883,33971225,Foreign_Investor,16003583
2024-09-30,2883,0,Foreign_Dealer_Self,0
2024-09-30,2883,256000,Investment_Trust,34535
2024-09-30,2883,127000,Dealer_self,107000
2024-09-30,2883,710000,Dealer_Hedging,589000
2024-10-01,2883,9862000,Foreign_Investor,17430000
2024-10-01,2883,0,Foreign_Dealer_Self,0
2024-10-01,2883,860000,Investment_Trust,80770
2024-10-01,2883,35000,Dealer_self,410000
2024-10-01,2883,849000,Dealer_Hedging,642000
2024-10-04,2883,0,Foreign_Dealer_Self,0
2024-10-04,2883,1046000,Investment_Trust,28837
2024-10-04,2883,291000,Dealer_self,831000
2024-10-04,2883,1250000,Dealer_Hedging,394000
2024-10-04,2883,23957000,Foreign_Investor,24703400
2024-10-07,2883,48174000,Foreign_Investor,12192000
2024-10-07,2883,0,Foreign_Dealer_Self,0
2024-10-07,2883,1052000,Investment_Trust,0
2024-10-07,2883,323000,Dealer_self,50000
2024-10-07,2883,1375664,Dealer_Hedging,2400000
2024-10-08,2883,0,Foreign_Dealer_Self,0
2024-10-08,2883,2117000,Investment_Trust,13535
2024-10-08,2883,50000,Dealer_self,331018
2024-10-08,2883,821000,Dealer_Hedging,530000
2024-10-08,2883,16919274,Foreign_Investor,43424258
2024-10-09,2883,11098938,Foreign_Investor,16905163
2024-10-09,2883,0,Foreign_Dealer_Self,0
2024-10-09,2883,458000,Investment_Trust,8767
2024-10-09,2883,6000,Dealer_self,398000
2024-10-09,2883,375000,Dealer_Hedging,258000
2024-10-11,2883,70926665,Foreign_Investor,17200914
2024-10-11,2883,0,Foreign_Dealer_Self,0
2024-10-11,2883,305000,Investment_Trust,5767
2024-10-11,2883,627000,Dealer_self,514000
2024-10-11,2883,1331795,Dealer_Hedging,1199000
2024-10-14,2883,7431513,Foreign_Investor,15082200
2024-10-14,2883,0,Foreign_Dealer_Self,0
2024-10-14,2883,266000,Investment_Trust,5767
2024-10-14,2883,327000,Dealer_self,72000
2024-10-14,2883,283000,Dealer_Hedging,603006
2024-10-15,2883,85752000,Foreign_Investor,11190500
2024-10-15,2883,0,Foreign_Dealer_Self,0
2024-10-15,2883,1348000,Investment_Trust,11535
2024-10-15,2883,666000,Dealer_self,21000
2024-10-15,2883,1061990,Dealer_Hedging,774000
2024-10-16,2883,21849591,Foreign_Investor,43724688
2024-10-16,2883,0,Foreign_Dealer_Self,0
2024-10-16,2883,465000,Investment_Trust,604604
2024-10-16,2883,1080000,Dealer_self,25000
2024-10-16,2883,1274000,Dealer_Hedging,1198944
2024-10-17,2883,44032000,Foreign_Investor,16861000
2024-10-17,2883,0,Foreign_Dealer_Self,0
2024-10-17,2883,1105000,Investment_Trust,250000
2024-10-17,2883,587000,Dealer_self,302000
2024-10-17,2883,1761000,Dealer_Hedging,439000
2024-10-18,2883,34595100,Foreign_Investor,18039468
2024-10-18,2883,0,Foreign_Dealer_Self,0
2024-10-18,2883,80000,Investment_Trust,119535
2024-10-18,2883,1111000,Dealer_self,168000
2024-10-18,2883,584000,Dealer_Hedging,1705000
2024-10-21,2883,8586857,Foreign_Investor,64151004
2024-10-21,2883,0,Foreign_Dealer_Self,0
2024-10-21,2883,2131000,Investment_Trust,5767
2024-10-21,2883,279000,Dealer_self,244428
2024-10-21,2883,63000,Dealer_Hedging,629202
2024-10-22,2883,16367000,Foreign_Investor,32010500
2024-10-22,2883,0,Foreign_Dealer_Self,0
2024-10-22,2883,6908000,Investment_Trust,1169767
2024-10-22,2883,44000,Dealer_self,54000
2024-10-22,2883,356000,Dealer_Hedging,627000
2024-10-23,2883,7606054,Foreign_Investor,12412000
