date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-07-22,2637,144791973,144791.973,19.39,746409199
2024-07-23,2637,147021973,147021.973,19.69,746409199
2024-07-26,2637,146898235,146898.235,19.68,746409199
2024-07-29,2637,147556235,147556.235,19.76,746409199
2024-07-30,2637,148310735,148310.735,19.86,746409199
2024-07-31,2637,149744735,149744.735,20.06,746409199
2024-08-01,2637,150619735,150619.735,20.17,746409199
2024-08-02,2637,150686735,150686.735,20.18,746409199
2024-08-05,2637,150085235,150085.235,20.1,746409199
2024-08-06,2637,149307959,149307.959,20.0,746409199
2024-08-07,2637,150612109,150612.109,20.17,746409199
2024-08-08,2637,151016259,151016.259,20.23,746409199
2024-08-09,2637,151488100,151488.1,20.29,746409199
2024-08-12,2637,151795941,151795.941,20.33,746409199
2024-08-13,2637,151617941,151617.941,20.31,746409199
2024-08-14,2637,152689941,152689.941,20.45,746409199
2024-08-15,2637,152523941,152523.941,20.43,746409199
2024-08-16,2637,153003941,153003.941,20.49,746409199
2024-08-19,2637,153100941,153100.941,20.51,746409199
2024-08-20,2637,152824941,152824.941,20.47,746409199
2024-08-21,2637,153063592,153063.592,20.5,746409199
2024-08-22,2637,152809592,152809.592,20.47,746409199
2024-08-23,2637,152444592,152444.592,20.42,746409199
2024-08-26,2637,157498592,157498.592,21.1,746409199
2024-08-27,2637,155800592,155800.592,20.87,746409199
2024-08-28,2637,155416592,155416.592,20.82,746409199
2024-08-29,2637,154975592,154975.592,20.76,746409199
2024-08-30,2637,154742654,154742.654,20.73,746409199
2024-09-02,2637,154708654,154708.654,20.72,746409199
2024-09-03,2637,154240654,154240.654,20.66,746409199
2024-09-04,2637,153054654,153054.654,20.5,746409199
2024-09-05,2637,153506207,153506.207,20.56,746409199
2024-09-06,2637,153720129,153720.129,20.59,746409199
2024-09-09,2637,153363129,153363.129,20.54,746409199
2024-09-10,2637,153566129,153566.129,20.57,746409199
2024-09-11,2637,154230248,154230.248,20.66,746409199
2024-09-12,2637,154679336,154679.336,20.72,746409199
2024-09-13,2637,155610455,155610.455,20.84,746409199
2024-09-16,2637,156344450,156344.45,20.94,746409199
2024-09-18,2637,157545587,157545.587,21.1,746409199
2024-09-19,2637,159184587,159184.587,21.32,746409199
2024-09-20,2637,160627587,160627.587,21.52,746409199
2024-09-23,2637,161446587,161446.587,21.62,746409199
2024-09-24,2637,163701577,163701.577,21.93,746409199
2024-09-25,2637,165352709,165352.709,22.15,746409199
2024-09-26,2637,165385709,165385.709,22.15,746409199
2024-09-27,2637,169310828,169310.828,22.68,746409199
2024-09-30,2637,167423822,167423.822,22.43,746409199
2024-10-01,2637,171196322,171196.322,22.93,746409199
2024-10-04,2637,169536322,169536.322,22.71,746409199
2024-10-07,2637,168743322,168743.322,22.6,746409199
2024-10-08,2637,168335322,168335.322,22.55,746409199
2024-10-09,2637,168667217,168667.217,22.59,746409199
2024-10-11,2637,168864217,168864.217,22.62,746409199
2024-10-14,2637,169026356,169026.356,22.64,746409199
2024-10-15,2637,169547966,169547.966,22.71,746409199
2024-10-16,2637,170465839,170465.839,22.83,746409199
2024-10-17,2637,168136839,168136.839,22.52,746409199
2024-10-18,2637,168299839,168299.839,22.54,746409199
2024-10-21,2637,168244839,168244.839,22.54,746409199
2024-10-22,2637,167063839,167063.839,22.38,746409199
2024-10-23,2637,166464272,166464.272,22.3,746409199
2024-10-24,2637,165809338,165809.338,22.21,746409199
2024-10-25,2637,167606338,167606.338,22.45,746409199
2024-10-28,2637,167927338,167927.338,22.49,746409199
2024-10-29,2637,167422338,167422.338,22.43,746409199
2024-10-30,2637,168000338,168000.338,22.5,746409199
2024-11-01,2637,168833470,168833.47,22.61,746409199
2024-11-04,2637,168834470,168834.47,22.61,746409199
2024-11-05,2637,168357470,168357.47,22.55,746409199
2024-11-06,2637,170833460,170833.46,22.88,746409199
2024-11-07,2637,171480460,171480.46,22.97,746409199
2024-11-08,2637,172263161,172263.161,23.07,746409199
2024-11-11,2637,175458462,175458.462,23.5,746409199
2024-11-12,2637,176348462,176348.462,23.62,746409199
2024-11-13,2637,176760462,176760.462,23.68,746409199
2024-11-14,2637,179017452,179017.452,23.98,746409199
2024-11-15,2637,180275452,180275.452,24.15,746409199
2024-11-18,2637,179655452,179655.452,24.06,746409199
2024-11-19,2637,179502452,179502.452,24.04,746409199
2024-11-20,2637,180596344,180596.344,24.19,746409199
2024-11-21,2637,181352600,181352.6,24.29,746409199
2024-11-22,2637,181356005,181356.005,24.29,746409199
2024-11-25,2637,183835850,183835.85,24.62,746409199
2024-11-26,2637,184538373,184538.373,24.72,746409199
2024-11-27,2637,184189551,184189.551,24.67,746409199
2024-11-28,2637,181889559,181889.559,24.36,746409199
2024-11-29,2637,182361055,182361.055,24.43,746409199
2024-12-02,2637,182375768,182375.768,24.43,746409199
2024-12-03,2637,184068638,184068.638,24.66,746409199
2024-12-04,2637,184994660,184994.66,24.78,746409199
2024-12-05,2637,184882660,184882.66,24.76,746409199
2024-12-06,2637,185826458,185826.458,24.89,746409199
2024-12-09,2637,184536300,184536.3,24.72,746409199
2024-12-10,2637,182981339,182981.339,24.51,746409199
2024-12-11,2637,182198440,182198.44,24.4,746409199
2024-12-12,2637,179739142,179739.142,24.08,746409199
2024-12-13,2637,177796457,177796.457,23.82,746409199
2024-12-16,2637,172905475,172905.475,23.16,746409199
2024-12-17,2637,167333620,167333.62,22.41,746409199
2024-12-18,2637,158885533,158885.533,21.28,746409199
2024-12-19,2637,151071038,151071.038,20.23,746409199
2024-12-20,2637,144076481,144076.481,19.3,746409199
2024-12-23,2637,138676365,138676.365,18.57,746409199
2024-12-24,2637,132537365,132537.365,17.75,746409199
2024-12-25,2637,126416056,126416.056,16.93,746409199
2024-12-26,2637,120911056,120911.056,16.19,746409199
2024-12-27,2637,115770116,115770.116,15.51,746409199
2024-12-30,2637,112963090,112963.09,15.13,746409199
2024-12-31,2637,107635712,107635.712,14.42,746409199
2025-01-02,2637,105995773,105995.773,14.2,746409199
2025-01-03,2637,104156954,104156.954,13.95,746409199
2025-01-06,2637,103757790,103757.79,13.9,746409199
2025-01-07,2637,101450790,101450.79,13.59,746409199
2025-01-08,2637,101612408,101612.408,13.61,746409199
2025-01-09,2637,99431408,99431.408,13.32,746409199
2025-01-10,2637,100153748,100153.748,13.41,746409199
2025-01-13,2637,98425748,98425.748,13.18,746409199
2025-01-14,2637,95607760,95607.76,12.8,746409199
2025-01-15,2637,94948342,94948.342,12.72,746409199
2025-01-16,2637,94144288,94144.288,12.61,746409199
2025-01-17,2637,92886405,92886.405,12.44,746409199
2025-01-20,2637,92595630,92595.63,12.4,746409199
2025-01-21,2637,92674398,92674.398,12.41,746409199
