date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-06-17,3484,6875558,6875.558,9.1,75538769
2024-06-18,3484,6880558,6880.558,9.1,75538769
2024-06-19,3484,6829558,6829.558,9.04,75538769
2024-06-20,3484,6805558,6805.558,9.0,75538769
2024-06-21,3484,6801558,6801.558,9.0,75538769
2024-06-24,3484,6864558,6864.558,9.08,75538769
2024-06-25,3484,6884558,6884.558,9.11,75538769
2024-06-26,3484,6882558,6882.558,9.11,75538769
2024-06-27,3484,6902558,6902.558,9.13,75538769
2024-06-28,3484,6984558,6984.558,9.24,75538769
2024-07-01,3484,6947558,6947.558,9.19,75538769
2024-07-02,3484,6966558,6966.558,9.22,75538769
2024-07-03,3484,7190558,7190.558,9.51,75538769
2024-07-04,3484,7315558,7315.558,9.68,75538769
2024-07-05,3484,7372558,7372.558,9.75,75538769
2024-07-08,3484,7421558,7421.558,9.82,75538769
2024-07-09,3484,7473558,7473.558,9.89,75538769
2024-07-10,3484,7559558,7559.558,10.0,75538769
2024-07-11,3484,7592558,7592.558,10.05,75538769
2024-07-12,3484,7567558,7567.558,10.01,75538769
2024-07-15,3484,7649558,7649.558,10.12,75538769
2024-07-16,3484,7676558,7676.558,10.16,75538769
2024-07-17,3484,7707558,7707.558,10.2,75538769
2024-07-18,3484,7639434,7639.434,10.11,75538769
2024-07-19,3484,7582434,7582.434,10.03,75538769
2024-07-22,3484,7696434,7696.434,10.18,75538769
2024-07-23,3484,7719434,7719.434,10.21,75538769
2024-07-26,3484,7784434,7784.434,10.3,75538769
2024-07-29,3484,7691434,7691.434,10.18,75538769
2024-07-30,3484,7780434,7780.434,10.29,75538769
2024-07-31,3484,7743434,7743.434,10.25,75538769
2024-08-01,3484,7746434,7746.434,10.25,75538769
2024-08-02,3484,7709434,7709.434,10.2,75538769
2024-08-05,3484,7736434,7736.434,10.24,75538769
2024-08-06,3484,7730434,7730.434,10.23,75538769
2024-08-07,3484,7764434,7764.434,10.27,75538769
2024-08-08,3484,7758434,7758.434,10.27,75538769
2024-08-09,3484,7472491,7472.491,9.89,75538769
2024-08-12,3484,7386576,7386.576,9.77,75538769
2024-08-13,3484,7470576,7470.576,9.88,75538769
2024-08-14,3484,7558576,7558.576,10.0,75538769
2024-08-15,3484,7830576,7830.576,10.36,75538769
2024-08-16,3484,7894576,7894.576,10.45,75538769
2024-08-19,3484,8259576,8259.576,10.93,75538769
2024-08-20,3484,8319576,8319.576,11.01,75538769
2024-08-21,3484,8436966,8436.966,11.16,75538769
2024-08-22,3484,8560966,8560.966,11.33,75538769
2024-08-23,3484,8601966,8601.966,11.38,75538769
2024-08-26,3484,8618966,8618.966,11.4,75538769
2024-08-27,3484,8697966,8697.966,11.51,75538769
2024-08-28,3484,8895966,8895.966,11.77,75538769
2024-08-29,3484,9250966,9250.966,12.24,75538769
2024-08-30,3484,9038966,9038.966,11.96,75538769
2024-09-02,3484,9178966,9178.966,12.15,75538769
2024-09-03,3484,9212966,9212.966,12.19,75538769
2024-09-04,3484,9415967,9415.967,12.46,75538769
2024-09-05,3484,9293967,9293.967,12.3,75538769
2024-09-06,3484,9162967,9162.967,12.13,75538769
2024-09-09,3484,9191967,9191.967,12.16,75538769
2024-09-10,3484,9164967,9164.967,12.13,75538769
2024-09-11,3484,9263967,9263.967,12.26,75538769
2024-09-12,3484,9349967,9349.967,12.37,75538769
2024-09-13,3484,9542302,9542.302,12.63,75538769
2024-09-16,3484,9103302,9103.302,12.05,75538769
2024-09-18,3484,9209302,9209.302,12.19,75538769
2024-09-19,3484,9342302,9342.302,12.36,75538769
2024-09-20,3484,9023302,9023.302,11.94,75538769
2024-09-23,3484,9371302,9371.302,12.4,75538769
2024-09-24,3484,9358302,9358.302,12.38,75538769
2024-09-25,3484,9479302,9479.302,12.54,75538769
2024-09-26,3484,9696245,9696.245,12.83,75538769
2024-09-27,3484,9820245,9820.245,13.0,75538769
