date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-06-17,4127,1404131,1404.131,3.06,45760000
2024-06-18,4127,1468131,1468.131,3.2,45760000
2024-06-19,4127,1166131,1166.131,2.54,45760000
2024-06-20,4127,1159131,1159.131,2.53,45760000
2024-06-21,4127,1127131,1127.131,2.46,45760000
2024-06-24,4127,1051131,1051.131,2.29,45760000
2024-06-25,4127,1031131,1031.131,2.25,45760000
2024-06-26,4127,1129131,1129.131,2.46,45760000
2024-06-27,4127,1070131,1070.131,2.33,45760000
2024-06-28,4127,1068131,1068.131,2.33,45760000
2024-07-01,4127,1051131,1051.131,2.29,45760000
2024-07-02,4127,1005131,1005.131,2.19,45760000
2024-07-03,4127,992131,992.131,2.16,45760000
2024-07-04,4127,899131,899.131,1.96,45760000
2024-07-05,4127,1000131,1000.131,2.18,45760000
2024-07-08,4127,887131,887.131,1.93,45760000
2024-07-09,4127,1073131,1073.131,2.34,45760000
2024-07-10,4127,1082131,1082.131,2.36,45760000
2024-07-11,4127,1080131,1080.131,2.36,45760000
2024-07-12,4127,1047131,1047.131,2.28,45760000
2024-07-15,4127,1104131,1104.131,2.41,45760000
2024-07-16,4127,1230131,1230.131,2.68,45760000
2024-07-17,4127,1380131,1380.131,3.01,45760000
2024-07-18,4127,1339131,1339.131,2.92,45760000
2024-07-19,4127,1328131,1328.131,2.9,45760000
2024-07-22,4127,1384131,1384.131,3.02,45760000
2024-07-23,4127,1428131,1428.131,3.12,45760000
2024-07-26,4127,1272131,1272.131,2.78,45760000
2024-07-29,4127,1333131,1333.131,2.91,45760000
2024-07-30,4127,1404131,1404.131,3.06,45760000
2024-07-31,4127,1409131,1409.131,3.07,45760000
2024-08-01,4127,1409131,1409.131,3.07,45760000
2024-08-02,4127,1380131,1380.131,3.01,45760000
2024-08-05,4127,1489131,1489.131,3.25,45760000
2024-08-06,4127,1637131,1637.131,3.57,45760000
2024-08-07,4127,1597131,1597.131,3.49,45760000
2024-08-08,4127,1606131,1606.131,3.5,45760000
2024-08-09,4127,1629131,1629.131,3.56,45760000
2024-08-12,4127,1617131,1617.131,3.53,45760000
2024-08-13,4127,1537131,1537.131,3.35,45760000
2024-08-14,4127,1410131,1410.131,3.08,45760000
2024-08-15,4127,1406131,1406.131,3.07,45760000
2024-08-16,4127,1431131,1431.131,3.12,45760000
2024-08-19,4127,1412131,1412.131,3.08,45760000
2024-08-20,4127,1441131,1441.131,3.14,45760000
2024-08-21,4127,810131,810.131,1.77,45760000
2024-08-22,4127,750131,750.131,1.63,45760000
2024-08-23,4127,761131,761.131,1.66,45760000
2024-08-26,4127,782131,782.131,1.7,45760000
2024-08-27,4127,792131,792.131,1.73,45760000
2024-08-28,4127,952131,952.131,2.08,45760000
2024-08-29,4127,728131,728.131,1.59,45760000
2024-08-30,4127,787181,787.181,1.72,45760000
2024-09-02,4127,770181,770.181,1.68,45760000
2024-09-03,4127,879181,879.181,1.92,45760000
2024-09-04,4127,908182,908.182,1.98,45760000
2024-09-05,4127,816182,816.182,1.78,45760000
