date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-04-22,8047,367704,367.704,0.88,41666343
2024-04-23,8047,386704,386.704,0.92,41666343
2024-04-24,8047,404704,404.704,0.97,41666343
2024-04-25,8047,400704,400.704,0.96,41666343
2024-04-26,8047,385704,385.704,0.92,41666343
2024-04-29,8047,379704,379.704,0.91,41666343
2024-04-30,8047,330704,330.704,0.79,41666343
2024-05-02,8047,333704,333.704,0.8,41666343
2024-05-03,8047,331704,331.704,0.79,41666343
2024-05-06,8047,359704,359.704,0.86,41666343
2024-05-07,8047,368704,368.704,0.88,41666343
2024-05-08,8047,365704,365.704,0.87,41666343
2024-05-09,8047,363704,363.704,0.87,41666343
2024-05-10,8047,351704,351.704,0.84,41666343
2024-05-13,8047,391704,391.704,0.94,41666343
2024-05-14,8047,379704,379.704,0.91,41666343
2024-05-15,8047,356704,356.704,0.85,41666343
2024-05-16,8047,340704,340.704,0.81,41666343
2024-05-17,8047,322704,322.704,0.77,41666343
2024-05-20,8047,320704,320.704,0.76,41666343
2024-05-21,8047,345704,345.704,0.82,41666343
2024-05-22,8047,350704,350.704,0.84,41666343
2024-05-23,8047,345704,345.704,0.82,41666343
2024-05-24,8047,339704,339.704,0.81,41666343
2024-05-27,8047,335704,335.704,0.8,41666343
2024-05-28,8047,344704,344.704,0.82,41666343
2024-05-29,8047,343704,343.704,0.82,41666343
2024-05-30,8047,344704,344.704,0.82,41666343
2024-05-31,8047,346704,346.704,0.83,41666343
2024-06-03,8047,345704,345.704,0.82,41666343
2024-06-04,8047,386704,386.704,0.92,41666343
2024-06-05,8047,183704,183.704,0.44,41666343
2024-06-06,8047,209704,209.704,0.5,41666343
2024-06-07,8047,246704,246.704,0.59,41666343
2024-06-11,8047,229704,229.704,0.55,41666343
2024-06-12,8047,248704,248.704,0.59,41666343
2024-06-13,8047,250704,250.704,0.6,41666343
2024-06-14,8047,284704,284.704,0.68,41666343
2024-06-17,8047,330704,330.704,0.79,41666343
2024-06-18,8047,330704,330.704,0.79,41666343
2024-06-19,8047,326704,326.704,0.78,41666343
2024-06-20,8047,330704,330.704,0.79,41666343
2024-06-21,8047,330704,330.704,0.79,41666343
2024-06-24,8047,312704,312.704,0.75,41666343
2024-06-25,8047,312704,312.704,0.75,41666343
2024-06-26,8047,322704,322.704,0.77,41666343
2024-06-27,8047,324704,324.704,0.77,41666343
2024-06-28,8047,326704,326.704,0.78,41666343
2024-07-01,8047,325704,325.704,0.78,41666343
2024-07-02,8047,318704,318.704,0.76,41666343
2024-07-03,8047,314704,314.704,0.75,41666343
2024-07-04,8047,308704,308.704,0.74,41666343
2024-07-05,8047,289704,289.704,0.69,41666343
2024-07-08,8047,238704,238.704,0.57,41666343
2024-07-09,8047,237704,237.704,0.57,41666343
2024-07-10,8047,247704,247.704,0.59,41666343
2024-07-11,8047,278704,278.704,0.66,41666343
2024-07-12,8047,270704,270.704,0.64,41666343
2024-07-15,8047,244704,244.704,0.58,41666343
2024-07-16,8047,238704,238.704,0.57,41666343
2024-07-17,8047,245704,245.704,0.58,41666343
2024-07-18,8047,234704,234.704,0.56,41666343
2024-07-19,8047,208704,208.704,0.5,41666343
