date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-05-02,6691,4468691,4468.691,5.06,88279282
2024-05-03,6691,4435691,4435.691,5.02,88279282
2024-05-06,6691,4532691,4532.691,5.13,88279282
2024-05-07,6691,4562881,4562.881,5.16,88279282
2024-05-08,6691,4663881,4663.881,5.28,88279282
2024-05-09,6691,4618181,4618.181,5.23,88279282
2024-05-10,6691,4495181,4495.181,5.09,88279282
2024-05-13,6691,4441231,4441.231,5.03,88279282
2024-05-14,6691,4423231,4423.231,5.01,88279282
2024-05-15,6691,4412479,4412.479,4.99,88279282
2024-05-16,6691,4666479,4666.479,5.28,88279282
2024-05-17,6691,4695479,4695.479,5.31,88279282
2024-05-20,6691,4712579,4712.579,5.33,88279282
2024-05-21,6691,4727579,4727.579,5.35,88279282
2024-05-22,6691,4667579,4667.579,5.28,88279282
2024-05-23,6691,4617501,4617.501,5.23,88279282
2024-05-24,6691,4624501,4624.501,5.23,88279282
2024-05-27,6691,4620086,4620.086,5.23,88279282
2024-05-28,6691,4597047,4597.047,5.2,88279282
2024-05-29,6691,4624478,4624.478,5.23,88279282
2024-05-30,6691,4655478,4655.478,5.27,88279282
2024-05-31,6691,5043413,5043.413,5.71,88279282
2024-06-03,6691,5027313,5027.313,5.69,88279282
2024-06-04,6691,5327693,5327.693,6.03,88279282
2024-06-05,6691,5230567,5230.567,5.92,88279282
2024-06-06,6691,5045567,5045.567,5.71,88279282
2024-06-07,6691,5063567,5063.567,5.73,88279282
2024-06-11,6691,5417512,5417.512,6.13,88279282
2024-06-12,6691,5417505,5417.505,6.13,88279282
2024-06-13,6691,5692805,5692.805,6.44,88279282
2024-06-14,6691,5660005,5660.005,6.41,88279282
2024-06-17,6691,5673705,5673.705,6.42,88279282
2024-06-18,6691,5676405,5676.405,6.43,88279282
2024-06-19,6691,5569405,5569.405,6.3,88279282
2024-06-20,6691,5699705,5699.705,6.45,88279282
2024-06-21,6691,5646802,5646.802,6.39,88279282
2024-06-24,6691,5569802,5569.802,6.3,88279282
2024-06-25,6691,5560802,5560.802,6.29,88279282
2024-06-26,6691,5715915,5715.915,6.47,88279282
2024-06-27,6691,5644915,5644.915,6.39,88279282
2024-06-28,6691,5605915,5605.915,6.35,88279282
2024-07-01,6691,5714915,5714.915,6.47,88279282
2024-07-02,6691,5597915,5597.915,6.34,88279282
2024-07-03,6691,5538532,5538.532,6.27,88279282
2024-07-04,6691,5631532,5631.532,6.37,88279282
2024-07-05,6691,5655532,5655.532,6.4,88279282
2024-07-08,6691,5630532,5630.532,6.37,88279282
2024-07-09,6691,5550532,5550.532,6.28,88279282
2024-07-10,6691,5553532,5553.532,6.29,88279282
2024-07-11,6691,5485714,5485.714,6.21,88279282
2024-07-12,6691,5368194,5368.194,6.08,88279282
2024-07-15,6691,5650094,5650.094,6.4,88279282
2024-07-16,6691,5396466,5396.466,6.11,88279282
2024-07-17,6691,5224466,5224.466,5.91,88279282
2024-07-18,6691,5290666,5290.666,5.99,88279282
2024-07-19,6691,5390666,5390.666,6.1,88279282
2024-07-22,6691,5038252,5038.252,5.7,88279282
2024-07-23,6691,5043052,5043.052,5.71,88279282
2024-07-26,6691,5067852,5067.852,5.74,88279282
2024-07-29,6691,4971297,4971.297,5.63,88279282
2024-07-30,6691,5029297,5029.297,5.69,88279282
2024-07-31,6691,4987897,4987.897,5.65,88279282
2024-08-01,6691,5023102,5023.102,5.69,88279282
2024-08-02,6691,4975102,4975.102,5.63,88279282
2024-08-05,6691,4941302,4941.302,5.59,88279282
2024-08-06,6691,4796717,4796.717,5.43,88279282
2024-08-07,6691,4714894,4714.894,5.34,88279282
2024-08-08,6691,4700894,4700.894,5.32,88279282
2024-08-09,6691,4731370,4731.37,5.35,88279282
2024-08-12,6691,4861170,4861.17,5.5,88279282
2024-08-13,6691,4913170,4913.17,5.56,88279282
2024-08-14,6691,4908421,4908.421,5.56,88279282
2024-08-15,6691,4830421,4830.421,5.47,88279282
2024-08-16,6691,4722421,4722.421,5.34,88279282
2024-08-19,6691,4688421,4688.421,5.31,88279282
2024-08-20,6691,4778421,4778.421,5.41,88279282
2024-08-21,6691,5812890,5812.89,5.49,105757138
2024-08-22,6691,5812890,5812.89,5.49,105757138
2024-08-23,6691,5839890,5839.89,5.52,105757138
2024-08-26,6691,5828890,5828.89,5.51,105757138
2024-08-27,6691,5861690,5861.69,5.54,105757138
2024-08-28,6691,5853690,5853.69,5.53,105757138
2024-08-29,6691,5858690,5858.69,5.53,105757138
2024-08-30,6691,5901275,5901.275,5.58,105757138
2024-09-02,6691,5816375,5816.375,5.49,105757138
2024-09-03,6691,5877375,5877.375,5.55,105757138
2024-09-04,6691,5861375,5861.375,5.54,105757138
2024-09-05,6691,5631575,5631.575,5.32,105757138
2024-09-06,6691,5712816,5712.816,5.4,105757138
2024-09-09,6691,5711816,5711.816,5.4,105757138
2024-09-10,6691,5679816,5679.816,5.37,105757138
2024-09-11,6691,5631616,5631.616,5.32,105757138
2024-09-12,6691,5654620,5654.62,5.34,105757138
2024-09-13,6691,5752820,5752.82,5.43,105757138
2024-09-16,6691,5768820,5768.82,5.45,105757138
2024-09-18,6691,5677820,5677.82,5.36,105757138
2024-09-19,6691,5746820,5746.82,5.43,105757138
2024-09-20,6691,5829820,5829.82,5.51,105757138
2024-09-23,6691,5844820,5844.82,5.52,105757138
2024-09-24,6691,5785815,5785.815,5.47,105757138
