date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-05-06,2464,4007857,4007.857,2.04,195531226
2024-05-07,2464,4045857,4045.857,2.06,195531226
2024-05-08,2464,3401857,3401.857,1.73,195531226
2024-05-09,2464,3311857,3311.857,1.69,195531226
2024-05-10,2464,3327857,3327.857,1.7,195531226
2024-05-13,2464,3487857,3487.857,1.78,195531226
2024-05-14,2464,3644857,3644.857,1.86,195531226
2024-05-15,2464,3637830,3637.83,1.86,195531226
2024-05-16,2464,3838830,3838.83,1.96,195531226
2024-05-17,2464,3863830,3863.83,1.97,195531226
2024-05-20,2464,3280830,3280.83,1.67,195531226
2024-05-21,2464,5719830,5719.83,2.92,195531226
2024-05-22,2464,4148830,4148.83,2.12,195531226
2024-05-23,2464,6939830,6939.83,3.54,195531226
2024-05-24,2464,5109830,5109.83,2.61,195531226
2024-05-27,2464,8042830,8042.83,4.11,195531226
2024-05-28,2464,6894830,6894.83,3.52,195531226
2024-05-29,2464,5078830,5078.83,2.59,195531226
2024-05-30,2464,5696830,5696.83,2.91,195531226
2024-05-31,2464,6603479,6603.479,3.37,195531226
2024-06-03,2464,5496479,5496.479,2.81,195531226
2024-06-04,2464,6818579,6818.579,3.48,195531226
2024-06-05,2464,7633579,7633.579,3.9,195531226
2024-06-06,2464,7408479,7408.479,3.78,195531226
2024-06-07,2464,7322479,7322.479,3.74,195531226
2024-06-11,2464,9624822,9624.822,4.92,195531226
2024-06-12,2464,5507022,5507.022,2.81,195531226
2024-06-13,2464,5437022,5437.022,2.78,195531226
2024-06-14,2464,4453122,4453.122,2.27,195531226
2024-06-17,2464,4152172,4152.172,2.12,195531226
2024-06-18,2464,3483172,3483.172,1.78,195531226
2024-06-19,2464,4796232,4796.232,2.45,195531226
2024-06-20,2464,6046232,6046.232,3.09,195531226
2024-06-21,2464,5960232,5960.232,3.04,195531226
2024-06-24,2464,5295112,5295.112,2.7,195531226
2024-06-25,2464,4451112,4451.112,2.27,195531226
2024-06-26,2464,4330112,4330.112,2.21,195531226
2024-06-27,2464,4074112,4074.112,2.08,195531226
2024-06-28,2464,6038212,6038.212,3.08,195531226
2024-07-01,2464,7116112,7116.112,3.63,195531226
2024-07-02,2464,5702192,5702.192,2.91,195531226
2024-07-03,2464,6321192,6321.192,3.23,195531226
2024-07-04,2464,6849192,6849.192,3.5,195531226
2024-07-05,2464,8785017,8785.017,4.49,195531226
2024-07-08,2464,7054115,7054.115,3.6,195531226
2024-07-09,2464,12603305,12603.305,6.44,195531226
2024-07-10,2464,8035365,8035.365,4.1,195531226
2024-07-11,2464,5697265,5697.265,2.91,195531226
2024-07-12,2464,5910220,5910.22,3.02,195531226
2024-07-15,2464,5260220,5260.22,2.69,195531226
2024-07-16,2464,6359634,6359.634,3.25,195531226
