date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-04-18,1309,6317503,6317.503,1.58,397586848
2024-04-19,1309,6107503,6107.503,1.53,397586848
2024-04-22,1309,6445503,6445.503,1.62,397586848
2024-04-23,1309,6527503,6527.503,1.64,397586848
2024-04-24,1309,6505503,6505.503,1.63,397586848
2024-04-25,1309,6475503,6475.503,1.62,397586848
2024-04-26,1309,6325503,6325.503,1.59,397586848
2024-04-29,1309,6669503,6669.503,1.67,397586848
2024-04-30,1309,6636503,6636.503,1.66,397586848
2024-05-02,1309,6284503,6284.503,1.58,397586848
2024-05-03,1309,6288503,6288.503,1.58,397586848
2024-05-06,1309,6254503,6254.503,1.57,397586848
2024-05-07,1309,5806503,5806.503,1.46,397586848
2024-05-08,1309,5424503,5424.503,1.36,397586848
2024-05-09,1309,5411503,5411.503,1.36,397586848
2024-05-10,1309,5710503,5710.503,1.43,397586848
2024-05-13,1309,5897503,5897.503,1.48,397586848
2024-05-14,1309,6034503,6034.503,1.51,397586848
2024-05-15,1309,6206503,6206.503,1.56,397586848
2024-05-16,1309,6421503,6421.503,1.61,397586848
2024-05-17,1309,6961503,6961.503,1.75,397586848
2024-05-20,1309,6886503,6886.503,1.73,397586848
2024-05-21,1309,7077685,7077.685,1.78,397586848
2024-05-22,1309,7177685,7177.685,1.8,397586848
2024-05-23,1309,6703685,6703.685,1.68,397586848
2024-05-24,1309,6427685,6427.685,1.61,397586848
2024-05-27,1309,6473580,6473.58,1.62,397586848
2024-05-28,1309,6843580,6843.58,1.72,397586848
2024-05-29,1309,6756580,6756.58,1.69,397586848
2024-05-30,1309,6489546,6489.546,1.63,397586848
2024-05-31,1309,6707351,6707.351,1.68,397586848
2024-06-03,1309,6614351,6614.351,1.66,397586848
2024-06-04,1309,6387351,6387.351,1.6,397586848
2024-06-05,1309,6215351,6215.351,1.56,397586848
2024-06-06,1309,6027351,6027.351,1.51,397586848
2024-06-07,1309,5917351,5917.351,1.48,397586848
2024-06-11,1309,5802351,5802.351,1.45,397586848
2024-06-12,1309,5765351,5765.351,1.45,397586848
2024-06-13,1309,5807351,5807.351,1.46,397586848
2024-06-14,1309,5809351,5809.351,1.46,397586848
2024-06-17,1309,5939351,5939.351,1.49,397586848
2024-06-18,1309,5907351,5907.351,1.48,397586848
2024-06-19,1309,5872351,5872.351,1.47,397586848
2024-06-20,1309,7519597,7519.597,1.89,397586848
2024-06-21,1309,5771597,5771.597,1.45,397586848
2024-06-24,1309,5600997,5600.997,1.4,397586848
2024-06-25,1309,5856997,5856.997,1.47,397586848
2024-06-26,1309,5206997,5206.997,1.3,397586848
2024-06-27,1309,5409117,5409.117,1.36,397586848
2024-06-28,1309,5015117,5015.117,1.26,397586848
2024-07-01,1309,4827117,4827.117,1.21,397586848
2024-07-02,1309,5004413,5004.413,1.25,397586848
2024-07-03,1309,4852423,4852.423,1.22,397586848
2024-07-04,1309,5073423,5073.423,1.27,397586848
2024-07-05,1309,5598423,5598.423,1.4,397586848
2024-07-08,1309,4980645,4980.645,1.25,397586848
2024-07-09,1309,4618645,4618.645,1.16,397586848
2024-07-10,1309,4931645,4931.645,1.24,397586848
2024-07-11,1309,6577895,6577.895,1.65,397586848
2024-07-12,1309,4965565,4965.565,1.24,397586848
2024-07-15,1309,4658565,4658.565,1.17,397586848
2024-07-16,1309,4747565,4747.565,1.19,397586848
2024-07-17,1309,5249425,5249.425,1.32,397586848
2024-07-18,1309,5104425,5104.425,1.28,397586848
2024-07-19,1309,4907325,4907.325,1.23,397586848
2024-07-22,1309,4968525,4968.525,1.24,397586848
2024-07-23,1309,5288525,5288.525,1.33,397586848
2024-07-26,1309,4487525,4487.525,1.12,397586848
2024-07-29,1309,4836525,4836.525,1.21,397586848
2024-07-30,1309,5123525,5123.525,1.28,397586848
2024-07-31,1309,6112146,6112.146,1.53,397586848
2024-08-01,1309,7061949,7061.949,1.77,397586848
2024-08-02,1309,6748949,6748.949,1.69,397586848
2024-08-05,1309,7315949,7315.949,1.84,397586848
2024-08-06,1309,7264949,7264.949,1.82,397586848
2024-08-07,1309,7161949,7161.949,1.8,397586848
2024-08-08,1309,8030049,8030.049,2.01,397586848
2024-08-09,1309,8321049,8321.049,2.09,397586848
2024-08-12,1309,8597523,8597.523,2.16,397586848
2024-08-13,1309,8865523,8865.523,2.22,397586848
2024-08-14,1309,9228523,9228.523,2.32,397586848
2024-08-15,1309,8937523,8937.523,2.24,397586848
2024-08-16,1309,9119523,9119.523,2.29,397586848
2024-08-19,1309,9181523,9181.523,2.3,397586848
2024-08-20,1309,8896523,8896.523,2.23,397586848
2024-08-21,1309,9596125,9596.125,2.41,397586848
2024-08-22,1309,10354125,10354.125,2.6,397586848
2024-08-23,1309,9245125,9245.125,2.32,397586848
2024-08-26,1309,10334125,10334.125,2.59,397586848
2024-08-27,1309,10378125,10378.125,2.61,397586848
2024-08-28,1309,10247125,10247.125,2.57,397586848
2024-08-29,1309,10463125,10463.125,2.63,397586848
2024-08-30,1309,10488680,10488.68,2.63,397586848
2024-09-02,1309,9966680,9966.68,2.5,397586848
2024-09-03,1309,9860680,9860.68,2.48,397586848
2024-09-04,1309,9596681,9596.681,2.41,397586848
2024-09-05,1309,9156681,9156.681,2.3,397586848
2024-09-06,1309,8983681,8983.681,2.25,397586848
2024-09-09,1309,9198681,9198.681,2.31,397586848
2024-09-10,1309,9675681,9675.681,2.43,397586848
2024-09-11,1309,10381681,10381.681,2.61,397586848
2024-09-12,1309,11354679,11354.679,2.85,397586848
2024-09-13,1309,13987679,13987.679,3.51,397586848
