date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-06-04,3535,4963311,4963.311,6.27,79052356
2024-06-05,3535,4917311,4917.311,6.22,79052356
2024-06-06,3535,4379311,4379.311,5.53,79052356
2024-06-07,3535,4554311,4554.311,5.76,79052356
2024-06-11,3535,3328311,3328.311,4.21,79052356
2024-06-12,3535,3687311,3687.311,4.66,79052356
2024-06-13,3535,2893311,2893.311,3.65,79052356
2024-06-14,3535,2494311,2494.311,3.15,79052356
2024-06-17,3535,4342311,4342.311,5.49,79052356
2024-06-18,3535,5833311,5833.311,7.37,79052356
2024-06-19,3535,5751311,5751.311,7.27,79052356
2024-06-20,3535,7057311,7057.311,8.92,79052356
2024-06-21,3535,7311311,7311.311,9.24,79052356
2024-06-24,3535,7176311,7176.311,9.07,79052356
2024-06-25,3535,10583311,10583.311,13.38,79052356
2024-06-26,3535,3703311,3703.311,4.68,79052356
2024-06-27,3535,3778311,3778.311,4.77,79052356
2024-06-28,3535,7010311,7010.311,8.86,79052356
2024-07-01,3535,7895311,7895.311,9.98,79052356
2024-07-02,3535,4903076,4903.076,6.2,79052356
2024-07-03,3535,3330076,3330.076,4.21,79052356
2024-07-04,3535,5054026,5054.026,6.39,79052356
2024-07-05,3535,5142026,5142.026,6.5,79052356
2024-07-08,3535,3571126,3571.126,4.51,79052356
2024-07-09,3535,6525126,6525.126,8.25,79052356
2024-07-10,3535,6744126,6744.126,8.53,79052356
2024-07-11,3535,5900126,5900.126,7.46,79052356
2024-07-12,3535,6558166,6558.166,8.29,79052356
2024-07-15,3535,3338166,3338.166,4.22,79052356
2024-07-16,3535,4369026,4369.026,5.52,79052356
2024-07-17,3535,4420086,4420.086,5.59,79052356
2024-07-18,3535,4506086,4506.086,5.7,79052356
2024-07-19,3535,4896106,4896.106,6.19,79052356
2024-07-22,3535,5045106,5045.106,6.38,79052356
2024-07-23,3535,5040106,5040.106,6.37,79052356
2024-07-26,3535,5043106,5043.106,6.37,79052356
2024-07-29,3535,4476106,4476.106,5.66,79052356
2024-07-30,3535,4568106,4568.106,5.77,79052356
2024-07-31,3535,4608306,4608.306,5.82,79052356
2024-08-01,3535,1941106,1941.106,2.45,79052356
2024-08-02,3535,1990161,1990.161,2.51,79052356
2024-08-05,3535,2656161,2656.161,3.36,79052356
2024-08-06,3535,3120161,3120.161,3.94,79052356
2024-08-07,3535,4088161,4088.161,5.17,79052356
2024-08-08,3535,2863161,2863.161,3.62,79052356
2024-08-09,3535,3794161,3794.161,4.79,79052356
2024-08-12,3535,2196446,2196.446,2.77,79052356
2024-08-13,3535,2890311,2890.311,3.65,79052356
2024-08-14,3535,3191311,3191.311,4.03,79052356
2024-08-15,3535,4025311,4025.311,5.09,79052356
2024-08-16,3535,3822311,3822.311,4.83,79052356
2024-08-19,3535,5659311,5659.311,7.15,79052356
2024-08-20,3535,6929361,6929.361,8.76,79052356
2024-08-21,3535,4573589,4573.589,5.78,79052356
2024-08-22,3535,3918589,3918.589,4.95,79052356
2024-08-23,3535,3152589,3152.589,3.98,79052356
2024-08-26,3535,1639589,1639.589,2.07,79052356
2024-08-27,3535,2219589,2219.589,2.8,79052356
2024-08-28,3535,1286639,1286.639,1.62,79052356
2024-08-29,3535,1738639,1738.639,2.19,79052356
2024-08-30,3535,1388619,1388.619,1.75,79052356
2024-09-02,3535,1566619,1566.619,1.98,79052356
2024-09-03,3535,1951589,1951.589,2.46,79052356
2024-09-04,3535,2797707,2797.707,3.53,79052356
2024-09-05,3535,2257707,2257.707,2.85,79052356
2024-09-06,3535,2242707,2242.707,2.83,79052356
2024-09-09,3535,2669707,2669.707,3.37,79052356
2024-09-10,3535,1341950,1341.95,1.69,79052356
2024-09-11,3535,3031950,3031.95,3.83,79052356
2024-09-12,3535,2265950,2265.95,2.86,79052356
2024-09-13,3535,1928950,1928.95,2.44,79052356
2024-09-16,3535,1775950,1775.95,2.24,79052356
2024-09-18,3535,1922050,1922.05,2.43,79052356
2024-09-19,3535,2369050,2369.05,2.99,79052356
2024-09-20,3535,1485050,1485.05,1.87,79052356
2024-09-23,3535,1530050,1530.05,1.93,79052356
2024-09-24,3535,1911050,1911.05,2.41,79052356
2024-09-25,3535,2491050,2491.05,3.15,79052356
2024-09-26,3535,2406050,2406.05,3.04,79052356
2024-09-27,3535,1754050,1754.05,2.21,79052356
2024-09-30,3535,1811050,1811.05,2.29,79052356
2024-10-01,3535,1732050,1732.05,2.19,79052356
2024-10-04,3535,2981050,2981.05,3.77,79052356
2024-10-07,3535,3353050,3353.05,4.24,79052356
2024-10-08,3535,2982075,2982.075,3.77,79052356
2024-10-09,3535,3353025,3353.025,4.24,79052356
2024-10-11,3535,4941025,4941.025,6.25,79052356
2024-10-14,3535,5531025,5531.025,6.99,79052356
2024-10-15,3535,5158025,5158.025,6.52,79052356
2024-10-16,3535,4899079,4899.079,6.19,79052356
2024-10-17,3535,5015269,5015.269,6.34,79052356
2024-10-18,3535,4671269,4671.269,5.9,79052356
2024-10-21,3535,4712269,4712.269,5.96,79052356
2024-10-22,3535,2327268,2327.268,2.94,79052356
2024-10-23,3535,2152268,2152.268,2.72,79052356
2024-10-24,3535,2346268,2346.268,2.96,79052356
2024-10-25,3535,2388388,2388.388,3.02,79052356
