date,stock_id,foreign_shares,foreign_shares_lot,foreign_ratio,issued_shares
2024-05-14,3048,7601442,7601.442,2.81,269829794
2024-05-15,3048,7727442,7727.442,2.86,269829794
2024-05-16,3048,7889442,7889.442,2.92,269829794
2024-05-17,3048,7865442,7865.442,2.91,269829794
2024-05-20,3048,7836442,7836.442,2.9,269829794
2024-05-21,3048,7743042,7743.042,2.86,269829794
2024-05-22,3048,7705042,7705.042,2.85,269829794
2024-05-23,3048,7495042,7495.042,2.77,269829794
2024-05-24,3048,7695032,7695.032,2.85,269829794
2024-05-27,3048,7647032,7647.032,2.83,269829794
2024-05-28,3048,8416032,8416.032,3.11,269829794
2024-05-29,3048,7658032,7658.032,2.83,269829794
2024-05-30,3048,7510032,7510.032,2.78,269829794
2024-05-31,3048,7058962,7058.962,2.61,269829794
2024-06-03,3048,6999962,6999.962,2.59,269829794
2024-06-04,3048,7075462,7075.462,2.62,269829794
2024-06-05,3048,6577462,6577.462,2.43,269829794
2024-06-06,3048,5396462,5396.462,1.99,269829794
2024-06-07,3048,5720606,5720.606,2.12,269829794
2024-06-11,3048,6417606,6417.606,2.37,269829794
2024-06-12,3048,5809606,5809.606,2.15,269829794
2024-06-13,3048,5389356,5389.356,1.99,269829794
2024-06-14,3048,5957356,5957.356,2.2,269829794
2024-06-17,3048,5783356,5783.356,2.14,269829794
2024-06-18,3048,5812356,5812.356,2.15,269829794
2024-06-19,3048,7172556,7172.556,2.65,269829794
2024-06-20,3048,7794556,7794.556,2.88,269829794
2024-06-21,3048,6100270,6100.27,2.26,269829794
2024-06-24,3048,6032270,6032.27,2.23,269829794
2024-06-25,3048,6270270,6270.27,2.32,269829794
2024-06-26,3048,5724270,5724.27,2.12,269829794
2024-06-27,3048,5611270,5611.27,2.07,269829794
2024-06-28,3048,6242270,6242.27,2.31,269829794
2024-07-01,3048,7281295,7281.295,2.69,269829794
2024-07-02,3048,6719295,6719.295,2.49,269829794
2024-07-03,3048,7779295,7779.295,2.88,269829794
2024-07-04,3048,7676223,7676.223,2.84,269829794
2024-07-05,3048,10450173,10450.173,3.87,269829794
2024-07-08,3048,8774146,8774.146,3.25,269829794
2024-07-09,3048,11228146,11228.146,4.16,269829794
2024-07-10,3048,9081346,9081.346,3.36,269829794
2024-07-11,3048,8676715,8676.715,3.21,269829794
2024-07-12,3048,7947715,7947.715,2.94,269829794
2024-07-15,3048,7565715,7565.715,2.8,269829794
2024-07-16,3048,6642865,6642.865,2.46,269829794
2024-07-17,3048,5429865,5429.865,2.01,269829794
2024-07-18,3048,4796865,4796.865,1.77,269829794
2024-07-19,3048,5297865,5297.865,1.96,269829794
2024-07-22,3048,6593865,6593.865,2.44,269829794
2024-07-23,3048,4606865,4606.865,1.7,269829794
2024-07-26,3048,5010865,5010.865,1.85,269829794
2024-07-29,3048,5406715,5406.715,2.0,269829794
2024-07-30,3048,6375715,6375.715,2.36,269829794
2024-07-31,3048,6523715,6523.715,2.41,269829794
2024-08-01,3048,6575715,6575.715,2.43,269829794
2024-08-02,3048,6299715,6299.715,2.33,269829794
