date,open,high,low,close,volume
2025-03-03,29.45,29.45,29.05,29.05,5004.0
2025-03-04,28.25,28.75,28.25,28.55,23083.0
2025-03-10,27.9,27.9,27.0,27.0,45434.0
2025-03-11,26.6,28.0,26.5,27.2,15882.0
2025-03-14,26.0,26.4,24.8,24.8,76982.0
2025-03-17,25.0,26.75,24.7,24.7,198714.0
2025-03-18,24.65,24.75,24.5,24.75,45175.0
2026-05-07,6.07,6.7,5.88,6.5,59267.0
2026-05-08,6.5,6.7,6.5,6.7,18015.0
2026-05-11,6.55,7.37,6.55,7.15,70941.0
2026-05-12,7.22,7.5,7.2,7.33,38227.0
2026-05-13,7.45,8.06,7.45,8.06,63890.0
2026-05-14,8.84,8.86,8.65,8.86,91237.0
2026-05-15,8.1,9.64,8.1,9.02,49104.0
2026-05-18,8.5,8.5,8.12,8.12,42796.0
2026-05-19,7.52,7.52,7.31,7.31,14456.0
2026-05-20,6.62,6.9,6.58,6.8,129260.0
2026-05-21,7.0,7.0,6.66,6.66,60100.0
2026-05-22,6.01,6.67,6.0,6.67,117736.0
2026-05-25,6.67,6.67,6.5,6.5,41000.0
2026-05-26,6.2,6.35,6.15,6.15,26025.0
2026-05-27,6.5,6.5,6.15,6.15,36285.0
2026-05-28,5.64,6.0,5.6,5.6,41217.0
2026-05-29,5.5,5.52,5.5,5.51,35010.0
2026-06-01,5.02,5.13,5.0,5.0,51270.0
2026-06-02,4.98,4.98,4.66,4.67,85001.0
2026-06-03,4.67,5.13,4.67,5.13,86352.0
2026-06-04,4.91,5.41,4.91,5.12,70000.0
2026-06-05,4.83,5.0,4.83,4.9,21241.0
2026-06-08,4.41,4.56,4.41,4.56,36080.0
2026-06-09,4.36,4.9,4.36,4.52,33583.0
2026-06-10,4.86,4.97,4.86,4.97,138615.0
2026-06-11,4.94,4.94,4.53,4.9,114236.0
2026-06-12,4.56,4.78,4.56,4.72,46270.0
2026-06-15,4.6,4.8,4.6,4.7,60300.0
2026-06-16,4.99,4.99,4.6,4.87,27464.0
2026-06-17,4.65,4.73,4.65,4.71,31134.0
2026-06-18,4.4,4.6,4.4,4.6,23000.0
2026-06-22,4.99,5.06,4.98,5.06,10038312.0
2026-06-23,5.07,5.51,5.07,5.51,64612.0
2026-06-24,5.8,6.06,5.8,6.06,55734.0
