date,open,high,low,close,volume
2025-03-03,85.8,88.0,85.8,88.0,5950.0
2025-03-04,85.4,87.9,85.4,87.9,3889.0
2025-03-10,0.0,0.0,0.0,0.0,316.0
2025-03-11,0.0,0.0,0.0,0.0,66.0
2025-03-14,87.2,87.5,87.2,87.2,8090.0
2025-03-17,88.1,88.3,87.3,88.1,12347.0
2025-03-18,88.2,88.4,87.6,87.6,15590.0
2026-05-07,0.0,0.0,0.0,0.0,0.0
2026-05-08,81.9,81.9,81.2,81.2,5023.0
2026-05-11,81.5,81.5,81.1,81.1,5651.0
2026-05-12,81.2,81.2,80.2,80.2,5240.0
2026-05-13,0.0,0.0,0.0,0.0,13.0
2026-05-14,81.0,81.0,81.0,81.0,1504.0
2026-05-15,82.0,82.0,82.0,82.0,1049.0
2026-05-18,0.0,0.0,0.0,0.0,378.0
2026-05-19,0.0,0.0,0.0,0.0,33.0
2026-05-20,0.0,0.0,0.0,0.0,0.0
2026-05-21,82.2,82.6,82.2,82.2,8172.0
2026-05-22,82.2,82.2,82.1,82.2,4850.0
2026-05-25,0.0,0.0,0.0,0.0,1089.0
2026-05-26,82.1,82.2,82.1,82.2,4208.0
2026-05-27,82.2,82.8,82.2,82.2,26302.0
2026-05-28,82.5,82.5,82.2,82.4,3020.0
2026-05-29,82.8,83.0,82.8,83.0,6101.0
2026-06-01,81.0,82.7,81.0,81.3,6324.0
2026-06-02,81.3,81.4,81.3,81.4,4296.0
2026-06-03,81.4,81.4,81.4,81.4,3594.0
2026-06-04,81.4,81.4,81.4,81.4,4007.0
2026-06-05,81.4,81.4,81.4,81.4,5023.0
2026-06-08,81.4,81.4,81.4,81.4,1011.0
2026-06-09,83.0,83.0,83.0,83.0,1170.0
2026-06-10,82.7,82.7,82.4,82.5,4621.0
2026-06-11,82.0,82.5,82.0,82.5,6190.0
2026-06-12,82.4,82.5,82.0,82.0,3100.0
2026-06-15,82.1,82.2,82.1,82.2,2098.0
2026-06-16,82.3,82.3,82.3,82.3,2092.0
2026-06-17,82.3,82.3,82.3,82.3,1000.0
2026-06-18,82.4,82.4,82.3,82.3,2026.0
