date,open,high,low,close,volume
2024-05-22,234.0,240.0,233.0,237.5,1911688.0
2024-05-23,238.5,240.0,230.0,230.5,1865829.0
2024-05-24,225.5,236.0,225.5,232.5,1417088.0
2024-05-27,235.0,236.5,228.0,229.0,1659963.0
2024-05-28,234.5,248.0,234.5,240.0,5808439.0
2024-05-29,246.0,264.0,246.0,264.0,11996270.0
2024-05-30,267.0,273.0,250.0,255.0,22462564.0
2024-05-31,259.5,259.5,250.0,258.0,6786345.0
2024-06-03,256.0,263.0,253.0,263.0,3054656.0
2024-06-04,266.0,279.0,260.0,260.5,10587908.0
2024-06-05,260.5,263.0,253.0,253.0,2858127.0
2024-06-06,259.0,260.5,250.5,252.5,3029219.0
2024-06-07,253.0,257.0,252.0,253.0,1212552.0
2024-06-11,253.0,254.0,241.0,249.5,2837426.0
2024-06-12,247.5,261.5,247.0,256.5,4002510.0
2024-06-13,261.0,262.0,251.5,255.0,3230395.0
2024-06-14,256.0,258.5,253.0,254.5,1749969.0
2024-06-17,253.0,268.0,253.0,259.5,3700148.0
2024-06-18,263.0,271.0,255.5,256.0,5965026.0
2024-06-19,259.5,262.0,250.5,256.0,2648696.0
2024-06-20,254.0,271.5,254.0,266.0,5807378.0
2024-06-21,265.0,266.0,256.5,256.5,3093342.0
2024-06-24,255.0,260.5,255.0,258.0,1589709.0
2024-06-25,261.5,264.5,245.0,264.0,5543565.0
2024-06-26,269.0,272.0,254.0,256.5,6140627.0
2024-06-27,255.0,258.5,246.5,246.5,3229306.0
2024-06-28,246.5,250.5,245.5,249.5,1807299.0
2024-07-01,247.5,249.5,245.0,245.0,1409896.0
2024-07-02,243.0,252.5,243.0,250.5,1913463.0
2024-07-03,251.5,255.0,250.0,250.0,1805360.0
2024-07-04,252.0,263.0,251.0,259.5,4474678.0
2024-07-05,262.0,263.0,253.5,254.0,2128773.0
2024-07-08,253.5,255.0,246.0,246.0,1540163.0
2024-07-09,247.5,250.0,236.0,250.0,2384169.0
2024-07-10,248.0,271.0,246.0,266.0,8947375.0
2024-07-11,265.0,275.0,260.5,271.0,8459518.0
2024-07-12,269.0,282.5,260.0,273.0,18648533.0
2024-07-15,282.5,300.0,278.0,297.0,20603761.0
2024-07-16,295.0,301.0,282.0,282.5,15980765.0
2024-07-17,284.0,310.0,284.0,302.0,14071914.0
2024-07-18,291.0,298.0,274.5,283.0,12030043.0
2024-07-19,286.5,293.0,275.0,277.0,9687811.0
2024-07-22,276.0,284.5,266.5,272.0,7795172.0
2024-07-23,279.0,293.0,277.5,283.0,11783222.0
2024-07-26,273.0,295.0,272.5,289.5,11384773.0
2024-07-29,293.5,296.0,261.0,261.0,11317040.0
2024-07-30,242.0,256.0,235.0,246.0,9273666.0
2024-07-31,245.5,248.5,238.5,240.5,4639021.0
2024-08-01,250.0,262.5,246.5,259.0,7833342.0
2024-08-02,247.0,252.5,233.5,234.0,6299642.0
2024-08-05,213.0,215.5,211.0,211.0,1698158.0
2024-08-06,214.0,221.0,190.0,190.0,10412774.0
2024-08-07,192.0,209.0,189.0,207.5,7743601.0
2024-08-08,200.0,209.0,199.0,205.0,4990399.0
2024-08-09,212.0,215.0,206.0,207.5,5653405.0
2024-08-12,210.0,217.0,209.5,213.5,3151980.0
2024-08-13,214.5,223.0,208.0,223.0,4225692.0
2024-08-14,229.0,244.5,227.5,237.5,7101091.0
2024-08-15,237.0,242.0,230.0,239.0,4667882.0
2024-08-16,245.5,261.5,241.5,257.0,8133274.0
2024-08-19,262.0,265.0,253.5,260.0,6488420.0
2024-08-20,264.0,269.0,255.5,268.0,8149163.0
2024-08-21,254.0,259.0,241.5,241.5,10788653.0
2024-08-22,245.0,251.0,243.5,247.0,5459779.0
2024-08-23,244.5,251.0,241.5,250.5,3656281.0
2024-08-26,254.0,255.0,244.0,244.5,2673920.0
2024-08-27,243.0,248.0,242.5,247.0,1592936.0
2024-08-28,247.0,248.5,238.5,238.5,2384288.0
2024-08-29,237.0,247.5,234.0,245.5,2480413.0
2024-08-30,246.5,252.0,242.5,243.0,2947149.0
2024-09-02,245.0,247.0,238.5,238.5,1254330.0
2024-09-03,240.0,241.5,233.5,233.5,1414411.0
2024-09-04,215.5,219.5,210.5,218.0,2670209.0
2024-09-05,221.5,222.0,209.0,209.0,2400692.0
2024-09-06,211.0,218.0,209.0,213.5,1386550.0
2024-09-09,207.0,215.0,205.5,214.5,1186218.0
2024-09-10,215.5,216.5,199.5,204.0,3626377.0
2024-09-11,209.0,212.0,205.5,206.0,2261889.0
2024-09-12,210.5,214.5,209.5,213.0,1722263.0
2024-09-13,215.0,218.5,207.0,218.0,2759617.0
2024-09-16,218.0,218.0,209.0,211.0,1650965.0
2024-09-18,211.0,213.0,208.5,210.0,859973.0
2024-09-19,211.0,213.5,209.0,212.5,911482.0
2024-09-20,216.5,218.5,208.0,209.0,1805210.0
2024-09-23,209.5,211.5,207.0,208.5,927743.0
2024-09-24,209.5,211.5,202.0,204.5,1323224.0
2024-09-25,206.5,218.0,206.5,209.0,3728296.0
2024-09-26,211.0,213.0,208.0,209.0,1212906.0
2024-09-27,212.5,224.0,210.5,219.0,4807807.0
2024-09-30,216.5,216.5,210.0,210.0,1756852.0
2024-10-01,211.0,214.5,205.5,208.0,1492135.0
2024-10-04,210.0,210.0,200.0,202.0,1396852.0
2024-10-07,204.0,206.0,202.0,203.5,806295.0
2024-10-08,203.0,208.5,197.5,206.5,1595525.0
2024-10-09,206.5,208.5,199.5,200.0,1216294.0
2024-10-11,202.0,214.0,200.0,208.5,3337985.0
2024-10-14,210.0,216.5,208.0,215.0,2699321.0
2024-10-15,217.5,230.0,215.5,221.5,6296851.0
2024-10-16,218.0,221.0,212.0,212.0,2862882.0
2024-10-17,212.5,218.0,212.0,213.0,1098533.0
2024-10-18,214.5,214.5,203.5,203.5,2405352.0
2024-10-21,205.0,212.0,205.0,210.0,1826282.0
2024-10-22,210.0,212.0,207.0,208.5,1215010.0
2024-10-23,209.5,211.5,207.5,208.0,702737.0
2024-10-24,208.0,208.0,201.0,201.5,1343768.0
2024-10-25,201.0,203.5,199.0,200.0,1118063.0
2024-10-28,201.0,201.5,192.0,197.0,1696802.0
2024-10-29,196.0,197.0,190.5,193.0,980768.0
2024-10-30,195.0,196.0,190.5,191.5,790403.0
2024-11-01,186.0,193.0,184.0,191.5,905595.0
2024-11-04,192.0,193.5,189.0,189.0,622304.0
2024-11-05,189.0,198.0,189.0,193.5,1466884.0
2024-11-06,194.0,196.0,189.5,189.5,1057807.0
2024-11-07,191.0,195.5,190.5,190.5,901902.0
2024-11-08,192.0,193.0,188.0,190.0,906299.0
2024-11-11,194.0,194.0,187.0,187.0,1075583.0
2024-11-12,187.0,187.0,181.0,185.5,1128867.0
2024-11-13,186.0,193.0,184.0,185.0,1344540.0
2024-11-14,183.5,189.0,180.5,180.5,1239155.0
2024-11-15,181.0,185.0,178.5,181.0,1473959.0
2024-11-18,181.0,181.0,173.5,177.5,1535431.0
2024-11-19,177.5,181.5,176.5,181.0,1189457.0
2024-11-20,182.0,182.0,177.0,177.5,540840.0
2024-11-21,177.5,181.5,175.5,176.0,713460.0
2024-11-22,178.5,181.0,178.0,179.5,632614.0
2024-11-25,180.5,185.5,180.0,181.0,1015076.0
2024-11-26,181.0,181.0,177.5,180.5,482301.0
2024-11-27,181.0,182.5,175.0,175.0,734649.0
2024-11-28,175.0,175.0,169.0,172.0,932800.0
2024-11-29,170.5,179.0,170.5,179.0,745798.0
2024-12-02,181.0,185.5,179.0,182.0,1002937.0
2024-12-03,182.0,185.0,178.0,178.0,627611.0
2024-12-04,178.5,183.0,178.5,183.0,793257.0
2024-12-05,184.0,185.0,181.0,181.5,499668.0
2024-12-06,183.0,187.5,182.0,183.0,1664079.0
2024-12-09,187.5,200.5,187.0,195.0,11316297.0
2024-12-10,193.5,199.5,188.0,196.5,7326810.0
2024-12-11,204.0,212.5,196.5,196.5,14973736.0
2024-12-12,197.0,198.5,189.5,192.0,4639936.0
2024-12-13,192.5,194.0,185.5,186.0,2404083.0
2024-12-16,187.5,195.0,185.0,185.5,5901182.0
2024-12-17,186.5,188.0,184.0,184.0,2094427.0
2024-12-18,182.5,187.0,180.5,186.5,1134721.0
2024-12-19,183.0,184.0,179.5,179.5,1009895.0
2024-12-20,180.0,182.5,175.5,175.5,1224342.0
2024-12-23,178.0,192.0,178.0,189.0,3902702.0
2024-12-24,189.0,191.5,185.0,186.5,2010841.0
2024-12-25,189.5,189.5,185.5,186.5,708154.0
2024-12-26,188.0,190.0,185.0,185.0,748101.0
2024-12-27,185.0,189.5,180.0,180.0,2082883.0
2024-12-30,180.0,181.0,174.5,175.5,1382610.0
2024-12-31,176.0,177.5,174.0,176.5,884986.0
2025-01-02,177.0,177.0,170.0,170.0,1164665.0
2025-01-03,171.5,173.0,169.5,171.0,833061.0
2025-01-06,173.0,174.5,171.0,172.0,533143.0
2025-01-07,173.0,173.5,169.0,169.0,676402.0
2025-01-08,169.0,169.5,160.0,162.0,2328125.0
2025-01-09,162.0,163.5,155.0,155.0,1777686.0
2025-01-10,155.5,157.0,153.0,153.5,982289.0
2025-01-13,153.0,154.0,146.0,146.0,1468470.0
2025-01-14,149.5,152.5,146.5,152.5,935765.0
2025-01-15,152.5,153.0,148.0,148.0,947310.0
2025-01-16,155.0,156.5,154.0,155.5,1128822.0
2025-01-17,156.5,156.5,150.0,151.5,708869.0
2025-01-20,153.0,153.5,150.5,153.5,358112.0
2025-01-21,154.0,154.5,151.5,154.5,531492.0
2025-01-22,155.0,155.5,153.0,154.5,441401.0
2025-02-03,148.5,149.0,143.0,146.5,784631.0
2025-02-04,153.0,161.0,153.0,160.5,3839951.0
2025-02-05,163.5,166.5,159.0,162.5,4328431.0
2025-02-06,162.5,162.5,158.5,159.5,1094666.0
2025-02-07,159.5,161.5,157.0,159.5,851751.0
2025-02-10,159.5,160.0,154.5,154.5,743575.0
2025-02-11,154.0,154.5,149.5,150.0,1181590.0
2025-02-12,150.5,155.0,148.0,148.0,1534916.0
2025-02-13,148.0,152.0,147.0,151.5,871300.0
2025-02-14,150.0,152.5,149.5,151.0,658379.0
2025-02-17,151.0,155.0,151.0,154.0,650642.0
2025-02-18,153.0,160.0,153.0,156.0,1675401.0
2025-02-19,155.0,157.5,154.0,157.5,755968.0
2025-02-20,160.0,165.0,157.0,157.0,2696015.0
2025-02-21,154.0,155.5,153.0,153.0,887703.0
2025-02-24,152.5,154.0,150.5,151.5,651588.0
2025-02-25,151.0,151.0,146.0,146.0,1070395.0
2025-02-26,147.5,147.5,143.5,145.0,1016505.0
2025-02-27,147.0,147.0,141.0,141.0,2158551.0
2025-03-03,138.0,138.0,128.5,131.0,2284410.0
2025-03-04,128.5,135.5,127.0,135.0,1215621.0
2025-03-05,135.0,138.0,133.5,138.0,772219.0
2025-03-06,138.0,140.0,136.5,138.0,481690.0
2025-03-07,136.5,139.5,135.0,136.5,665827.0
2025-03-10,138.5,140.0,135.5,140.0,868084.0
2025-03-11,135.0,135.5,132.0,134.0,698589.0
2025-03-12,136.0,139.5,135.5,139.0,1115060.0
2025-03-13,136.0,137.5,125.5,126.0,4120778.0
2025-03-14,128.0,131.0,127.0,127.5,1349263.0
2025-03-17,129.0,130.0,125.5,125.5,631963.0
2025-03-18,126.5,131.5,126.5,129.0,1212069.0
2025-03-19,128.0,128.5,125.5,126.5,865407.0
2025-03-20,127.5,128.5,126.0,126.0,565225.0
2025-03-21,127.0,127.5,122.0,123.5,903930.0
2025-03-24,123.5,124.5,119.0,119.5,1087351.0
2025-03-25,121.5,122.0,119.5,120.0,816236.0
2025-03-26,120.5,121.5,117.0,117.5,1039415.0
2025-03-27,114.5,119.5,113.0,119.5,1445921.0
2025-03-28,118.0,118.0,112.0,112.0,1484645.0
2025-03-31,106.0,111.5,105.0,106.0,2022924.0
2025-04-01,108.0,111.5,107.0,111.5,1047272.0
2025-04-02,110.5,112.5,108.5,112.0,751336.0
2025-04-07,101.0,101.0,101.0,101.0,175829.0
2025-04-08,90.9,90.9,90.9,90.9,619718.0
2025-04-09,83.6,84.8,81.9,81.9,1096944.0
2025-04-10,88.9,90.0,87.5,90.0,2082739.0
2025-04-11,83.8,92.1,81.2,91.8,1736564.0
2025-04-14,94.9,97.5,93.0,95.6,1492602.0
2025-04-15,96.5,101.5,95.8,100.0,1173559.0
2025-04-16,102.0,103.0,96.8,97.2,1185951.0
2025-04-17,97.4,99.4,95.7,98.7,970372.0
2025-04-18,98.7,98.8,95.6,95.6,598981.0
2025-04-21,96.5,98.2,93.1,93.5,500359.0
2025-04-22,93.2,94.8,90.4,90.5,438786.0
2025-04-23,94.2,96.8,93.4,95.7,495329.0
2025-04-24,97.4,97.4,94.2,94.2,299692.0
2025-04-25,96.9,97.0,93.8,93.8,567602.0
2025-04-28,95.0,99.4,94.3,98.7,1033110.0
2025-04-29,99.0,102.0,97.9,101.0,877572.0
2025-04-30,101.0,102.0,97.3,97.3,725986.0
2025-05-02,97.6,100.5,97.6,98.4,495469.0
2025-05-05,97.8,97.8,90.7,92.4,1349173.0
2025-05-06,92.0,93.6,91.6,92.0,549954.0
2025-05-07,93.0,93.2,91.5,92.2,299991.0
2025-05-08,94.1,101.0,94.1,101.0,3882401.0
2025-05-09,103.5,105.5,96.5,96.6,7202294.0
2025-05-12,97.9,99.4,95.4,98.8,1798759.0
2025-05-13,99.9,101.0,97.8,97.9,1383928.0
2025-05-14,98.4,100.5,97.6,97.8,1562167.0
2025-05-15,99.0,100.0,98.2,99.3,1176313.0
2025-05-16,100.0,109.0,99.4,109.0,4749309.0
2025-05-19,107.0,109.5,102.0,102.0,4181500.0
2025-05-20,102.5,105.0,100.5,103.0,2108659.0
2025-05-21,103.0,109.0,103.0,105.0,3523922.0
2025-05-22,104.0,105.0,101.0,101.5,1755148.0
2025-05-23,103.0,103.0,100.5,100.5,880630.0
2025-05-26,100.0,102.5,99.0,99.0,972004.0
2025-05-27,99.3,100.0,94.3,94.9,1962252.0
2025-05-28,97.0,97.0,93.7,93.9,823717.0
2025-05-29,95.1,95.8,93.6,94.6,541757.0
2025-06-02,93.9,94.3,92.6,93.1,475568.0
2025-06-03,93.5,95.1,91.6,92.0,870242.0
2025-06-04,92.7,94.4,92.6,94.3,530440.0
2025-06-05,94.6,102.0,94.6,96.6,3630840.0
2025-06-06,97.0,106.0,97.0,103.0,13039720.0
2025-06-09,103.5,106.0,100.0,106.0,5669973.0
2025-06-10,108.0,113.5,104.0,111.5,5855949.0
2025-06-11,111.5,122.5,109.0,121.5,7875216.0
2025-06-12,120.5,131.0,119.5,125.0,19112384.0
2025-06-13,122.0,126.0,119.0,121.5,9106694.0
2025-06-16,121.0,126.5,118.0,126.0,5467231.0
2025-06-17,129.5,133.5,124.5,127.0,10459498.0
2025-06-18,128.0,132.0,126.0,129.0,8118649.0
2025-06-19,128.0,130.5,121.0,121.0,5562334.0
2025-06-20,121.0,121.5,114.0,116.0,5669997.0
2025-06-23,113.0,118.0,112.5,118.0,2679214.0
2025-06-24,120.0,127.0,118.0,125.5,11261054.0
2025-06-25,126.5,137.5,125.0,129.0,17602498.0
2025-06-26,130.0,130.0,119.0,120.0,9623154.0
2025-06-27,122.0,122.5,118.0,120.0,5145320.0
2025-06-30,121.5,122.0,116.5,118.5,2872355.0
2025-07-01,119.0,122.0,117.5,118.0,2519083.0
2025-07-02,117.5,126.0,116.5,124.5,5966214.0
2025-07-03,126.0,130.5,122.5,124.5,8249338.0
2025-07-04,123.5,124.0,119.0,119.0,1929614.0
2025-07-07,125.0,130.0,121.5,125.5,13668085.0
2025-07-08,124.0,127.0,122.5,125.5,6182040.0
