date,open,high,low,close,volume
2025-03-03,57.5,58.0,56.9,58.0,10002.0
2025-03-04,58.0,58.3,57.6,58.3,16033.0
2025-03-10,58.4,58.9,58.4,58.9,19270.0
2025-03-11,58.7,58.7,58.3,58.7,9050.0
2025-03-14,57.6,61.0,56.4,59.1,131307.0
2025-03-17,59.1,61.2,58.8,60.0,169200.0
2025-03-18,60.0,60.0,59.5,59.9,9129.0
2026-05-07,44.35,44.5,44.3,44.3,20282.0
2026-05-08,44.3,44.3,43.8,43.8,73754.0
2026-05-11,43.8,44.0,43.75,43.9,19291.0
2026-05-12,43.55,43.9,43.5,43.6,29349.0
2026-05-13,43.05,43.85,43.0,43.0,44463.0
2026-05-14,42.85,42.85,42.0,42.0,109413.0
2026-05-15,41.8,42.2,41.7,41.8,40540.0
2026-05-18,41.5,41.8,41.5,41.8,26420.0
2026-05-19,41.8,42.3,41.8,42.3,5116.0
2026-05-20,42.25,42.35,42.1,42.1,17062.0
2026-05-21,42.15,42.15,41.85,41.95,25600.0
2026-05-22,42.0,42.2,41.3,41.7,83150.0
2026-05-25,41.7,41.7,41.3,41.65,31143.0
2026-05-26,41.4,41.65,41.3,41.45,64235.0
2026-05-27,41.45,42.15,41.45,42.0,12111.0
2026-05-28,42.0,42.0,41.7,41.7,4140.0
2026-05-29,42.75,42.75,41.8,42.0,13314.0
2026-06-01,42.0,42.3,41.85,42.2,29220.0
2026-06-02,41.8,42.0,41.6,42.0,10272.0
2026-06-03,42.0,42.0,41.8,41.8,26105.0
2026-06-04,41.85,41.85,41.4,41.45,59211.0
2026-06-05,41.5,42.6,41.5,42.55,58389.0
2026-06-08,42.0,42.0,41.0,41.8,66127.0
2026-06-09,41.4,42.25,41.4,41.9,10190.0
2026-06-10,41.85,41.85,41.75,41.75,12270.0
2026-06-11,41.6,41.9,41.5,41.85,38205.0
2026-06-12,41.9,42.75,41.9,42.0,28347.0
2026-06-15,42.0,42.0,41.6,42.0,36000.0
2026-06-16,42.0,42.0,41.6,41.95,39600.0
2026-06-17,41.6,41.95,41.6,41.75,10000.0
