date,open,high,low,close,volume,raw_open,raw_high,raw_low,raw_close,raw_volume,adjustment_factor
2024-01-02,47.53612826791502,48.2702769670334,47.16905391835583,47.444359680525224,1043804.0,51.8,52.6,51.4,51.7,1043804.0,0.9176858738979734
2024-01-03,47.35259109313543,47.35259109313543,46.343136631847656,46.52667380662725,1030519.0,51.6,51.6,50.5,50.7,1030519.0,0.9176858738979734
2024-01-04,46.52667380662725,47.35259109313543,45.79252510750887,46.89374815618644,1503197.0,50.7,51.6,49.9,51.1,1503197.0,0.9176858738979734
2024-01-05,46.89374815618644,49.18796284093138,46.89374815618644,48.54558272920279,3569656.0,51.1,53.6,51.1,52.9,3569656.0,0.9176858738979734
2024-01-08,49.096194253541576,50.83979741394773,48.63735131659259,50.19741730221915,4902052.0,53.5,55.4,53.0,54.7,4902052.0,0.9176858738979734
2024-01-09,50.19741730221915,50.19741730221915,47.62789685530482,48.63735131659259,3468709.0,54.7,54.7,51.9,53.0,3468709.0,0.9176858738979734
2024-01-10,46.89374815618644,47.53612826791502,43.77361618493333,43.77361618493333,7504933.0,51.1,51.8,47.7,47.7,7504933.0,0.9176858738979734
2024-01-11,44.14069053449252,45.746640813813976,44.09480624079762,44.41599629666191,6013797.0,48.1,49.85,48.05,48.4,6013797.0,0.9176858738979734
2024-01-12,44.41599629666191,44.41599629666191,43.17712036689964,43.268888954289444,1932479.0,48.4,48.4,47.05,47.15,1932479.0,0.9176858738979734
2024-01-15,43.727731891238435,43.77361618493333,42.901814604730255,43.17712036689964,1327382.0,47.65,47.7,46.75,47.05,1327382.0,0.9176858738979734
2024-01-16,43.635963303848634,43.635963303848634,42.12178161191698,42.764161723645564,1594003.0,47.55,47.55,45.9,46.6,1594003.0,0.9176858738979734
2024-01-17,42.85593031103536,42.901814604730255,41.66293867496799,41.84647584974759,1388275.0,46.7,46.75,45.4,45.6,1388275.0,0.9176858738979734
2024-01-18,42.07589731822208,42.48885596147617,41.571170087578196,42.12178161191698,1366868.0,45.85,46.3,45.3,45.9,1366868.0,0.9176858738979734
2024-01-19,42.44297166778127,42.44297166778127,41.66293867496799,41.66293867496799,868714.0,46.25,46.25,45.4,45.4,868714.0,0.9176858738979734
2024-01-22,41.84647584974759,42.21355019930677,41.66293867496799,41.98412873083228,911566.0,45.6,46.0,45.4,45.75,911566.0,0.9176858738979734
2024-01-23,42.07589731822208,42.672393136255764,42.03001302452718,42.03001302452718,940196.0,45.85,46.5,45.8,45.8,940196.0,0.9176858738979734
2024-01-24,42.03001302452718,42.764161723645564,41.84647584974759,42.03001302452718,1123670.0,45.8,46.6,45.6,45.8,1123670.0,0.9176858738979734
2024-01-25,42.534740255171066,42.534740255171066,41.112327150629206,41.112327150629206,1166597.0,46.35,46.35,44.8,44.8,1166597.0,0.9176858738979734
2024-01-26,41.112327150629206,41.5252857938833,40.882905682154714,41.20409573801901,790822.0,44.8,45.25,44.55,44.9,790822.0,0.9176858738979734
2024-01-29,41.20409573801901,41.5252857938833,41.06644285693431,41.3876329127986,464270.0,44.9,45.25,44.75,45.1,464270.0,0.9176858738979734
2024-01-30,41.4335172064935,41.4335172064935,40.56171562629043,40.79113709476492,753456.0,45.15,45.15,44.2,44.45,753456.0,0.9176858738979734
2024-01-31,40.745252801070016,41.3417486191037,40.607599919985326,40.92878997584962,623876.0,44.4,45.05,44.25,44.6,623876.0,0.9176858738979734
2024-02-01,40.745252801070016,41.20409573801901,40.33229415781593,40.33229415781593,889620.0,44.4,44.9,43.95,43.95,889620.0,0.9176858738979734
2024-02-02,40.37817845151083,40.65348421368022,39.644029752392456,39.68991404608735,1306737.0,44.0,44.3,43.2,43.25,1306737.0,0.9176858738979734
2024-02-05,39.460492577612854,40.10287268934144,39.32283969652816,39.919335514561844,1158957.0,43.0,43.7,42.85,43.5,1158957.0,0.9176858738979734
2024-02-15,40.240525570426136,41.15821144432411,39.96521980825674,40.37817845151083,1389701.0,43.85,44.85,43.55,44.0,1389701.0,0.9176858738979734
2024-02-16,40.83702138845982,42.85593031103536,40.83702138845982,42.167665905611884,2123241.0,44.5,46.7,44.5,45.95,2123241.0,0.9176858738979734
2024-02-19,42.03001302452718,42.48885596147617,41.4335172064935,42.03001302452718,1059036.0,45.8,46.3,45.15,45.8,1059036.0,0.9176858738979734
