date,open,high,low,close,volume
2024-06-25,251.0,301.0,251.0,300.0,3910567.0
2024-06-26,305.0,306.0,280.5,282.5,2060696.0
2024-06-27,272.5,275.0,240.5,240.5,1907520.0
2024-06-28,249.0,267.0,241.5,266.0,1180901.0
2024-07-01,259.0,263.0,251.0,251.0,694233.0
2024-07-02,248.0,273.5,247.0,260.0,745855.0
2024-07-03,254.5,258.5,250.0,254.5,435526.0
2024-07-04,252.5,261.5,243.0,250.5,457036.0
2024-07-05,250.5,250.5,225.5,238.5,1087443.0
2024-07-08,239.0,243.5,228.5,240.0,875966.0
2024-07-09,236.0,238.0,225.5,227.0,619484.0
2024-07-10,227.0,227.0,213.5,216.0,600712.0
2024-07-11,219.5,225.5,218.0,219.0,468178.0
2024-07-12,216.0,219.5,215.0,215.5,251154.0
2024-07-15,215.5,219.0,215.0,215.0,182936.0
2024-07-16,216.5,225.0,213.5,225.0,315130.0
2024-07-17,229.0,247.5,227.0,247.5,1168399.0
2024-07-18,236.0,262.5,230.5,258.0,1262347.0
2024-07-19,256.5,256.5,238.0,238.5,457642.0
2024-07-22,237.0,238.0,215.0,219.0,603111.0
2024-07-23,217.5,223.5,217.0,219.5,258588.0
2024-07-26,210.0,217.0,210.0,215.5,246069.0
2024-07-29,218.0,219.0,212.5,215.0,121672.0
2024-07-30,215.0,220.0,207.5,219.0,290088.0
2024-07-31,219.0,240.5,216.5,238.5,789650.0
2024-08-01,241.0,244.0,232.0,236.0,473262.0
2024-08-02,235.0,242.0,227.0,234.0,273859.0
2024-08-05,227.5,232.0,213.5,223.0,675552.0
2024-08-06,228.0,228.0,215.0,227.0,292235.0
2024-08-07,228.0,241.5,225.0,238.5,252897.0
2024-08-08,238.5,253.0,236.5,246.0,520740.0
2024-08-09,246.5,262.0,244.0,259.0,756695.0
2024-08-12,274.0,280.0,262.5,278.0,1149885.0
2024-08-13,277.0,280.5,262.5,273.0,793534.0
2024-08-14,275.0,276.5,270.5,274.5,465461.0
2024-08-15,274.5,275.0,266.5,272.5,305335.0
2024-08-16,274.0,274.0,262.0,269.5,468806.0
2024-08-19,265.0,274.5,265.0,273.5,251947.0
2024-08-20,274.5,288.0,273.0,283.0,643729.0
2024-08-21,281.0,284.0,275.0,283.0,241394.0
2024-08-22,281.5,282.5,276.5,278.5,143888.0
2024-08-23,278.5,278.5,256.0,265.0,697967.0
2024-08-26,261.0,261.0,250.0,253.0,688630.0
2024-08-27,252.0,255.5,248.0,252.5,287460.0
2024-08-28,251.0,273.0,251.0,267.0,917186.0
2024-08-29,264.0,267.5,257.5,259.0,389571.0
2024-08-30,258.0,259.0,252.0,258.0,256470.0
2024-09-02,258.0,283.5,258.0,283.5,1082794.0
2024-09-03,282.0,296.0,277.0,295.0,1044709.0
2024-09-04,278.5,288.5,277.5,286.0,483025.0
2024-09-05,284.5,284.5,272.5,277.0,446676.0
2024-09-06,277.0,280.0,272.0,272.0,163173.0
2024-09-09,264.0,268.0,259.5,265.0,288293.0
2024-09-10,265.5,270.5,246.0,250.0,685960.0
2024-09-11,242.0,249.0,236.0,243.5,438340.0
2024-09-12,246.5,246.5,239.5,242.5,271910.0
2024-09-13,241.0,246.0,240.0,242.0,235401.0
2024-09-16,242.0,250.5,241.5,242.5,214258.0
2024-09-18,242.0,248.5,240.0,243.0,231826.0
2024-09-19,244.0,251.5,243.0,250.0,191713.0
2024-09-20,250.0,250.0,234.0,238.5,606914.0
2024-09-23,240.0,243.5,236.0,240.5,187073.0
2024-09-24,240.0,241.0,238.0,239.0,59787.0
2024-09-25,240.0,246.0,238.0,239.0,166054.0
2024-09-26,239.0,239.5,231.0,231.0,234824.0
2024-09-27,231.5,235.0,229.0,231.0,203775.0
2024-09-30,229.0,236.0,228.0,234.5,218457.0
2024-10-01,233.5,235.5,231.0,233.0,91102.0
2024-10-04,230.5,233.5,229.0,229.0,99747.0
2024-10-07,229.0,233.5,229.0,231.0,96877.0
2024-10-08,231.0,234.5,228.5,232.5,110366.0
2024-10-09,237.0,247.0,237.0,242.0,489500.0
2024-10-11,242.0,247.0,238.0,245.5,195464.0
2024-10-14,245.0,263.5,245.0,253.5,796562.0
2024-10-15,258.5,258.5,248.5,249.0,249222.0
2024-10-16,245.0,248.5,242.0,246.0,171050.0
2024-10-17,247.5,251.5,244.0,247.5,152825.0
2024-10-18,247.5,248.5,242.5,244.0,102282.0
2024-10-21,245.0,246.0,241.5,244.5,113184.0
2024-10-22,242.5,243.0,238.5,242.0,72261.0
2024-10-23,240.0,244.5,240.0,244.5,33807.0
2024-10-24,243.0,248.0,236.5,236.5,174347.0
2024-10-25,235.5,241.0,235.5,238.5,28163.0
2024-10-28,237.0,239.5,234.5,234.5,117120.0
2024-10-29,234.0,234.0,223.0,224.5,268833.0
2024-10-30,225.0,226.0,218.0,223.5,162325.0
2024-11-01,221.0,238.5,221.0,238.5,205693.0
2024-11-04,239.0,239.5,232.0,233.0,56297.0
2024-11-05,235.0,242.5,231.5,231.5,169848.0
2024-11-06,231.0,233.0,231.0,232.0,48813.0
2024-11-07,232.0,235.5,232.0,232.5,66351.0
2024-11-08,235.0,240.0,233.0,234.5,127696.0
2024-11-11,233.5,238.0,211.5,211.5,832693.0
2024-11-12,211.0,211.0,196.5,202.0,1034554.0
2024-11-13,203.5,206.0,198.0,204.0,411566.0
2024-11-14,204.0,205.0,199.0,199.0,157928.0
2024-11-15,198.0,206.5,198.0,206.5,212425.0
2024-11-18,212.5,213.0,200.5,201.0,263720.0
2024-11-19,202.5,210.0,202.0,207.5,118721.0
2024-11-20,209.0,215.5,207.5,211.5,264034.0
2024-11-21,208.5,213.5,208.5,212.5,91897.0
2024-11-22,214.5,218.5,213.0,214.5,178668.0
2024-11-25,215.5,215.5,209.5,210.5,182511.0
2024-11-26,210.5,210.5,205.0,206.0,76596.0
2024-11-27,206.0,206.0,200.0,200.5,99025.0
2024-11-28,200.0,203.0,197.0,197.5,72932.0
2024-11-29,197.0,200.5,196.5,198.5,96276.0
2024-12-02,200.0,210.5,200.0,202.0,191643.0
2024-12-03,203.5,204.5,201.0,204.0,92841.0
2024-12-04,205.0,206.0,203.0,203.0,81357.0
2024-12-05,203.0,203.5,200.0,201.5,114834.0
2024-12-06,203.0,204.0,201.5,202.0,61300.0
