stock_id,name,basket,original_basket,score,date,close,gain_6w,gain_3d,rsi_14,percent_b,ma120,ma240,ma120_slope_pct,ma240_slope_pct,one_year_high_gap_pct,deduct240_gap_pct,range60_pct,volume20_vs_120_pct,major_4w_pctpt,major_8w_pctpt,retail_4w_pctpt,retail_8w_pctpt,people_4w,people_8w,major_accumulating,retail_or_people_support,base_mda_watch,no_new_low,reason
2027,大成鋼,已發動籃,,100,2026-07-27,44.55,4.700352526439477,1.8285714285714239,64.7058823529412,103.89053375911865,39.275416666666665,38.558333333333344,2.327474841777266,1.3925867490604649,-2.0879120879120916,12.499999999999979,21.495327102803728,-29.445812610942568,3.7900000000000063,5.8700000000000045,-1.5600000000000005,-2.9299999999999997,-15868,-30792,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、20日量低於120日均量、240扣抵偏有利
3426,,已發動籃,,100,2026-06-01,47.8,0.31479538300105414,0.10471204188480243,50.052192066805844,55.918794855527985,41.82208333333328,37.71604166666673,5.4992064409664865,4.6160336089778875,-0.4166666666666763,4.366812227074246,,-51.707207902063764,1.480000000000004,5.810000000000002,-0.6900000000000004,-1.1000000000000005,-86,-142,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、20日量低於120日均量、240扣抵偏有利
5288,豐祥-KY,已發動籃,,100,2026-07-27,194.5,1.8324607329842868,0.2577319587628857,57.843137254901954,80.81713601718246,160.28333333333333,144.80625,4.484341472689235,2.7921146423342647,-3.712871287128716,42.490842490842496,39.3103448275862,-25.875442373571676,0.8799999999999955,0.12000000000000455,-0.5199999999999996,-0.7100000000000009,-247,-339,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、20日量低於120日均量、240扣抵偏有利
6245,立端,已發動籃,,100,2026-07-27,83.0,0.7281553398058138,1.9656019656019597,52.24489795918367,76.11797399497145,76.26249999999999,76.26333333333328,2.8177559068387703,0.40208668177015294,-11.983032873806998,5.867346938775508,30.24861878453038,-36.32233556138929,1.9699999999999989,2.3200000000000003,-1.4199999999999946,-3.3199999999999967,-1125,-2359,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、20日量低於120日均量、240扣抵偏有利
9933,中鼎,已發動籃,,100,2026-07-23,40.35,-1.2239902080783405,2.281368821292773,45.86466165413537,36.23219743544366,36.88041666666662,34.34499999999998,4.265419591952102,3.502053014226747,-10.033444816053516,43.085106382978736,24.583333333333336,-51.23101602551557,1.5,1.0599999999999952,-0.29999999999999893,-0.40999999999999837,-405,-1352,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、20日量低於120日均量、240扣抵偏有利
9960,邁達康,已發動籃,,100,2026-07-13,32.15,5.582922824302128,-4.029850746268659,49.514563106796075,31.409909958162142,26.99083333333335,23.805416666666662,9.197262398435635,2.9915184727842936,-10.69444444444445,32.30452674897117,,-22.73177489467171,-2.6299999999999955,1.2700000000000102,-0.15999999999999925,-1.9799999999999986,-49,-399,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、20日量低於120日均量、240扣抵偏有利
1342,八貫,已發動籃,,90,2026-07-27,110.0,2.8037383177569986,-3.508771929824561,38.18181818181818,18.823065360826067,99.00583333333338,92.88833333333325,3.6167800453514642,2.678752372003923,-9.836065573770492,31.108462455303922,35.105204872646745,-12.145159105524483,1.5399999999999991,2.240000000000002,-0.6899999999999977,-1.1699999999999982,-8,-150,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、240扣抵偏有利
1709,和益,已發動籃,,90,2026-07-27,25.95,24.460431654676242,-6.989247311827951,54.91071428571427,56.70657800848482,19.649999999999988,18.296249999999944,7.831256430776201,3.666367628311007,-9.26573426573427,48.285714285714285,60.22408963585433,237.69975638527478,1.0600000000000023,1.6499999999999986,-0.3399999999999981,-0.5999999999999996,-663,-1173,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、240扣抵偏有利
1734,杏輝,已發動籃,,90,2026-07-27,31.55,1.4469453376205754,-3.95738203957382,21.518987341772245,-1.3783054945765267,31.428333333333345,31.28708333333334,1.1777330650570184,0.23092530300605763,-8.683068017366125,0.4777070063694433,15.939597315436238,37.97351629390142,1.2899999999999991,1.1800000000000068,-0.4400000000000013,-0.370000000000001,-578,-836,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區
2107,厚生,已發動籃,,90,2026-07-27,25.95,0.3868471953578201,0.5813953488372103,52.77777777777772,71.92645048267543,25.512083333333326,24.84416666666666,0.7387298453438884,0.36526452221046224,-2.259887005649719,5.273833671399597,7.92682926829269,-9.055421927026973,0.519999999999996,1.8699999999999974,-0.14999999999999858,-0.4299999999999997,72,-82,True,True,True,True,MA120上彎且收盤站上、大戶4/8週累積、散戶或總股東下降支撐、近20日未破60日低位區、240扣抵偏有利
