date,stock_id,margin_balance,margin_buy,margin_sell,short_balance,short_buy,short_sell
2024-04-30,6134,1723,10,9,29,0,0
2024-05-02,6134,1716,10,17,29,0,0
2024-05-03,6134,1696,12,32,29,0,0
2024-05-06,6134,1715,38,19,29,0,0
2024-05-07,6134,1714,12,13,29,0,0
2024-05-08,6134,1808,162,68,29,0,0
2024-05-09,6134,1785,35,58,29,0,0
2024-05-10,6134,1798,16,3,29,0,0
2024-05-13,6134,1811,17,4,29,0,0
2024-05-14,6134,1813,4,2,29,0,0
2024-05-15,6134,1826,15,2,29,0,0
2024-05-16,6134,1838,15,3,29,0,0
2024-05-17,6134,1837,3,4,29,0,0
2024-05-20,6134,1837,1,1,29,0,0
2024-05-21,6134,1826,23,26,29,0,0
2024-05-22,6134,1862,59,23,29,0,0
2024-05-23,6134,1877,39,24,29,0,0
2024-05-24,6134,1846,16,47,29,0,0
2024-05-27,6134,1799,11,58,29,0,0
2024-05-28,6134,1801,9,7,29,0,0
2024-05-29,6134,1791,40,50,29,0,0
2024-05-30,6134,1754,32,69,29,0,0
2024-05-31,6134,1764,18,8,29,0,0
2024-06-03,6134,1765,16,15,29,0,0
2024-06-04,6134,1849,147,63,29,0,0
2024-06-05,6134,1855,20,14,29,0,0
2024-06-06,6134,1870,52,37,29,0,0
2024-06-07,6134,2002,215,83,29,0,0
2024-06-11,6134,1972,42,72,29,0,0
2024-06-12,6134,1947,1,26,20,0,9
2024-06-13,6134,1907,14,52,20,0,0
2024-06-14,6134,1904,40,43,20,0,0
2024-06-17,6134,1882,26,48,20,0,0
2024-06-18,6134,1870,35,47,20,0,0
2024-06-19,6134,1852,26,44,20,0,0
2024-06-20,6134,1859,20,13,20,0,0
2024-06-21,6134,1891,39,7,20,0,0
2024-06-24,6134,1986,114,19,20,0,0
2024-06-25,6134,2069,119,34,20,0,0
2024-06-26,6134,2094,36,11,20,0,0
2024-06-27,6134,2100,11,5,20,0,0
2024-06-28,6134,2156,71,15,20,0,0
2024-07-01,6134,2359,247,44,20,0,0
2024-07-02,6134,2350,33,42,20,0,0
2024-07-03,6134,2364,35,21,20,0,0
2024-07-04,6134,2362,15,17,20,0,0
2024-07-05,6134,2365,13,10,20,0,0
2024-07-08,6134,2635,635,365,30,10,0
2024-07-09,6134,2347,358,646,28,0,2
2024-07-10,6134,2423,148,72,26,0,2
2024-07-11,6134,2578,252,97,28,2,0
2024-07-12,6134,2582,127,123,26,0,2
2024-07-15,6134,2342,46,286,26,0,0
2024-07-16,6134,2269,44,117,26,0,0
2024-07-17,6134,2241,11,39,26,0,0
2024-07-18,6134,2106,54,184,26,0,0
2024-07-19,6134,2117,30,19,20,0,6
2024-07-22,6134,2081,16,52,20,0,0
2024-07-23,6134,2083,10,3,20,0,0
2024-07-26,6134,2085,11,9,20,0,0
2024-07-29,6134,2086,18,17,20,0,0
2024-07-30,6134,2094,10,2,20,0,0
2024-07-31,6134,2092,4,6,20,0,0
2024-08-01,6134,2089,5,8,20,0,0
2024-08-02,6134,2074,6,21,20,0,0
2024-08-05,6134,2013,26,87,20,0,0
2024-08-06,6134,1999,28,40,20,0,0
2024-08-07,6134,2016,35,18,20,0,0
2024-08-08,6134,2009,37,44,20,0,0
2024-08-09,6134,2008,17,18,20,0,0
2024-08-12,6134,1997,25,36,20,0,0
2024-08-13,6134,1988,5,14,20,0,0
2024-08-14,6134,2226,269,30,20,0,0
2024-08-15,6134,2129,230,327,33,13,0
2024-08-16,6134,2045,177,261,51,20,2
2024-08-19,6134,2169,184,60,48,1,3
2024-08-20,6134,2152,94,111,54,7,1
2024-08-21,6134,2273,159,38,73,27,8
2024-08-22,6134,2312,74,35,78,7,2
2024-08-23,6134,2868,786,230,145,69,2
2024-08-26,6134,3208,1021,681,432,296,9
2024-08-27,6134,2977,110,341,416,14,30
2024-08-28,6134,3232,502,247,567,179,28
2024-08-29,6134,3181,56,107,512,10,22
2024-08-30,6134,3156,141,166,574,87,7
2024-09-02,6134,2912,242,486,461,4,113
2024-09-03,6134,2977,195,130,434,37,12
2024-09-04,6134,3004,114,87,455,31,5
2024-09-05,6134,3006,137,135,486,31,0
2024-09-06,6134,3079,190,117,517,46,11
2024-09-09,6134,3020,101,160,553,38,0
2024-09-10,6134,2966,121,175,491,1,63
2024-09-11,6134,3090,410,280,728,247,10
2024-09-12,6134,3615,1267,742,1621,942,49
2024-09-13,6134,3823,571,363,1733,217,105
2024-09-16,6134,3846,180,157,1684,19,8
2024-09-18,6134,3629,235,452,1534,9,99
2024-09-19,6134,3653,119,95,1297,20,15
2024-09-20,6134,3619,230,264,1214,23,9
2024-09-23,6134,4094,1029,554,1348,200,53
2024-09-24,6134,4120,703,677,1401,82,25
2024-09-25,6134,4268,339,191,1287,2,17
2024-09-26,6134,4046,217,439,1267,21,31
2024-09-27,6134,3947,31,130,1159,2,0
2024-09-30,6134,3924,130,150,1121,6,0
2024-10-01,6134,3975,145,94,1163,43,0
2024-10-04,6134,4045,481,411,1056,22,128
2024-10-07,6134,4225,561,371,1407,353,2
2024-10-08,6134,4597,1501,1128,2123,768,52
2024-10-09,6134,5169,1269,697,2331,261,35
2024-10-11,6134,5553,931,547,2432,175,1
2024-10-14,6134,6421,1644,770,2489,181,0
2024-10-15,6134,6517,576,480,2248,222,25
2024-10-16,6134,5525,1334,2326,2549,500,111
2024-10-17,6134,5703,1197,1019,2362,46,127
2024-10-18,6134,5702,464,455,2209,17,13
2024-10-21,6134,6771,1600,521,2126,159,6
2024-10-22,6134,6337,596,1030,1552,16,71
2024-10-23,6134,5991,203,549,1311,18,24
2024-10-24,6134,5269,460,1182,1235,30,39
2024-10-25,6134,5227,195,237,1077,15,19
2024-10-28,6134,5517,592,302,1097,92,20
2024-10-29,6134,5720,465,262,1083,11,7
2024-10-30,6134,5958,765,527,1148,111,16
2024-11-01,6134,6163,946,741,1446,378,7
2024-11-04,6134,6172,1303,1294,1116,39,227
2024-11-05,6134,6301,441,312,1063,13,43
2024-11-06,6134,6357,694,638,945,70,76
2024-11-07,6134,6273,234,318,1002,300,35
2024-11-08,6134,5815,478,936,975,39,51
2024-11-11,6134,5790,107,131,978,94,52
2024-11-12,6134,5588,131,332,860,6,112
2024-11-13,6134,5668,154,74,544,2,44
2024-11-14,6134,5609,52,111,535,1,10
2024-11-15,6134,5457,94,242,364,2,12
2024-11-18,6134,5217,124,362,270,4,36
2024-11-19,6134,5261,231,185,254,21,13
2024-11-20,6134,5301,138,98,253,1,2
2024-11-21,6134,5659,575,177,261,36,8
2024-11-22,6134,5879,834,614,652,405,14
2024-11-25,6134,6244,998,633,796,147,3
2024-11-26,6134,5990,822,1075,809,42,29
2024-11-27,6134,5787,153,356,750,25,41
2024-11-28,6134,5823,134,98,516,9,80
2024-11-29,6134,5882,126,67,413,4,24
2024-12-02,6134,5748,151,285,279,33,87
2024-12-03,6134,6001,434,181,330,68,17
2024-12-04,6134,5689,471,783,416,161,30
2024-12-05,6134,5724,332,297,316,12,91
2024-12-06,6134,5718,131,136,283,5,35
2024-12-09,6134,5753,171,136,227,19,31
2024-12-10,6134,5736,95,112,249,60,38
2024-12-11,6134,5742,82,74,203,5,51
2024-12-12,6134,5710,41,73,175,4,32
2024-12-13,6134,5513,56,241,159,37,52
2024-12-16,6134,5373,72,201,123,4,40
2024-12-17,6134,5366,36,43,111,0,12
2024-12-18,6134,5343,90,113,118,19,12
2024-12-19,6134,5355,39,25,99,2,21
2024-12-20,6134,5326,31,60,103,5,1
2024-12-23,6134,5336,46,36,116,23,10
2024-12-24,6134,5319,47,62,126,10,0
2024-12-25,6134,5314,45,50,132,8,2
2024-12-26,6134,5341,63,36,126,0,1
