date,stock_id,margin_balance,margin_buy,margin_sell,short_balance,short_buy,short_sell
2024-05-20,2399,10629,25,30,22,0,0
2024-05-21,2399,10671,167,125,48,1,27
2024-05-22,2399,10703,71,39,45,3,0
2024-05-23,2399,10632,78,138,23,22,0
2024-05-24,2399,10602,56,86,23,0,0
2024-05-27,2399,10597,101,106,31,0,8
2024-05-28,2399,10588,165,171,41,0,10
2024-05-29,2399,10450,153,291,53,1,13
2024-05-30,2399,12811,3153,792,173,0,120
2024-05-31,2399,12145,1093,1759,167,56,50
2024-06-03,2399,12000,326,471,116,66,15
2024-06-04,2399,11759,241,482,107,10,1
2024-06-05,2399,11463,359,654,98,9,1
2024-06-06,2399,11387,98,174,41,57,0
2024-06-07,2399,11367,89,109,44,0,3
2024-06-11,2399,11210,29,186,43,1,0
2024-06-12,2399,11223,52,39,41,2,0
2024-06-13,2399,11351,198,19,39,2,0
2024-06-14,2399,11415,120,54,40,1,2
2024-06-17,2399,11219,81,277,42,0,2
2024-06-18,2399,11238,89,70,42,1,1
2024-06-19,2399,11319,567,486,88,1,47
2024-06-20,2399,11210,102,211,67,32,11
2024-06-21,2399,11095,81,196,66,2,1
2024-06-24,2399,11126,79,48,65,2,1
2024-06-25,2399,11088,23,59,64,1,0
2024-06-26,2399,11071,26,43,53,12,1
2024-06-27,2399,11006,41,106,50,3,0
2024-06-28,2399,10993,21,34,49,1,0
2024-07-01,2399,11001,31,22,50,1,2
2024-07-02,2399,10986,35,50,41,9,0
2024-07-03,2399,10985,83,83,43,0,2
2024-07-04,2399,10942,22,65,47,0,4
2024-07-05,2399,10894,131,179,50,0,3
2024-07-08,2399,10950,179,122,54,0,4
2024-07-09,2399,10975,133,108,52,2,0
2024-07-10,2399,11075,145,45,47,8,3
2024-07-11,2399,11071,83,87,47,0,0
2024-07-12,2399,11394,1027,700,79,0,32
2024-07-15,2399,11752,2050,1692,120,2,43
2024-07-16,2399,11706,623,668,129,22,31
2024-07-17,2399,14862,4222,1066,221,6,98
2024-07-18,2399,14548,457,771,147,77,3
2024-07-19,2399,13978,170,739,80,69,2
2024-07-22,2399,14995,1345,328,81,5,6
2024-07-23,2399,14792,634,832,145,1,65
2024-07-26,2399,14711,208,288,146,10,11
2024-07-29,2399,14623,717,800,175,28,57
2024-07-30,2399,14778,629,473,191,42,58
2024-07-31,2399,14300,358,836,185,9,3
2024-08-01,2399,14227,132,203,136,49,0
2024-08-02,2399,14272,133,88,120,18,2
2024-08-05,2399,13805,103,542,82,67,29
2024-08-06,2399,13370,231,655,71,11,0
2024-08-07,2399,13231,46,164,50,66,45
2024-08-08,2399,12770,101,562,41,15,6
2024-08-09,2399,12324,57,503,17,29,5
2024-08-12,2399,11587,77,814,17,1,1
2024-08-13,2399,11178,22,431,17,2,2
2024-08-14,2399,11033,106,251,14,3,0
2024-08-15,2399,10702,56,387,20,1,7
2024-08-16,2399,10013,86,775,21,0,1
2024-08-19,2399,9985,105,130,24,2,5
2024-08-20,2399,9952,81,114,29,0,5
2024-08-21,2399,9952,77,77,33,0,4
2024-08-22,2399,9903,52,96,35,0,2
2024-08-23,2399,9917,84,70,35,0,0
2024-08-26,2399,11421,2302,798,114,3,82
