date,stock_id,margin_balance,margin_buy,margin_sell,short_balance,short_buy,short_sell
2024-06-03,2305,2129,68,100,29,2,1
2024-06-04,2305,2141,40,28,17,12,0
2024-06-05,2305,2145,35,26,16,1,0
2024-06-06,2305,2148,30,27,15,1,0
2024-06-07,2305,2142,11,13,15,0,0
2024-06-11,2305,2149,25,18,15,0,0
2024-06-12,2305,2135,15,29,17,0,2
2024-06-13,2305,2133,14,15,15,2,0
2024-06-14,2305,2121,8,19,15,0,0
2024-06-17,2305,2121,46,46,15,0,0
2024-06-18,2305,2137,35,19,15,0,0
2024-06-19,2305,2115,4,26,15,0,0
2024-06-20,2305,2056,10,65,16,0,1
2024-06-21,2305,2068,16,4,15,1,0
2024-06-24,2305,2075,24,17,15,0,0
2024-06-25,2305,2072,9,12,15,0,0
2024-06-26,2305,2074,26,24,15,0,0
2024-06-27,2305,2080,20,13,15,0,0
2024-06-28,2305,2047,7,40,16,0,1
2024-07-01,2305,2015,8,40,15,1,0
2024-07-02,2305,2016,8,6,15,0,0
2024-07-03,2305,2017,19,18,15,0,0
2024-07-04,2305,1994,24,46,15,0,0
2024-07-05,2305,2016,42,13,15,0,0
2024-07-08,2305,1960,10,66,15,0,0
2024-07-09,2305,1961,23,19,15,0,0
2024-07-10,2305,2106,285,137,17,0,2
2024-07-11,2305,2141,186,151,23,0,6
2024-07-12,2305,2109,80,112,17,6,0
2024-07-15,2305,2090,50,64,15,2,0
2024-07-16,2305,2207,328,211,15,0,0
2024-07-17,2305,2218,169,158,16,0,1
2024-07-18,2305,2198,68,88,15,1,0
2024-07-19,2305,2231,76,43,19,0,4
2024-07-22,2305,2120,47,158,15,4,0
2024-07-23,2305,2061,33,92,21,0,6
2024-07-26,2305,2011,14,64,63,4,46
2024-07-29,2305,2014,21,18,47,16,0
2024-07-30,2305,1989,14,35,47,0,0
2024-07-31,2305,1993,19,15,49,0,2
2024-08-01,2305,1963,29,42,18,32,1
2024-08-02,2305,1931,3,35,17,1,0
2024-08-05,2305,1861,26,96,21,2,6
2024-08-06,2305,1715,26,155,21,0,0
2024-08-07,2305,1673,12,51,22,0,1
2024-08-08,2305,1672,18,19,22,1,1
2024-08-09,2305,1653,30,49,22,0,0
2024-08-12,2305,1671,22,4,22,0,0
2024-08-13,2305,1686,20,3,22,0,0
2024-08-14,2305,1693,24,17,22,0,0
2024-08-15,2305,1724,32,1,23,0,1
2024-08-16,2305,1695,24,50,22,1,0
2024-08-19,2305,1699,10,6,22,0,0
2024-08-20,2305,1710,14,3,22,0,0
2024-08-21,2305,1707,8,8,22,0,0
2024-08-22,2305,1706,3,4,22,0,0
2024-08-23,2305,1704,6,7,22,0,0
2024-08-26,2305,1715,11,0,22,0,0
2024-08-27,2305,1711,6,10,22,0,0
2024-08-28,2305,1702,1,10,22,0,0
2024-08-29,2305,1695,0,7,22,0,0
2024-08-30,2305,1695,5,3,22,0,0
2024-09-02,2305,1696,2,1,22,0,0
2024-09-03,2305,1675,9,29,22,0,0
2024-09-04,2305,1678,54,51,23,0,1
2024-09-05,2305,1626,16,47,22,1,0
2024-09-06,2305,1628,7,4,41,1,20
2024-09-09,2305,1634,6,0,41,0,0
2024-09-10,2305,1691,64,7,42,0,1
2024-09-11,2305,1690,39,40,45,0,3
2024-09-12,2305,1647,29,72,43,2,0
2024-09-13,2305,1640,0,7,43,0,0
2024-09-16,2305,1642,3,1,43,0,0
2024-09-18,2305,1652,16,6,43,0,0
2024-09-19,2305,1666,35,20,42,1,0
2024-09-20,2305,1631,5,40,22,20,0
2024-09-23,2305,1616,18,18,21,1,0
2024-09-24,2305,1633,21,4,21,0,0
2024-09-25,2305,1590,9,52,21,0,0
2024-09-26,2305,1582,17,25,21,0,0
2024-09-27,2305,1537,14,53,20,1,0
2024-09-30,2305,1514,2,25,20,0,0
2024-10-01,2305,1519,6,1,20,0,0
2024-10-04,2305,1526,9,2,20,0,0
2024-10-07,2305,1572,59,13,20,0,0
2024-10-08,2305,1577,7,2,20,0,0
2024-10-09,2305,1593,55,31,20,0,0
2024-10-11,2305,1575,2,19,20,1,1
2024-10-14,2305,1554,9,20,20,0,0
2024-10-15,2305,1553,11,12,19,1,0
2024-10-16,2305,1577,24,0,19,0,0
2024-10-17,2305,1712,172,37,19,0,0
2024-10-18,2305,1733,25,4,19,0,0
2024-10-21,2305,1717,31,47,19,0,0
2024-10-22,2305,1739,24,2,19,0,0
2024-10-23,2305,1697,13,55,19,0,0
2024-10-24,2305,1699,19,17,49,0,30
2024-10-25,2305,1648,11,62,46,3,0
2024-10-28,2305,1656,13,5,46,0,0
2024-10-29,2305,1661,8,3,46,0,0
2024-10-30,2305,1671,11,1,46,0,0
2024-11-01,2305,1651,2,22,49,0,3
2024-11-04,2305,1621,5,35,46,3,0
2024-11-05,2305,1617,3,7,46,0,0
2024-11-06,2305,1603,11,9,46,0,0
2024-11-07,2305,1639,46,10,47,0,1
2024-11-08,2305,1649,14,4,47,1,1
2024-11-11,2305,1673,32,8,47,0,0
2024-11-12,2305,1674,12,9,50,0,3
2024-11-13,2305,1642,18,50,49,1,0
2024-11-14,2305,1650,17,9,47,2,0
2024-11-15,2305,1652,12,9,46,1,0
2024-11-18,2305,1673,39,14,46,0,0
2024-11-19,2305,1686,15,2,46,0,0
2024-11-20,2305,1706,26,6,52,0,6
2024-11-21,2305,1922,232,14,26,30,4
2024-11-22,2305,1929,72,65,28,0,2
2024-11-25,2305,1945,38,19,28,0,0
2024-11-26,2305,1883,45,107,28,0,0
2024-11-27,2305,1875,15,23,25,3,0
2024-11-28,2305,1870,17,22,50,5,30
2024-11-29,2305,1861,23,32,49,1,0
2024-12-02,2305,1909,58,10,45,4,0
2024-12-03,2305,1896,6,19,40,6,1
2024-12-04,2305,1894,18,20,40,0,0
2024-12-05,2305,1895,21,20,36,4,0
2024-12-06,2305,1891,22,26,37,0,1
2024-12-09,2305,1868,43,66,38,3,4
2024-12-10,2305,1861,11,18,37,1,0
2024-12-11,2305,1915,85,31,42,0,5
2024-12-12,2305,1910,27,32,39,3,0
2024-12-13,2305,1886,29,53,43,2,6
2024-12-16,2305,1851,12,47,41,4,2
2024-12-17,2305,1865,16,2,41,0,0
2024-12-18,2305,1883,23,5,49,0,8
2024-12-19,2305,1894,17,6,38,11,0
2024-12-20,2305,1901,12,5,39,0,1
2024-12-23,2305,1895,4,10,40,1,2
2024-12-24,2305,1905,20,10,39,1,0
2024-12-25,2305,1970,132,67,32,30,23
2024-12-26,2305,2143,324,151,37,2,7
2024-12-27,2305,2066,53,130,27,17,7
2024-12-30,2305,2038,42,70,26,1,0
2024-12-31,2305,1993,11,56,28,10,12
2025-01-02,2305,2001,22,14,14,19,5
2025-01-03,2305,1989,46,58,39,1,26
2025-01-06,2305,1979,6,16,34,6,1
2025-01-07,2305,2016,68,31,36,0,2
2025-01-08,2305,1975,9,40,42,1,7
2025-01-09,2305,1922,34,87,34,13,5
2025-01-10,2305,1906,14,29,32,2,0
2025-01-13,2305,1858,31,77,33,0,1
2025-01-14,2305,1852,5,10,33,0,0
2025-01-15,2305,1854,16,14,33,0,0
2025-01-16,2305,1885,49,13,33,1,1
2025-01-17,2305,1922,50,13,33,0,0
2025-01-20,2305,1963,66,12,33,0,0
2025-01-21,2305,1957,21,17,33,0,0
2025-01-22,2305,1929,2,29,30,3,0
2025-02-03,2305,1931,4,2,30,0,0
2025-02-04,2305,2012,105,24,11,20,1
2025-02-05,2305,1943,13,82,17,0,6
2025-02-06,2305,1945,23,21,19,0,2
2025-02-07,2305,1949,6,2,19,0,0
2025-02-10,2305,1892,17,73,20,9,10
2025-02-11,2305,1911,30,11,20,0,0
2025-02-12,2305,1901,79,89,33,10,23
2025-02-13,2305,2169,392,124,53,0,20
2025-02-14,2305,2123,112,158,48,5,0
2025-02-17,2305,2177,81,27,28,21,1
2025-02-18,2305,2159,29,45,15,13,0
2025-02-19,2305,2122,24,61,17,0,2
2025-02-20,2305,2186,153,89,16,2,1
2025-02-21,2305,2220,39,4,15,2,1
2025-02-24,2305,2200,37,57,14,1,0
2025-02-25,2305,2174,20,36,14,1,1
2025-02-26,2305,2182,20,12,13,1,0
2025-02-27,2305,2232,76,23,11,6,4
2025-03-03,2305,2186,25,71,10,1,0
2025-03-04,2305,2194,22,14,16,0,6
2025-03-05,2305,2185,15,24,10,6,0
2025-03-06,2305,2196,21,10,10,0,0
2025-03-07,2305,2211,19,4,7,3,0
2025-03-10,2305,2208,4,7,7,0,0
2025-03-11,2305,2195,17,30,6,1,0
2025-03-12,2305,2199,10,6,10,0,4
2025-03-13,2305,2173,15,41,7,4,1
2025-03-14,2305,2176,15,12,4,3,0
2025-03-17,2305,2167,7,16,1,3,0
2025-03-18,2305,2130,15,52,1,0,0
2025-03-19,2305,2098,9,32,1,0,0
2025-03-20,2305,2044,10,63,1,0,0
2025-03-21,2305,2022,22,40,0,1,0
2025-03-24,2305,2093,78,7,0,0,0
2025-03-25,2305,2075,0,18,0,0,0
2025-03-26,2305,2086,21,5,0,0,0
2025-03-27,2305,2086,2,2,0,0,0
2025-03-28,2305,2172,100,14,2,0,2
2025-03-31,2305,1994,51,229,32,2,32
2025-04-01,2305,2030,42,6,36,0,4
2025-04-02,2305,2008,3,25,43,0,7
2025-04-07,2305,2007,56,52,42,1,0
2025-04-08,2305,1772,175,366,31,11,0
2025-04-09,2305,1627,33,177,33,0,2
2025-04-10,2305,1592,5,18,31,2,0
2025-04-11,2305,1565,6,33,35,0,4
2025-04-14,2305,1569,27,23,6,31,2
2025-04-15,2305,1565,18,21,6,0,0
2025-04-16,2305,1567,4,2,7,0,1
2025-04-17,2305,1566,10,11,0,7,0
2025-04-18,2305,1564,11,13,0,0,0
2025-04-21,2305,1555,6,1,2,0,2
2025-04-22,2305,1551,0,4,5,0,3
2025-04-23,2305,1546,4,9,6,0,1
2025-04-24,2305,1552,6,0,6,0,0
2025-04-25,2305,1530,1,23,6,0,0
2025-04-28,2305,1432,11,101,6,0,0
2025-04-29,2305,1430,13,15,6,0,0
2025-04-30,2305,1431,16,15,6,0,0
2025-05-02,2305,1410,1,22,6,0,0
2025-05-05,2305,1420,14,4,6,0,0
2025-05-06,2305,1414,1,7,6,0,0
2025-05-07,2305,1414,3,3,6,0,0
2025-05-08,2305,1417,17,14,6,0,0
2025-05-09,2305,1412,2,5,6,0,0
2025-05-12,2305,1442,50,20,6,0,0
2025-05-13,2305,1450,35,24,6,0,0
2025-05-14,2305,1458,16,8,6,0,0
2025-05-15,2305,1479,21,0,6,0,0
2025-05-16,2305,1471,6,9,6,0,0
2025-05-19,2305,1463,7,15,6,0,0
2025-05-20,2305,1458,6,11,6,0,0
2025-05-21,2305,1468,12,2,6,0,0
2025-05-22,2305,1477,23,9,6,0,0
2025-05-23,2305,1480,6,3,6,0,0
2025-05-26,2305,1507,32,5,0,6,0
2025-05-27,2305,1512,28,22,0,0,0
2025-05-28,2305,1520,14,6,0,0,0
2025-05-29,2305,1688,259,91,21,0,21
2025-06-02,2305,2340,1040,388,44,14,37
2025-06-03,2305,2018,172,494,56,25,37
2025-06-04,2305,2047,169,140,64,3,11
2025-06-05,2305,2085,196,158,19,52,7
2025-06-06,2305,2081,33,37,15,4,0
2025-06-09,2305,1966,66,181,20,1,6
2025-06-10,2305,1947,23,42,19,2,1
2025-06-11,2305,1876,9,80,14,5,0
2025-06-12,2305,1864,36,48,5,9,0
2025-06-13,2305,1859,42,47,0,5,0
2025-06-16,2305,1831,11,39,4,0,4
2025-06-17,2305,1835,22,18,5,0,1
2025-06-18,2305,1832,13,16,6,0,1
2025-06-19,2305,1813,18,24,5,1,0
2025-06-20,2305,1815,13,11,5,0,0
2025-06-23,2305,1807,30,38,5,0,0
2025-06-24,2305,1775,15,47,5,0,0
2025-06-25,2305,1776,2,1,5,0,0
2025-06-26,2305,1774,8,10,5,0,0
2025-06-27,2305,1773,9,10,5,0,0
2025-06-30,2305,1783,15,5,6,0,1
2025-07-01,2305,1781,30,30,8,0,2
2025-07-02,2305,1824,54,11,8,0,0
2025-07-03,2305,1805,1,20,4,4,0
2025-07-04,2305,1830,28,3,4,0,0
2025-07-07,2305,1842,16,4,5,0,1
2025-07-08,2305,1857,23,6,6,0,1
2025-07-09,2305,1814,7,10,10,1,5
2025-07-10,2305,1796,2,20,5,5,0
2025-07-11,2305,1801,9,4,5,0,0
2025-07-14,2305,1807,13,1,5,0,0
2025-07-15,2305,1785,1,19,3,2,0
2025-07-16,2305,1736,5,13,3,0,0
2025-07-17,2305,1696,17,57,3,0,0
2025-07-18,2305,1707,11,0,3,0,0
2025-07-21,2305,1718,26,15,3,0,0
2025-07-22,2305,1750,43,11,3,0,0
2025-07-23,2305,1762,31,19,3,0,0
2025-07-24,2305,1750,1,13,3,0,0
2025-07-25,2305,1797,52,5,3,0,0
2025-07-28,2305,1744,50,103,4,0,1
2025-07-29,2305,1513,10,161,4,0,0
2025-07-30,2305,1510,35,3,3,1,0
2025-07-31,2305,1708,198,0,3,0,0
2025-08-01,2305,1701,1,8,3,0,0
2025-08-04,2305,1729,63,34,5,0,2
2025-08-05,2305,1663,20,86,5,0,0
2025-08-06,2305,1704,58,17,6,0,1
2025-08-07,2305,1707,11,8,6,0,0
2025-08-08,2305,1708,26,17,5,1,0
2025-08-11,2305,1751,47,4,5,0,0
2025-08-12,2305,1704,1,30,5,0,0
2025-08-13,2305,1652,4,5,5,0,0
2025-08-14,2305,1702,64,14,5,0,0
2025-08-15,2305,1846,439,295,29,0,24
2025-08-18,2305,1887,144,103,28,1,0
2025-08-19,2305,1911,94,70,29,0,1
2025-08-20,2305,1924,50,37,27,2,0
2025-08-21,2305,1813,54,165,32,0,5
2025-08-22,2305,1782,74,105,32,0,0
2025-08-25,2305,1783,215,212,61,0,29
2025-08-26,2305,2176,795,402,45,21,5
2025-08-27,2305,2093,118,199,54,4,13
2025-08-28,2305,2050,23,55,55,0,1
2025-08-29,2305,2135,137,52,60,5,10
2025-09-01,2305,2110,54,79,60,0,0
2025-09-02,2305,2049,4,65,62,0,2
2025-09-03,2305,2005,97,141,73,1,12
2025-09-04,2305,1962,35,68,61,12,0
2025-09-05,2305,1990,46,18,60,2,1
2025-09-08,2305,2017,64,23,59,1,0
2025-09-09,2305,2023,48,42,59,0,0
2025-09-10,2305,2016,49,56,17,42,0
2025-09-11,2305,1981,32,67,14,3,0
2025-09-12,2305,1976,11,16,14,0,0
2025-09-15,2305,1968,8,16,14,0,0
2025-09-16,2305,1928,52,44,4,10,0
2025-09-17,2305,1896,10,33,4,0,0
2025-09-18,2305,1824,29,98,7,0,3
2025-09-19,2305,1771,66,119,32,0,25
2025-09-22,2305,1795,59,35,7,25,0
2025-09-23,2305,1795,32,32,8,0,1
2025-09-24,2305,1812,18,1,7,1,0
2025-09-25,2305,1826,26,6,7,0,0
2025-09-26,2305,1876,84,34,4,3,0
2025-09-30,2305,1878,30,28,4,0,0
2025-10-01,2305,1889,27,16,4,0,0
2025-10-02,2305,1883,16,7,4,0,0
2025-10-03,2305,1879,6,10,4,0,0
2025-10-07,2305,1889,19,9,4,0,0
2025-10-08,2305,1904,18,2,4,0,0
2025-10-09,2305,1915,13,2,4,0,0
2025-10-13,2305,1932,19,2,4,0,0
2025-10-14,2305,1882,29,79,6,0,2
2025-10-15,2305,1886,5,1,6,0,0
2025-10-16,2305,1878,9,16,6,0,0
2025-10-17,2305,1857,10,31,4,3,1
2025-10-20,2305,1867,13,3,4,0,0
2025-10-21,2305,1837,2,32,4,0,0
2025-10-22,2305,1830,9,16,4,0,0
2025-10-23,2305,1843,22,7,2,2,0
2025-10-27,2305,1869,50,6,2,0,0
2025-10-28,2305,1854,6,21,2,0,0
2025-10-29,2305,1869,24,9,2,0,0
2025-10-30,2305,1798,22,91,3,0,1
2025-10-31,2305,1832,45,11,4,0,1
2025-11-03,2305,1837,7,2,4,0,0
2025-11-04,2305,1776,50,85,7,0,3
2025-11-05,2305,1767,20,28,6,3,2
2025-11-06,2305,1786,19,0,6,0,0
2025-11-07,2305,1823,65,28,6,0,0
2025-11-10,2305,1841,22,4,2,4,0
2025-11-11,2305,1849,18,10,2,0,0
2025-11-12,2305,1896,117,70,8,0,6
2025-11-13,2305,1822,58,132,10,0,2
2025-11-14,2305,1815,22,22,12,0,2
2025-11-17,2305,1846,44,13,7,5,0
2025-11-18,2305,1861,41,26,4,5,2
2025-11-19,2305,1871,13,3,7,2,5
2025-11-20,2305,1863,5,13,8,0,1
2025-11-21,2305,1854,1,7,11,0,3
2025-11-24,2305,1857,4,1,14,0,3
2025-11-25,2305,1851,1,2,13,1,0
2025-11-26,2305,1853,24,22,16,0,3
2025-11-27,2305,1857,7,3,9,7,0
2025-11-28,2305,1842,0,1,13,0,4
2025-12-01,2305,1837,0,3,13,0,0
2025-12-02,2305,1826,1,5,13,0,0
2025-12-03,2305,1805,1,22,9,4,0
2025-12-04,2305,1816,14,3,8,1,0
2025-12-05,2305,1866,53,3,10,1,3
2025-12-08,2305,1910,48,4,6,4,0
2025-12-09,2305,1899,2,13,8,0,2
2025-12-10,2305,1969,90,20,11,0,3
2025-12-11,2305,1959,11,21,11,0,0
2025-12-12,2305,1985,43,17,11,0,0
2025-12-15,2305,1980,20,25,15,0,4
2025-12-16,2305,2025,71,26,15,0,0
2025-12-17,2305,2072,81,34,10,5,0
2025-12-18,2305,2093,24,2,11,0,1
2025-12-19,2305,2068,15,40,11,0,0
2025-12-22,2305,2050,19,37,11,0,0
2025-12-23,2305,2053,14,11,12,1,2
2025-12-24,2305,2055,30,20,12,0,0
2025-12-26,2305,2035,8,28,8,5,1
2025-12-29,2305,2044,12,3,8,0,0
2025-12-30,2305,2051,9,2,8,0,0
2025-12-31,2305,2038,5,18,8,0,0
2026-01-02,2305,2038,5,5,6,2,0
2026-01-05,2305,2033,24,9,1,5,0
2026-01-06,2305,2143,224,114,11,0,10
2026-01-07,2305,2127,326,342,8,5,2
2026-01-08,2305,2086,126,167,16,1,9
2026-01-09,2305,2085,47,45,8,9,1
2026-01-12,2305,3063,1174,196,14,0,6
2026-01-13,2305,2747,1072,1388,32,0,18
2026-01-14,2305,2900,974,821,218,4,190
2026-01-15,2305,3334,1046,612,152,120,54
2026-01-16,2305,3250,621,700,116,46,10
2026-01-19,2305,3345,410,315,100,21,5
2026-01-20,2305,3404,187,128,144,15,59
2026-01-21,2305,2990,143,553,155,17,28
2026-01-22,2305,3050,136,75,114,41,0
2026-01-23,2305,2694,42,398,70,68,24
2026-01-26,2305,2672,175,197,61,10,1
2026-01-27,2305,2748,229,153,28,36,3
2026-01-28,2305,2773,166,141,24,4,0
2026-01-29,2305,2574,69,268,23,1,0
2026-01-30,2305,2545,26,55,20,3,0
2026-02-02,2305,2145,38,438,13,14,7
2026-02-03,2305,2218,90,12,12,1,0
2026-02-04,2305,2300,99,17,14,1,3
2026-02-05,2305,2211,43,131,10,4,0
2026-02-06,2305,2345,189,55,3,8,1
2026-02-09,2305,2354,65,56,3,1,1
2026-02-10,2305,2354,14,14,3,1,1
2026-02-11,2305,2441,94,7,1,2,0
2026-02-23,2305,2469,42,14,1,1,1
2026-02-24,2305,2431,32,70,2,0,1
2026-02-25,2305,2445,36,22,1,1,0
2026-02-26,2305,2436,56,65,1,0,0
2026-03-02,2305,2389,11,55,1,1,1
2026-03-03,2305,2373,13,29,0,1,0
2026-03-04,2305,2368,35,37,0,0,0
2026-03-05,2305,2348,11,31,0,0,0
2026-03-06,2305,2337,8,17,0,0,0
2026-03-09,2305,2245,23,115,0,0,0
2026-03-10,2305,2326,111,30,5,0,5
2026-03-11,2305,2546,385,165,7,0,2
2026-03-12,2305,2350,214,410,17,1,11
2026-03-13,2305,2522,399,227,19,8,10
2026-03-16,2305,2520,117,119,17,7,5
2026-03-17,2305,2528,84,76,15,3,1
2026-03-18,2305,2431,49,146,14,3,2
